"comp","partysize","freq"
"All Adult",2,45.2897495631916
"All Children",2,44.8396094839609
"Mixed",2,20.111980092428
"Total",2,35.0732337736933
"All Adult",3,3.82207338380897
"All Children",3,4.4979079497908
"Mixed",3,21.5428368290082
"Total",3,11.0496840896037
"All Adult",4,0.778974956319161
"All Children",4,0.557880055788006
"Mixed",4,6.14113046569499
"Total",4,2.92217116599655
"All Adult",5,0.109202096680256
"All Children",5,0.104602510460251
"Mixed",5,2.15961606825453
"Total",5,0.936961516369902
