"","PERTYPE","MTF","freq"
"1","1","1",81391
"2","2","1",7102
"3","3","1",0
"4","6","1",1130
"5","7","1",0
"6","8","1",0
"7","Total","1",89623
"8","1","2",2724
"9","2","2",304
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",3028
"15","1","3",0
"16","2","3",1908
"17","3","3",5618
"18","6","3",3559
"19","7","3",24817
"20","8","3",743
"21","Total","3",36645
"22","1","4",0
"23","2","4",0
"24","3","4",411
"25","6","4",175
"26","7","4",548
"27","8","4",0
"28","Total","4",1134
"29","1","5",0
"30","2","5",1173
"31","3","5",0
"32","6","5",11
"33","7","5",0
"34","8","5",0
"35","Total","5",1184
