"","esco","imain","idisc","jmain","jdisc","atwork"
"1",35662,60178,62648,12427,19128,47547
"2",45184,88688,77605,20266,24537,36080
"3",45133,99578,88347,24112,28649,35323
"4",36841,80949,68166,20256,23206,25948
"5",30286,71334,59970,17867,20273,21159
"6",26218,61602,53866,15620,18342,19138
"7",22268,50471,46960,13311,15673,15212
"8",19612,41330,40425,10912,13608,12832
"9",15865,32544,33177,9032,11445,10088
"10",13479,27311,28266,7978,10008,8886
"11",11490,22009,23232,6327,8234,7286
"12",9917,18497,20572,5735,7292,5472
"13",8450,15848,17749,4730,6424,4571
"14",7100,12949,14953,4147,5370,3534
"15",5744,10722,12373,3422,4653,2893
"16",4862,9308,10897,3039,4009,2521
"17",4069,8170,9526,2592,3437,2255
"18",3236,7189,8253,2377,2962,2045
"19",2786,6715,7562,2258,2794,1851
"20",2362,6152,6842,1906,2393,1757
"21",1898,5809,6435,1911,2245,1610
"22",1770,5442,6099,1645,2208,1567
"23",1480,4753,5240,1578,1902,1305
"24",1362,4197,4629,1302,1868,1176
"25",1199,3897,4311,1211,1593,1062
"26",1020,3492,3744,1222,1377,955
"27",991,3201,3566,968,1304,854
"28",848,2975,3068,930,1105,799
"29",759,2561,2862,804,1064,702
"30",658,2335,2641,758,990,631
"31",641,2088,2383,759,914,563
"32",563,1943,2116,665,720,471
"33",530,1807,1987,551,760,399
"34",446,1689,1743,595,619,344
"35",469,1514,1662,486,593,372
"36",391,1399,1569,486,576,313
"37",374,1256,1400,377,478,329
"38",319,1193,1308,352,448,238
"39",319,1058,1111,326,397,248
"40",284,1006,1144,402,353,204
"41",3768,12316,13342,3272,4144,2597
