"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,346,75,71,272,135,808,0,0,128,49,28,402,82,80,183,0,43,213,237,3152
2,405,25,26,827,48,1726,32,110,87,86,77,1013,134,174,318,0,130,392,215,5825
3,548,132,106,812,50,2020,0,74,6,63,39,1158,71,270,12,20,150,487,104,6122
4,574,258,10,721,2,1826,91,36,6,2,23,815,193,333,104,20,103,498,182,5797
5,475,211,38,510,10,1320,19,1,0,55,36,676,44,217,49,0,100,321,120,4202
6,446,191,102,430,40,1263,10,22,11,9,29,459,22,154,101,13,154,171,183,3810
7,304,122,91,373,101,982,13,30,32,32,28,367,0,75,16,2,117,207,182,3074
8,219,55,78,334,92,707,17,24,8,43,22,260,24,121,181,8,59,161,106,2519
9,187,107,54,207,24,544,100,7,27,34,28,191,44,78,52,18,62,126,45,1935
10,175,47,32,149,19,346,29,5,0,46,34,123,5,97,39,10,63,109,64,1392
11,142,34,35,108,15,297,30,4,5,46,54,101,7,69,37,7,24,96,69,1180
12,104,12,4,68,2,210,25,29,18,18,12,75,6,56,14,7,10,86,63,819
13,114,17,17,58,3,148,21,1,12,13,12,55,52,33,47,13,18,65,40,739
14,65,23,13,50,12,116,8,2,7,6,14,40,14,31,7,4,14,61,20,507
15,67,13,13,26,15,89,1,2,1,5,10,37,8,31,6,1,9,42,16,392
16,57,10,6,25,10,61,3,4,4,4,16,19,24,20,11,0,10,25,19,328
17,56,10,12,35,4,77,9,0,1,2,4,14,12,8,6,0,5,15,18,288
18,30,11,3,21,5,47,1,1,1,5,6,12,3,12,7,0,6,26,8,205
19,37,3,0,14,1,30,7,0,2,3,8,8,7,10,6,0,5,17,11,169
20,35,5,2,21,4,33,8,1,0,2,6,7,5,13,3,1,7,16,14,183
21,23,5,4,14,2,27,3,0,0,2,5,4,10,13,7,1,3,16,5,144
22,25,9,1,13,3,19,2,0,0,2,1,3,5,7,2,0,5,13,3,113
23,14,2,3,5,0,19,3,0,0,2,2,2,7,9,4,0,4,8,6,90
24,4,4,2,4,1,21,4,1,0,2,3,1,7,4,5,0,0,8,9,80
25,15,3,0,2,0,14,3,0,0,3,2,0,0,4,0,0,1,13,2,62
26,8,2,2,2,1,9,3,0,0,1,0,0,1,6,1,0,3,5,1,45
27,5,2,1,3,0,5,0,0,0,1,1,1,2,2,1,1,1,4,0,30
28,10,2,1,3,2,8,0,0,0,1,0,0,1,1,0,0,2,0,2,33
29,2,0,0,2,1,3,0,0,0,1,1,2,1,2,1,0,1,3,1,21
30,3,1,0,2,0,2,0,0,1,0,1,0,1,2,0,0,0,0,2,15
31,6,1,1,0,0,4,1,0,1,1,0,0,0,1,0,1,0,1,0,18
32,2,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,9
33,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,10
34,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9
35,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7
37,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5
38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
