"distbin","PURPOSE","freq"
1,"work",50038
10,"work",26077
11,"work",22341
12,"work",18655
13,"work",15552
14,"work",12909
15,"work",10746
16,"work",9106
17,"work",7546
18,"work",6490
19,"work",5228
2,"work",226087
20,"work",4435
21,"work",3708
22,"work",3052
23,"work",2535
24,"work",2098
25,"work",1787
26,"work",1429
27,"work",1187
28,"work",1031
29,"work",840
3,"work",165226
30,"work",671
31,"work",614
32,"work",521
33,"work",434
34,"work",322
35,"work",269
36,"work",243
37,"work",179
38,"work",151
39,"work",139
4,"work",112368
40,"work",126
41,"work",93
42,"work",494
5,"work",76860
6,"work",59660
7,"work",48139
8,"work",38066
9,"work",32004
1,"univ",3902
10,"univ",3069
11,"univ",2670
12,"univ",2384
13,"univ",2106
14,"univ",1900
15,"univ",1645
16,"univ",1393
17,"univ",1269
18,"univ",1081
19,"univ",950
2,"univ",43372
20,"univ",818
21,"univ",779
22,"univ",662
23,"univ",590
24,"univ",550
25,"univ",460
26,"univ",387
27,"univ",380
28,"univ",308
29,"univ",279
3,"univ",23828
30,"univ",239
31,"univ",234
32,"univ",170
33,"univ",160
34,"univ",189
35,"univ",157
36,"univ",143
37,"univ",164
38,"univ",100
39,"univ",127
4,"univ",15901
40,"univ",76
41,"univ",82
42,"univ",1591
5,"univ",9769
6,"univ",7403
7,"univ",5829
8,"univ",4394
9,"univ",3888
1,"sch",13204
10,"sch",8909
11,"sch",7411
12,"sch",5949
13,"sch",4726
14,"sch",4109
15,"sch",3294
16,"sch",2739
17,"sch",2360
18,"sch",1855
19,"sch",1601
2,"sch",142703
20,"sch",1233
21,"sch",1114
22,"sch",895
23,"sch",755
24,"sch",616
25,"sch",536
26,"sch",440
27,"sch",407
28,"sch",322
29,"sch",248
3,"sch",91306
30,"sch",211
31,"sch",166
32,"sch",152
33,"sch",121
34,"sch",93
35,"sch",90
36,"sch",66
37,"sch",62
38,"sch",39
39,"sch",55
4,"sch",57831
40,"sch",29
41,"sch",29
42,"sch",134
5,"sch",33374
6,"sch",24147
7,"sch",18687
8,"sch",13846
9,"sch",11055
1,"esco",6284
10,"esco",5596
11,"esco",4534
12,"esco",3656
13,"esco",2909
14,"esco",2459
15,"esco",1971
16,"esco",1523
17,"esco",1279
18,"esco",992
19,"esco",831
2,"esco",61859
