"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",145,6,0,0,10,81,2,9,5
"2",248,3,3,1,13,118,1,3,1
"3",346,1,1,2,37,122,2,27,7
"4",585,4,4,10,32,175,2,24,5
"5",1124,10,2,27,68,259,3,27,3
"6",2233,31,1,87,134,370,7,33,12
"7",1420,56,102,242,258,569,10,48,7
"8",2280,112,2160,813,449,619,24,26,4
"9",2766,437,4613,306,814,951,28,34,30
"10",2888,305,3291,1209,858,1066,17,18,40
"11",4192,411,3164,845,1512,1176,32,20,32
"12",2876,330,1866,784,1882,1278,64,30,62
"13",1932,285,333,321,2344,1397,80,34,58
"14",1456,382,103,267,2619,1273,79,34,73
"15",1001,362,206,259,2284,1239,71,44,137
"16",1156,167,251,221,2653,1310,116,36,193
"17",1568,333,48,242,2855,1162,92,46,410
"18",1966,233,58,208,3114,1165,121,33,863
"19",2623,363,131,224,2310,1049,100,31,934
"20",2055,451,325,176,2093,1063,155,49,1111
"21",1681,346,683,173,2439,1046,147,38,1111
"22",1694,395,763,159,2781,931,135,30,810
"23",2127,241,1503,417,3223,1058,108,35,565
"24",2516,131,1380,904,2795,982,102,38,363
"25",2396,424,1801,1038,2651,1045,129,50,263
"26",2281,257,1638,1249,2578,1064,131,70,200
"27",2455,483,1831,975,2378,1135,152,57,138
"28",1827,321,1105,751,2194,1283,189,76,82
"29",2610,238,847,629,2109,1678,246,130,84
"30",1898,332,468,519,2058,2101,228,182,61
"31",1037,259,515,427,2500,1717,251,231,30
"32",1342,156,256,410,1539,2237,156,248,29
"33",866,225,171,322,1427,2185,115,301,27
"34",957,365,84,241,1432,1512,102,183,19
"35",1005,257,57,205,1641,1601,169,233,19
"36",1095,276,38,208,2093,1184,125,194,25
"37",960,259,84,161,685,685,178,117,14
"38",588,233,36,155,362,918,110,131,20
"39",608,230,21,99,352,574,95,78,19
"40",489,178,4,82,296,404,92,56,20
"41",486,169,7,76,158,268,51,21,18
"42",400,102,3,84,251,270,55,20,8
"43",280,70,2,43,155,108,32,12,16
"44",322,129,1,60,111,79,36,6,14
"45",373,81,1,29,93,73,25,11,14
"46",310,70,2,31,72,58,19,5,5
"47",451,76,0,29,69,17,15,0,7
"48",16,2,0,3,16,14,7,0,5
