"","1","2","3","4","5","6","7","8","9","10"
"1",772918,52737,143281,246929,261228,128044,145525,79753,289473,207062
"2",231626,24707,103458,38832,73233,66874,32111,19426,62131,32832
"3",67537,7897,39288,11873,26597,26359,6853,5591,23374,6727
"4",41313,6340,21913,12344,13660,22449,4941,4005,17819,3222
"5",92652,17312,58881,27078,66803,29967,14772,19607,35826,17975
"6",54321,5323,25360,6005,25419,14922,9288,4692,16128,4812
"7",19596,1824,7647,2647,6767,7777,1578,1112,6260,852
"8",13349,1468,4839,2477,6039,5091,979,844,2818,536
"9",19191,5498,9448,9008,25429,8781,5179,6663,9914,3229
"10",8293,870,1531,1937,9222,4541,2596,1310,4228,293
"11",4925,664,1391,648,5410,1710,850,1107,1433,429
"12",4400,749,960,1294,2137,2231,179,157,1257,86
"13",8399,4833,6324,6443,17704,7937,2738,8107,9228,3541
"14",2941,1509,248,1793,4949,3593,2376,248,3571,544
"15",2905,330,319,530,3114,1582,765,99,1206,481
"16",1482,749,306,815,3165,1950,587,745,1362,516
