"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",3298,178,592,357,1516,1152,100,78,205
"2",16774,3468,9786,4469,17954,13933,1036,828,3049
"3",11788,1712,5973,2864,10692,7848,694,507,1320
"4",7829,1130,3608,1894,7327,4706,483,357,829
"5",5203,704,2278,1274,4764,2913,339,237,573
"6",4255,532,1598,1020,3789,2192,272,213,454
"7",3299,386,1247,808,3175,1784,223,152,298
"8",2561,305,923,591,2458,1423,179,134,245
"9",2184,276,686,468,1967,1127,130,101,174
"10",1782,228,589,379,1762,937,117,84,143
"11",1477,186,512,296,1488,808,99,78,133
"12",1250,172,375,259,1232,623,89,58,113
"13",1027,159,308,197,1038,589,75,48,84
"14",890,124,269,166,870,446,59,44,68
"15",746,111,223,145,747,396,48,30,56
"16",609,106,172,117,610,291,41,26,42
"17",512,80,142,92,553,235,29,36,43
"18",416,76,123,59,461,218,40,23,34
"19",340,62,104,53,346,205,24,28,24
"20",260,62,65,38,337,149,22,15,18
"21",268,52,77,40,269,116,16,14,17
"22",199,50,55,34,212,101,20,13,9
"23",156,35,42,19,208,84,8,4,10
"24",155,34,39,21,164,64,8,10,2
"25",109,32,36,15,136,63,8,5,12
"26",89,34,21,5,97,45,15,6,3
"27",65,22,23,9,102,48,3,4,2
"28",72,30,16,5,85,27,3,6,1
"29",48,27,11,4,67,26,2,2,4
"30",48,20,12,5,57,19,2,0,1
"31",30,13,5,6,43,17,4,1,3
"32",21,11,12,6,39,18,3,2,0
"33",31,10,3,1,44,16,1,7,0
"34",24,10,5,2,22,9,2,1,1
"35",22,11,8,1,22,4,4,2,0
"36",13,9,3,0,18,4,0,1,1
"37",13,4,3,1,14,4,0,3,0
"38",10,8,4,1,15,2,2,1,1
"39",9,14,3,0,21,5,1,0,1
"40",7,7,4,0,21,5,1,0,0
"41",15,6,1,0,4,4,0,0,0
"42",26,91,7,2,51,13,4,0,0
