"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",171877,10738,0,0,0,0,0,0,0
"2",1304,46068,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0
"4",229464,31285,136937,82535,121050,101476,8118,6512,12999
"5",206435,13808,50914,53327,341478,161586,22217,13604,23698
"6",139816,8883,55931,27378,213911,97056,12407,6105,27218
"7",118946,11559,57926,30005,118113,93961,8866,6484,47889
"8",38978,11674,51363,14833,45537,71363,2754,5538,1834
"9",62636,11383,103848,15399,47838,73563,2951,5138,2396
"10",0,0,0,0,0,0,0,0,0
