"id","purpose","freq_stop","freq_trip"
1,"atwork",3,7
10,"atwork",29,88
11,"atwork",51,150
12,"atwork",53,190
13,"atwork",70,270
14,"atwork",69,337
15,"atwork",96,555
16,"atwork",184,1052
17,"atwork",389,2456
18,"atwork",883,6067
19,"atwork",989,7471
2,"atwork",4,12
20,"atwork",1085,7910
21,"atwork",1158,6798
22,"atwork",889,4737
23,"atwork",598,3020
24,"atwork",364,1843
25,"atwork",246,1254
26,"atwork",220,955
27,"atwork",143,684
28,"atwork",102,497
29,"atwork",79,343
3,"atwork",7,21
30,"atwork",67,265
31,"atwork",47,188
32,"atwork",37,113
33,"atwork",23,100
34,"atwork",14,57
35,"atwork",7,53
36,"atwork",19,75
37,"atwork",19,75
38,"atwork",15,71
39,"atwork",19,75
4,"atwork",8,25
40,"atwork",13,73
41,"atwork",21,74
42,"atwork",14,51
43,"atwork",5,40
44,"atwork",19,46
45,"atwork",14,39
46,"atwork",11,31
47,"atwork",5,22
48,"atwork",2,7
5,"atwork",11,35
6,"atwork",14,40
7,"atwork",13,47
8,"atwork",7,45
9,"atwork",19,70
1,"esco",1,1
10,"esco",1159,5229
11,"esco",848,3009
12,"esco",870,3654
13,"esco",346,1797
14,"esco",280,1311
15,"esco",284,1180
16,"esco",223,985
17,"esco",230,948
18,"esco",190,853
19,"esco",215,822
2,"esco",0,1
20,"esco",158,734
21,"esco",149,697
22,"esco",165,726
23,"esco",404,1582
24,"esco",894,3091
25,"esco",1005,4303
26,"esco",1300,4808
27,"esco",941,4715
28,"esco",834,3504
29,"esco",617,2860
3,"esco",2,12
30,"esco",553,2479
31,"esco",471,2152
32,"esco",434,1884
33,"esco",356,1548
34,"esco",263,1353
35,"esco",195,1063
36,"esco",204,961
37,"esco",160,780
38,"esco",124,623
39,"esco",101,549
4,"esco",7,44
40,"esco",97,456
41,"esco",87,431
42,"esco",99,369
43,"esco",25,219
44,"esco",39,231
45,"esco",28,170
46,"esco",62,185
47,"esco",49,145
48,"esco",6,84
5,"esco",21,117
6,"esco",87,390
7,"esco",232,995
8,"esco",855,2958
9,"esco",297,2027
1,"idisc",67,268
10,"idisc",1094,3511
11,"idisc",1126,3640
12,"idisc",1234,3783
13,"idisc",1427,4267
14,"idisc",1353,4037
15,"idisc",1184,3733
16,"idisc",1272,4112
17,"idisc",1159,3997
18,"idisc",1095,3921
19,"idisc",1020,3489
2,"idisc",119,378
20,"idisc",1103,3688
21,"idisc",1052,3546
22,"idisc",864,3459
23,"idisc",1020,3426
24,"idisc",1008,3353
25,"idisc",1000,3757
26,"idisc",1054,3747
27,"idisc",1159,3979
28,"idisc",1219,4257
29,"idisc",1693,5893
3,"idisc",126,451
30,"idisc",2036,7497
31,"idisc",1773,5741
32,"idisc",2185,7798
33,"idisc",2218,7486
34,"idisc",1501,6396
35,"idisc",1650,5741
36,"idisc",1183,5831
37,"idisc",721,4359
38,"idisc",850,3238
39,"idisc",499,2551
4,"idisc",169,623
40,"idisc",397,1697
41,"idisc",244,1152
42,"idisc",254,907
43,"idisc",148,612
44,"idisc",62,376
45,"idisc",76,294
46,"idisc",30,190
47,"idisc",29,148
48,"idisc",9,74
5,"idisc",312,961
6,"idisc",376,1244
7,"idisc",552,1748
8,"idisc",645,2233
9,"idisc",923,3051
1,"imain",8,15
10,"imain",891,2313
11,"imain",1420,3715
12,"imain",1790,4439
13,"imain",2319,5696
14,"imain",2393,6135
15,"imain",2178,5774
16,"imain",2631,7006
17,"imain",2624,7021
18,"imain",2870,7473
19,"imain",2286,7033
2,"imain",15,38
20,"imain",2149,5239
21,"imain",2386,5921
22,"imain",2668,6637
23,"imain",2973,7788
24,"imain",2689,8247
25,"imain",2514,6871
26,"imain",2364,6754
27,"imain",2385,6568
28,"imain",2091,6066
29,"imain",2126,6595
3,"imain",27,73
30,"imain",2160,5588
31,"imain",2436,6513
32,"imain",1482,5931
33,"imain",1480,4020
34,"imain",1501,4339
35,"imain",1646,4636
36,"imain",2013,5264
37,"imain",702,4772
38,"imain",389,1391
39,"imain",351,1212
4,"imain",24,91
40,"imain",294,900
41,"imain",183,665
42,"imain",254,617
43,"imain",150,431
44,"imain",131,343
45,"imain",93,258
46,"imain",50,174
