"purpose","nstops","freq"
"work","1",772918
"univ","1",52737
"sch","1",143281
"esco","1",246929
"imain","1",339614
"idisc","1",437836
"jmain","1",118692
"jdisc","1",186194
"atwork","1",207062
"Total","1",2505263
"work","2",324278
"univ","2",42019
"sch","2",162339
"esco","2",65910
"imain","2",212192
"idisc","2",162738
"jmain","2",59129
"jdisc","2",50424
"atwork","2",50807
"Total","2",1129836
"work","3",141049
"univ","3",18718
"sch","3",74096
"esco","3",26886
"imain","3",119655
"idisc","3",82032
"jmain","3",18935
"jdisc","3",13470
"atwork","3",14768
"Total","3",509609
"work","4",77601
"univ","4",13867
"sch","4",37415
"esco","4",23371
"imain","4",86491
"idisc","4",61212
"jmain","4",8591
"jdisc","4",6478
"atwork","4",7908
"Total","4",322934
"work","5",21215
"univ","5",3641
"sch","5",6478
"esco","5",4918
"imain","5",25714
"idisc","5",13751
"jmain","5",2633
"jdisc","5",1114
"atwork","5",1509
"Total","5",80973
"work","6",7305
"univ","6",1079
"sch","6",1279
"esco","6",1824
"imain","6",8758
"idisc","6",3517
"jmain","6",770
"jdisc","6",344
"atwork","6",567
"Total","6",25443
"work","7",1482
"univ","7",749
"sch","7",306
"esco","7",815
"imain","7",5051
"idisc","7",2663
"jmain","7",164
"jdisc","7",71
"atwork","7",516
"Total","7",11817
