"purpose","stop_purp","freq"
"work","1",12307
"univ","1",785
"sch","1",0
"esco","1",0
"imain","1",0
"idisc","1",0
"jmain","1",0
"jdisc","1",0
"atwork","1",0
"Total","1",13092
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",98
"univ","2",3383
"sch","2",0
"esco","2",0
"imain","2",0
"idisc","2",0
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",3481
"work","3",0
"univ","3",0
"sch","3",0
"esco","3",0
"imain","3",0
"idisc","3",0
"jmain","3",0
"jdisc","3",0
"atwork","3",0
"Total","3",0
"work","4",16536
"univ","4",2213
"sch","4",9226
"esco","4",5941
"imain","4",8620
"idisc","4",7163
"jmain","4",589
"jdisc","4",484
"atwork","4",893
"Total","4",51665
"work","5",15171
"univ","5",984
"sch","5",3432
"esco","5",3800
"imain","5",24306
"idisc","5",11234
"jmain","5",1587
"jdisc","5",1006
"atwork","5",1698
"Total","5",63218
"work","6",10002
"univ","6",640
"sch","6",3806
"esco","6",1959
"imain","6",15162
"idisc","6",6893
"jmain","6",884
"jdisc","6",435
"atwork","6",1944
"Total","6",41725
"work","7",8474
"univ","7",834
"sch","7",4063
"esco","7",2154
"imain","7",8367
"idisc","7",6753
"jmain","7",569
"jdisc","7",415
"atwork","7",3343
"Total","7",34972
"work","8",2796
"univ","8",854
"sch","8",3610
"esco","8",1041
"imain","8",3175
"idisc","8",4941
"jmain","8",176
"jdisc","8",395
"atwork","8",126
"Total","8",17114
"work","9",4542
"univ","9",812
"sch","9",7070
"esco","9",1072
"imain","9",3290
"idisc","9",5306
"jmain","9",223
"jdisc","9",388
"atwork","9",150
"Total","9",22853
