"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",700,8849,46935,56484
"10","work",0,0,0,0
"2","work",1217,5552,14647,21416
"3","work",94,2989,6007,9090
"4","work",195,221,220,636
"5","work",431,761,637,1829
"6","work",781,656,121,1558
"7","work",2066,1202,148,3416
"8","work",204,311,29,544
"9","work",0,0,0,0
"1","univ",41,98,1413,1552
"10","univ",0,0,0,0
"2","univ",124,594,2105,2823
"3","univ",72,882,1632,2586
"4","univ",84,379,673,1136
"5","univ",101,292,693,1086
"6","univ",21,30,1,52
"7","univ",25,277,33,335
"8","univ",0,22,16,38
"9","univ",0,0,0,0
"1","sch",0,19,867,886
"10","sch",0,0,0,0
"2","sch",30,663,4498,5191
"3","sch",327,1529,10697,12553
"4","sch",50,61,189,300
"5","sch",0,214,823,1037
"6","sch",1,23,1,25
"7","sch",1,35,0,36
"8","sch",0,0,0,0
"9","sch",295,1165,7981,9441
"1","imain",795,2673,28803,32271
"10","imain",0,0,0,0
"2","imain",1095,3756,20582,25433
"3","imain",1023,2284,16751,20058
"4","imain",687,216,914,1817
"5","imain",209,743,1388,2340
"6","imain",171,106,21,298
"7","imain",190,91,5,286
"8","imain",1046,44,45,1135
"9","imain",0,0,0,0
"1","idisc",731,2206,18098,21035
"10","idisc",0,0,0,0
"2","idisc",765,1101,10750,12616
"3","idisc",1355,2062,9128,12545
"4","idisc",916,316,1988,3220
"5","idisc",285,769,1792,2846
"6","idisc",63,69,13,145
"7","idisc",166,76,4,246
"8","idisc",78,566,1011,1655
"9","idisc",0,0,0,0
"1","jmain",0,0,0,0
"10","jmain",0,0,0,0
"2","jmain",434,578,7234,8246
"3","jmain",163,930,4470,5563
"4","jmain",38,68,308,414
"5","jmain",52,184,214,450
"6","jmain",13,0,0,13
"7","jmain",11,13,0,24
"8","jmain",0,80,346,426
"9","jmain",0,0,0,0
"1","jdisc",0,0,0,0
"10","jdisc",0,0,0,0
"2","jdisc",244,806,8814,9864
"3","jdisc",92,1203,5389,6684
"4","jdisc",31,134,468,633
"5","jdisc",35,300,225,560
"6","jdisc",0,0,2,2
"7","jdisc",10,7,0,17
"8","jdisc",0,110,451,561
"9","jdisc",0,0,0,0
"1","atwork",26,1405,7272,8703
"10","atwork",0,0,0,0
"2","atwork",384,916,4168,5468
"3","atwork",336,1048,2188,3572
"4","atwork",201,219,1584,2004
"5","atwork",20,0,0,20
"6","atwork",7,2,2,11
"7","atwork",1,0,0,1
"8","atwork",10,70,68,148
"9","atwork",0,0,0,0
"1","Total",2293,15250,103388,120931
"10","Total",0,0,0,0
"2","Total",4293,13966,72798,91057
"3","Total",3462,12927,56262,72651
"4","Total",2202,1614,6344,10160
"5","Total",1133,3263,5772,10168
"6","Total",1057,886,161,2104
"7","Total",2470,1701,190,4361
"8","Total",1338,1203,1966,4507
"9","Total",295,1165,7981,9441
