"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",1,0,0,0,0,11,0,0,0
"2",1,0,0,0,2,36,0,3,0
"3",0,0,0,2,2,58,0,12,2
"4",3,0,0,5,10,108,0,30,3
"5",2,0,1,18,12,148,3,36,7
"6",7,0,0,47,28,250,2,52,10
"7",29,1,7,166,52,357,11,48,11
"8",55,7,116,520,130,507,15,88,3
"9",92,11,224,1387,217,729,24,74,14
"10",101,13,97,1731,404,805,19,49,12
"11",134,18,82,571,528,854,22,55,18
"12",122,18,39,1236,720,877,27,32,29
"13",141,35,24,839,970,986,45,36,43
"14",143,40,22,574,1325,1131,60,35,29
"15",182,52,32,443,1699,1123,83,58,79
"16",218,48,42,362,1818,1268,121,67,161
"17",279,63,58,340,2079,1148,166,69,380
"18",335,96,59,322,2340,1265,106,67,954
"19",435,94,89,279,2757,1266,152,79,1764
"20",616,130,136,277,1125,1193,152,65,3945
"21",830,133,175,240,1479,1273,235,129,4250
"22",1133,141,300,250,1862,1489,165,102,2607
"23",1548,215,901,228,2591,1246,208,68,1840
"24",2183,260,2414,684,3546,1197,135,67,989
"25",3815,348,4720,1391,2409,1386,187,82,720
"26",5797,629,4808,1828,2701,1237,207,89,528
"27",7260,563,5637,2254,2612,1244,186,107,379
"28",9350,375,2436,1458,2541,1384,277,117,255
"29",11842,492,2039,1291,2520,1557,298,166,204
"30",10309,513,1600,1064,1555,1802,365,205,135
"31",8244,480,1242,979,1993,1505,375,299,89
"32",5923,488,790,839,2938,2169,468,390,50
"33",3917,440,464,681,1022,2437,199,484,38
"34",3833,449,328,585,1282,3055,180,827,40
"35",2982,405,185,505,1580,3015,164,647,28
"36",2329,383,128,448,2261,3636,181,869,27
"37",1828,354,91,360,3398,2905,172,793,28
"38",1523,307,72,329,658,1942,371,377,40
"39",1186,299,47,273,569,1783,242,313,32
"40",997,299,19,194,471,1226,175,221,28
"41",822,272,20,198,376,865,148,105,31
"42",807,240,10,169,296,602,108,65,21
"43",700,200,5,137,216,419,59,53,27
"44",671,166,5,110,183,317,52,32,18
"45",590,144,2,121,142,214,52,18,28
"46",561,125,2,73,114,134,43,10,9
"47",1097,262,1,158,139,149,64,19,22
