"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",417,11,8,0,11,201,4,51,6
"2",643,8,6,7,26,251,10,46,13
"3",1178,4,2,13,50,311,11,63,13
"4",2007,15,3,34,88,409,15,59,12
"5",3524,32,4,91,148,495,14,57,16
"6",6723,61,2,216,272,671,19,59,25
"7",8808,157,348,672,504,911,23,74,10
"8",12775,310,5311,1394,797,1179,36,42,22
"9",12839,820,10828,207,1284,1714,45,54,40
"10",12312,517,4728,2512,1388,2017,61,38,61
"11",9261,901,4910,1730,2223,1797,83,54,77
"12",5484,625,1683,1466,2552,1807,203,126,123
"13",3254,612,766,451,2963,2170,188,130,167
"14",1826,413,334,386,3009,1539,191,103,221
"15",1467,320,170,403,1731,1361,187,108,407
"16",1285,274,84,380,2502,1597,177,71,667
"17",1097,294,46,373,2571,1603,192,107,1725
"18",986,283,32,310,2423,1623,175,109,4142
"19",925,255,22,312,2155,1149,197,83,4520
"20",772,246,14,308,2124,1315,179,66,2783
"21",693,221,13,290,2215,1128,195,67,1278
"22",612,230,8,371,2210,1106,163,90,1101
"23",656,205,12,1002,2067,1117,167,99,714
"24",567,226,16,1476,1923,1184,157,109,455
"25",546,214,23,2011,1801,1325,188,155,317
"26",519,231,31,1564,1719,1416,210,197,250
"27",488,222,26,1319,1555,1579,250,253,167
"28",510,216,14,1073,1457,1797,275,341,121
"29",579,189,10,884,2152,2863,436,464,77
"30",526,225,7,795,2054,3856,360,778,76
"31",375,184,5,753,1801,2170,307,876,47
"32",274,156,3,558,1457,3620,239,833,35
"33",241,167,0,472,1445,2175,212,708,41
"34",197,141,0,393,1368,1585,179,481,28
"35",162,123,0,354,1119,1134,185,270,26
"36",126,104,0,273,869,779,140,171,33
"37",71,97,0,192,603,530,217,104,19
"38",77,73,0,193,315,349,155,60,24
"39",57,57,0,159,224,223,71,26,13
"40",41,50,0,125,159,110,55,15,18
"41",19,42,0,109,110,63,44,4,9
"42",16,20,0,90,75,41,37,3,8
"43",7,21,0,73,66,22,33,1,6
"44",13,12,0,66,38,10,15,1,10
"45",9,10,0,45,29,6,13,2,1
"46",5,4,0,39,13,0,7,1,3
"47",4,10,0,22,7,0,4,0,0
