"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",106,274,336,3333,2309,4224,502,217,1243
"2",416,250,186,9616,10010,5975,765,570,6802
"3",405,279,138,6636,9536,4140,651,1197,5930
"4",431,310,83,2160,8855,5929,946,1598,2847
"5",475,326,56,983,6116,7096,1057,1048,1360
"6",508,336,58,745,4164,5616,732,1024,830
"7",566,463,54,527,3110,4500,463,690,343
"8",607,545,61,399,2465,3382,272,434,236
"9",655,533,77,323,1810,2628,208,257,134
"10",813,397,101,258,1382,1992,157,141,99
"11",864,324,149,232,1132,1550,95,106,70
"12",1186,461,175,191,902,1174,78,75,50
"13",1381,372,259,149,728,1008,60,46,47
"14",1763,379,310,155,662,765,40,34,29
"15",2383,351,1035,150,549,626,26,29,26
"16",3313,400,4880,148,425,501,26,13,24
"17",4497,349,7491,105,378,442,24,14,17
"18",5043,360,4840,87,301,376,17,10,14
"19",7948,303,2388,60,229,350,3,12,9
"20",9818,294,1991,46,236,285,5,4,7
"21",11764,269,1522,46,165,252,4,5,4
"22",10065,209,1309,29,148,211,3,2,3
"23",7822,214,1027,15,109,197,3,4,3
"24",7028,210,752,18,90,181,3,0,4
"25",4680,177,472,14,83,133,0,3,1
"26",4106,150,261,14,68,120,1,0,2
"27",2721,136,199,14,50,107,1,2,2
"28",1843,141,131,9,36,78,1,0,0
"29",1188,106,88,11,39,74,0,3,1
"30",810,107,40,5,31,56,1,3,0
"31",524,99,46,5,22,50,0,1,1
"32",374,82,20,7,19,38,1,0,1
"33",266,64,16,5,22,31,3,0,0
"34",175,57,9,13,10,31,0,2,0
"35",107,49,4,8,13,16,0,0,0
"36",76,46,4,8,11,10,0,0,0
"37",46,29,4,3,11,9,0,1,0
"38",34,20,1,3,3,4,0,1,0
"39",18,13,0,1,10,7,0,0,0
"40",14,17,1,0,2,1,0,0,0
"41",8,9,2,1,1,4,0,0,0
"42",6,6,0,0,3,1,0,0,1
"43",3,4,0,0,1,2,0,0,0
"44",3,1,0,0,1,2,0,2,0
"45",2,0,0,2,0,0,0,1,0
"46",2,0,0,0,0,1,0,0,0
"47",0,0,0,0,1,0,0,1,0
