"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",71,1,17344
1,"esc",17,0,47124
1,"idisc",2771,168,58050
1,"imain",167,2,32916
1,"jdisc",654,12,2921
1,"jmain",77,1,7389
1,"sch",599,6,4925
1,"Total",10451,193,175262
1,"univ",247,0,3070
1,"work",5848,3,1523
2,"atwork",159,7,94129
2,"esc",54,1,136064
2,"idisc",3527,469,85790
2,"imain",362,18,141182
2,"jdisc",730,56,8104
2,"jmain",110,0,10965
2,"sch",272,6,2697
2,"Total",14954,567,487317
2,"univ",238,2,3026
2,"work",9502,8,5360
3,"atwork",190,15,83900
3,"esc",141,22,92011
3,"idisc",4563,814,59398
3,"imain",597,44,135495
3,"jdisc",850,158,17292
3,"jmain",141,1,9567
3,"sch",144,3,1624
3,"Total",22622,1071,408033
3,"univ",201,1,3129
3,"work",15795,13,5617
4,"atwork",243,42,40582
4,"esc",454,63,29703
4,"idisc",5751,1397,84529
4,"imain",1155,106,125745
4,"jdisc",985,352,22999
4,"jmain",197,16,13421
4,"sch",80,1,947
4,"Total",37331,2005,327412
4,"univ",350,0,3479
4,"work",28116,28,6007
5,"atwork",264,108,19472
5,"esc",1149,239,13405
5,"idisc",7515,2300,98313
5,"imain",2144,227,88113
5,"jdisc",982,491,14661
5,"jmain",248,25,14200
5,"sch",47,6,744
5,"Total",63965,3487,259028
5,"univ",671,2,3967
5,"work",50945,89,6153
6,"atwork",275,113,11604
6,"esc",3425,696,9877
6,"idisc",9737,3660,78149
6,"imain",3864,451,58466
6,"jdisc",1019,790,15038
6,"jmain",311,64,9889
6,"sch",27,9,690
6,"Total",114796,5986,195183
6,"univ",1401,8,4713
6,"work",94737,195,6757
7,"atwork",228,119,5168
7,"esc",9840,2337,7292
7,"idisc",12654,5421,62916
7,"imain",6784,966,44702
7,"jdisc",883,1030,9384
7,"jmain",418,136,6391
7,"sch",5585,127,799
7,"Total",163124,10507,149681
7,"univ",2585,20,5641
7,"work",124147,351,7388
8,"atwork",365,150,2970
8,"esc",20879,7327,5616
8,"idisc",17000,7711,48523
8,"imain",11246,1891,33571
8,"jdisc",712,1237,5673
8,"jmain",515,236,4422
8,"sch",74287,1716,889
8,"Total",311311,21014,117216
8,"univ",5328,37,7361
8,"work",180979,709,8191
9,"atwork",548,161,2024
9,"esc",3236,21012,4413
9,"idisc",23663,10207,36616
9,"imain",17718,3472,25799
9,"jdisc",748,1197,3478
9,"jmain",644,362,3099
9,"sch",169747,3450,1120
9,"Total",412605,41160,93378
9,"univ",11741,122,7488
9,"work",184560,1177,9341
10,"atwork",818,196,1390
10,"esc",34303,24028,3717
10,"idisc",28665,11368,28475
10,"imain",19888,5333,19779
10,"jdisc",582,782,2279
10,"jmain",875,337,2059
10,"sch",66481,1595,1456
10,"Total",332803,45411,75004
10,"univ",7094,162,5055
10,"work",174097,1610,10794
11,"atwork",1129,283,1022
11,"esc",25421,8061,2965
11,"idisc",26278,12524,21977
11,"imain",30224,7464,16129
11,"jdisc",822,697,1404
11,"jmain",1434,397,1483
11,"sch",65742,1128,1903
11,"Total",295287,32589,64011
11,"univ",12054,220,4434
11,"work",132183,1815,12694
12,"atwork",1579,369,757
12,"esc",21057,18479,2537
12,"idisc",24924,12650,16995
12,"imain",34688,10008,13132
12,"jdisc",2011,495,975
12,"jmain",2440,424,1105
12,"sch",21756,476,2304
12,"Total",195872,44915,59271
12,"univ",7686,244,5833
12,"work",79731,1770,15633
13,"atwork",2072,499,625
13,"esc",6564,11811,2164
13,"idisc",30186,13846,13716
13,"imain",41193,13328,10665
13,"jdisc",1711,487,695
13,"jmain",2720,541,768
13,"sch",9429,409,3014
13,"Total",147676,43114,56364
13,"univ",8072,356,5222
13,"work",45729,1837,19495
14,"atwork",3225,604,458
14,"esc",6093,8823,2165
14,"idisc",22196,15777,10949
14,"imain",40631,18644,9001
14,"jdisc",1573,604,458
14,"jmain",2801,785,600
14,"sch",4348,342,3950
14,"Total",112439,48129,57581
14,"univ",5200,482,4983
14,"work",26372,2068,25017
15,"atwork",5506,1154,378
15,"esc",5668,6470,2113
15,"idisc",19117,16272,8958
15,"imain",24385,23365,7333
15,"jdisc",1547,793,341
15,"jmain",2722,1191,422
15,"sch",2182,418,13725
15,"Total",86632,52724,71392
15,"univ",4637,570,4962
15,"work",20868,2491,33160
16,"atwork",10058,2404,285
16,"esc",5294,5424,1972
16,"idisc",21670,17297,7364
16,"imain",35133,25190,6073
16,"jdisc",1001,892,260
16,"jmain",2716,1737,348
16,"sch",1186,513,62554
16,"Total",98872,57074,129030
16,"univ",4142,680,4901
16,"work",17672,2937,45273
17,"atwork",24609,5186,226
17,"esc",4832,4936,1536
17,"idisc",22285,16663,6332
17,"imain",35416,28781,5065
17,"jdisc",1339,1010,211
17,"jmain",2668,2359,248
17,"sch",623,698,97812
17,"Total",110746,64085,179813
17,"univ",3693,834,4733
17,"work",15281,3618,63650
18,"atwork",58659,13674,174
18,"esc",4656,4622,1221
18,"idisc",22538,17469,5298
18,"imain",32343,32675,4329
18,"jdisc",1453,1071,164
18,"jmain",2498,1591,206
18,"sch",339,867,65803
18,"Total",139708,77686,152016
18,"univ",3656,1017,4670
18,"work",13566,4700,70151
19,"atwork",64546,25210,148
19,"esc",4528,4353,872
19,"idisc",16692,17409,4651
19,"imain",28922,37042,3573
19,"jdisc",1442,1107,109
19,"jmain",2423,2088,137
19,"sch",200,1151,34012
19,"Total",134374,95710,159901
19,"univ",3604,1186,4606
19,"work",12017,6164,111793
20,"atwork",39913,55326,125
20,"esc",4301,4055,637
20,"idisc",18179,17077,4007
20,"imain",29458,15849,2993
20,"jdisc",1120,1147,89
20,"jmain",2309,2317,108
20,"sch",141,1577,28460
20,"Total",109804,107034,178059
20,"univ",3473,1366,3960
20,"work",10910,8320,137680
21,"atwork",18125,60595,81
21,"esc",4404,3653,541
21,"idisc",15884,17708,3366
21,"imain",30835,19755,2442
21,"jdisc",1178,1637,80
21,"jmain",2256,2961,97
21,"sch",103,2132,22813
21,"Total",85945,121747,195900
21,"univ",3205,1791,3900
21,"work",9955,11515,162580
22,"atwork",15515,37153,81
22,"esc",5131,3372,369
22,"idisc",15249,20645,3018
22,"imain",29907,25588,1991
22,"jdisc",1153,1539,58
22,"jmain",2131,2180,52
22,"sch",77,3859,19460
22,"Total",81561,112858,167111
22,"univ",3206,2091,3567
22,"work",9192,16431,138515
23,"atwork",9871,25715,44
23,"esc",14148,3427,342
23,"idisc",15117,17080,2669
23,"imain",28913,34424,1548
23,"jdisc",1356,1097,63
23,"jmain",2049,2805,45
23,"sch",124,12208,15576
23,"Total",82907,121800,133411
23,"univ",3097,2648,3425
23,"work",8232,22396,109699
24,"atwork",6636,14078,28
24,"esc",21455,9764,242
24,"idisc",16150,16743,2446
24,"imain",25145,47632,1377
24,"jdisc",1542,1114,42
24,"jmain",2189,1935,39
24,"sch",262,32225,11521
24,"Total",84149,157767,117019
24,"univ",3063,3111,3187
24,"work",7707,31165,98137
25,"atwork",4657,10499,38
25,"esc",27909,19684,210
25,"idisc",17623,19294,2160
25,"imain",24297,33953,1101
25,"jdisc",1954,1153,42
25,"jmain",2449,2446,16
25,"sch",403,67533,7755
25,"Total",89691,212049,79682
25,"univ",2969,4395,2805
25,"work",7430,53092,65555
26,"atwork",3234,7557,23
26,"esc",22811,25498,182
26,"idisc",19785,17089,1748
26,"imain",23322,35993,921
26,"jdisc",2565,1264,26
26,"jmain",3056,2713,20
26,"sch",358,67030,5407
26,"Total",85305,249499,66889
26,"univ",2951,8252,2629
26,"work",7223,84103,55933
27,"atwork",2256,5454,16
27,"esc",17938,31637,166
27,"idisc",22636,17872,1580
27,"imain",21686,36726,715
27,"jdisc",3482,1481,25
27,"jmain",3565,2647,18
27,"sch",312,76882,3838
27,"Total",81851,281729,46432
27,"univ",2868,6890,2342
27,"work",7108,102140,37732
28,"atwork",1561,3872,4
28,"esc",14865,20571,143
28,"idisc",24534,18929,1317
28,"imain",20164,34733,620
28,"jdisc",4358,1827,10
28,"jmain",3686,3768,21
28,"sch",155,34017,2573
28,"Total",79280,253113,31718
28,"univ",2687,4537,2140
28,"work",7270,130859,24890
29,"atwork",1123,2692,10
29,"esc",13065,17678,129
29,"idisc",40540,21732,1022
29,"imain",30376,34597,519
29,"jdisc",6070,2264,17
29,"jmain",5814,4276,14
29,"sch",92,29364,1829
29,"Total",107343,289387,22326
29,"univ",2777,6320,1990
29,"work",7486,170464,16796
30,"atwork",816,1769,6
30,"esc",11071,15506,127
30,"idisc",53773,25648,780
30,"imain",27683,21276,369
30,"jdisc",11289,2916,20
30,"jmain",4835,4388,12
30,"sch",58,24318,1351
30,"Total",119402,250871,15577
30,"univ",2651,6364,1741
30,"work",7226,148686,11171
31,"atwork",732,1211,6
31,"esc",9536,13141,97
31,"idisc",31318,21213,634
31,"imain",26307,27854,331
31,"jdisc",12097,3898,14
31,"jmain",4371,5188,7
31,"sch",19,19593,952
31,"Total",91952,215151,10968
31,"univ",2620,6521,1515
31,"work",4952,116532,7412
32,"atwork",598,830,2
32,"esc",7988,11600,96
32,"idisc",50910,30145,512
32,"imain",21469,40716,260
32,"jdisc",11722,5589,8
32,"jmain",3383,6540,8
32,"sch",7,13107,721
32,"Total",102728,198840,8108
32,"univ",2356,6612,1441
32,"work",4295,83701,5060
33,"atwork",528,559,4
33,"esc",6820,9812,86
33,"idisc",31816,34547,386
33,"imain",20609,14549,228
33,"jdisc",10292,6698,13
33,"jmain",3058,2592,10
33,"sch",5,8774,518
33,"Total",78620,139710,5905
33,"univ",2079,6244,1241
33,"work",3413,55935,3419
34,"atwork",458,396,3
34,"esc",5824,8523,123
34,"idisc",22825,43111,299
34,"imain",19654,17464,198
34,"jdisc",6439,11139,10
34,"jmain",2918,2682,4
34,"sch",3,6046,363
34,"Total",62668,148569,4441
34,"univ",1889,5982,1118
34,"work",2658,53226,2323
35,"atwork",391,377,2
35,"esc",4907,7259,98
35,"idisc",15962,41947,204
35,"imain",15744,22613,158
35,"jdisc",3878,9155,7
35,"jmain",2655,2580,6
35,"sch",0,4012,315
35,"Total",47383,135515,3406
35,"univ",1619,5759,1031
35,"work",2227,41813,1585
36,"atwork",363,459,2
36,"esc",3957,6207,77
36,"idisc",11253,51401,164
36,"imain",11739,31860,145
36,"jdisc",2438,11453,8
36,"jmain",2058,2511,5
36,"sch",1,2681,206
36,"Total",34941,144823,2656
36,"univ",1447,5398,898
36,"work",1685,32853,1151
37,"atwork",345,442,2
37,"esc",3344,5294,81
37,"idisc",7353,40064,125
37,"imain",8581,48257,115
37,"jdisc",1368,11278,11
37,"jmain",2912,2497,0
37,"sch",0,1979,163
37,"Total",26376,140910,1999
37,"univ",1225,5199,748
37,"work",1248,25900,754
38,"atwork",320,456,0
38,"esc",2848,4493,70
38,"idisc",4578,29103,100
38,"imain",4697,9930,95
38,"jdisc",779,5695,5
38,"jmain",1835,5406,3
38,"sch",0,1400,132
38,"Total",17040,82024,1549
38,"univ",1004,4819,635
38,"work",979,20722,509
39,"atwork",271,422,1
39,"esc",2397,3766,21
39,"idisc",2801,24280,59
39,"imain",3156,8082,75
39,"jdisc",423,4811,5
39,"jmain",1084,3402,0
39,"sch",0,963,104
39,"Total",11642,67114,1082
39,"univ",806,4564,481
39,"work",704,16824,336
40,"atwork",219,443,1
40,"esc",1915,3311,3
40,"idisc",1689,16813,59
40,"imain",2106,6505,74
40,"jdisc",259,2570,8
40,"jmain",783,2427,1
40,"sch",0,731,87
40,"Total",8159,51190,804
40,"univ",685,4184,339
