"distbin","PURPOSE","freq"
1,"esco",2521
10,"esco",870
11,"esco",776
12,"esco",665
13,"esco",582
14,"esco",468
15,"esco",383
16,"esco",347
17,"esco",268
18,"esco",240
19,"esco",176
2,"esco",3166
20,"esco",145
21,"esco",122
22,"esco",128
23,"esco",106
24,"esco",104
25,"esco",86
26,"esco",79
27,"esco",71
28,"esco",60
29,"esco",58
3,"esco",3164
30,"esco",40
31,"esco",46
32,"esco",40
33,"esco",41
34,"esco",37
35,"esco",28
36,"esco",28
37,"esco",31
38,"esco",25
39,"esco",20
4,"esco",2675
40,"esco",17
41,"esco",296
5,"esco",2183
6,"esco",1908
7,"esco",1561
8,"esco",1298
9,"esco",1107
1,"imain",4373
10,"imain",1891
11,"imain",1613
12,"imain",1297
13,"imain",1065
14,"imain",883
15,"imain",749
16,"imain",634
17,"imain",583
18,"imain",490
19,"imain",442
2,"imain",6532
20,"imain",394
21,"imain",430
22,"imain",389
23,"imain",282
24,"imain",347
25,"imain",264
26,"imain",256
27,"imain",204
28,"imain",199
29,"imain",192
3,"imain",7241
30,"imain",188
31,"imain",171
32,"imain",147
33,"imain",131
34,"imain",121
35,"imain",104
36,"imain",84
37,"imain",106
38,"imain",88
39,"imain",70
4,"imain",5963
40,"imain",61
41,"imain",898
5,"imain",5354
6,"imain",4490
7,"imain",3535
8,"imain",3094
9,"imain",2317
1,"idisc",4392
10,"idisc",2043
11,"idisc",1635
12,"idisc",1449
13,"idisc",1165
14,"idisc",1056
15,"idisc",814
16,"idisc",756
17,"idisc",639
18,"idisc",584
19,"idisc",537
2,"idisc",5474
20,"idisc",514
21,"idisc",474
22,"idisc",431
23,"idisc",391
24,"idisc",289
25,"idisc",287
26,"idisc",270
27,"idisc",254
28,"idisc",185
29,"idisc",207
3,"idisc",6229
30,"idisc",178
31,"idisc",175
32,"idisc",164
33,"idisc",140
34,"idisc",129
35,"idisc",128
36,"idisc",124
37,"idisc",99
38,"idisc",97
39,"idisc",65
4,"idisc",5045
40,"idisc",83
41,"idisc",965
5,"idisc",4381
6,"idisc",3887
7,"idisc",3219
8,"idisc",2899
9,"idisc",2455
1,"jmain",910
10,"jmain",518
11,"jmain",492
12,"jmain",391
13,"jmain",298
14,"jmain",249
15,"jmain",244
16,"jmain",207
17,"jmain",172
18,"jmain",195
19,"jmain",159
2,"jmain",1577
20,"jmain",102
21,"jmain",103
22,"jmain",160
23,"jmain",112
24,"jmain",83
25,"jmain",112
26,"jmain",83
27,"jmain",77
28,"jmain",63
29,"jmain",52
3,"jmain",1804
30,"jmain",55
31,"jmain",48
32,"jmain",41
33,"jmain",55
34,"jmain",80
35,"jmain",27
36,"jmain",29
37,"jmain",31
38,"jmain",38
39,"jmain",27
4,"jmain",1433
40,"jmain",38
41,"jmain",212
5,"jmain",1291
6,"jmain",1029
7,"jmain",970
8,"jmain",891
9,"jmain",678
1,"jdisc",1359
10,"jdisc",752
11,"jdisc",601
12,"jdisc",525
13,"jdisc",451
14,"jdisc",394
15,"jdisc",265
16,"jdisc",246
17,"jdisc",231
18,"jdisc",242
19,"jdisc",191
2,"jdisc",1763
20,"jdisc",145
21,"jdisc",141
22,"jdisc",159
23,"jdisc",107
24,"jdisc",125
25,"jdisc",93
26,"jdisc",111
27,"jdisc",114
28,"jdisc",82
29,"jdisc",83
3,"jdisc",2020
30,"jdisc",58
31,"jdisc",53
32,"jdisc",61
33,"jdisc",62
34,"jdisc",46
35,"jdisc",32
36,"jdisc",42
37,"jdisc",20
38,"jdisc",27
39,"jdisc",31
4,"jdisc",1621
40,"jdisc",33
41,"jdisc",291
5,"jdisc",1415
6,"jdisc",1354
7,"jdisc",1147
8,"jdisc",1006
9,"jdisc",822
1,"atwork",3563
10,"atwork",618
11,"atwork",437
12,"atwork",345
13,"atwork",289
14,"atwork",254
15,"atwork",190
16,"atwork",170
17,"atwork",140
18,"atwork",111
19,"atwork",124
2,"atwork",2674
20,"atwork",116
21,"atwork",109
22,"atwork",113
23,"atwork",82
24,"atwork",72
25,"atwork",66
26,"atwork",52
27,"atwork",47
28,"atwork",40
29,"atwork",39
3,"atwork",2471
30,"atwork",55
31,"atwork",30
32,"atwork",24
33,"atwork",28
34,"atwork",19
35,"atwork",18
36,"atwork",26
37,"atwork",14
38,"atwork",17
39,"atwork",6
4,"atwork",1949
40,"atwork",11
41,"atwork",146
5,"atwork",1499
6,"atwork",1309
7,"atwork",1031
8,"atwork",929
9,"atwork",694
1,"Total",17118
10,"Total",6692
11,"Total",5554
12,"Total",4672
13,"Total",3850
14,"Total",3304
15,"Total",2645
16,"Total",2360
17,"Total",2033
18,"Total",1862
19,"Total",1629
2,"Total",21186
20,"Total",1416
21,"Total",1379
22,"Total",1380
23,"Total",1080
24,"Total",1020
25,"Total",908
26,"Total",851
27,"Total",767
28,"Total",629
29,"Total",631
3,"Total",22929
30,"Total",574
31,"Total",523
32,"Total",477
33,"Total",457
34,"Total",432
35,"Total",337
36,"Total",333
37,"Total",301
38,"Total",292
39,"Total",219
4,"Total",18686
40,"Total",243
41,"Total",2808
5,"Total",16123
6,"Total",13977
7,"Total",11463
8,"Total",10117
9,"Total",8073
