"PERTYPE","freq_inm","freq_m","freq_nm","freq_atwork","freq"
1,0,0,1,0,6607
1,0,0,2,0,714
1,0,1,0,0,44727
1,0,1,0,1,12452
1,0,1,0,2,100
1,0,2,0,0,1695
1,0,2,0,1,434
1,0,2,0,2,27
1,1,0,1,0,7806
1,1,0,2,0,1370
1,1,0,3,0,127
1,1,1,1,0,9648
1,1,1,1,1,3226
1,1,1,1,2,34
1,1,2,1,0,217
1,1,2,1,1,58
1,1,2,1,2,4
1,2,0,2,0,2971
1,2,0,3,0,371
1,2,0,4,0,41
1,2,1,2,0,2089
1,2,1,2,1,695
1,2,1,2,2,5
1,2,2,2,0,29
1,2,2,2,1,10
1,2,2,2,2,1
1,3,0,3,0,865
1,3,0,4,0,97
1,3,0,5,0,18
1,3,1,3,0,343
1,3,1,3,1,130
1,3,1,3,2,5
1,3,2,3,0,3
1,4,0,4,0,199
1,4,0,5,0,22
1,4,0,6,0,2
1,4,1,4,0,66
1,4,1,4,1,28
1,5,0,5,0,35
1,5,0,6,0,8
1,5,0,7,0,4
1,5,1,5,0,6
1,5,1,5,1,5
1,6,0,6,0,7
1,6,0,8,0,1
1,6,1,6,0,1
1,6,1,6,1,2
2,0,0,1,0,873
2,0,0,2,0,165
2,0,1,0,0,4159
2,0,1,0,1,195
2,0,1,0,2,3
2,0,2,0,0,1024
2,0,2,0,1,72
2,0,2,0,2,5
2,1,0,1,0,2422
2,1,0,2,0,507
2,1,0,3,0,96
2,1,1,1,0,1967
2,1,1,1,1,115
2,1,1,1,2,1
2,1,2,1,0,231
2,1,2,1,1,12
2,2,0,2,0,1753
2,2,0,3,0,288
2,2,0,4,0,36
2,2,1,2,0,1098
2,2,1,2,1,40
2,2,1,2,2,3
2,2,2,2,0,54
2,2,2,2,1,2
2,3,0,3,0,817
2,3,0,4,0,127
2,3,0,5,0,11
2,3,1,3,0,366
2,3,1,3,1,13
2,3,2,3,0,9
2,4,0,4,0,214
2,4,0,5,0,35
2,4,0,6,0,1
2,4,1,4,0,113
2,4,1,4,1,5
2,4,2,4,0,2
2,5,0,5,0,46
2,5,0,6,0,8
2,5,1,5,0,17
2,5,1,5,1,1
2,5,2,5,0,1
2,6,0,6,0,4
2,6,1,6,0,6
3,0,0,1,0,840
3,0,0,2,0,86
3,0,1,0,0,4386
3,0,2,0,0,323
3,1,0,1,0,385
3,1,0,2,0,65
3,1,0,3,0,10
3,1,1,1,0,355
3,1,2,1,0,15
3,2,0,2,0,269
3,2,0,3,0,36
3,2,0,4,0,7
3,2,1,2,0,117
3,2,2,2,0,6
3,3,0,3,0,242
3,3,0,4,0,18
3,3,0,5,0,4
3,3,1,3,0,96
3,4,0,4,0,97
3,4,0,5,0,3
3,4,1,4,0,6
3,5,0,5,0,10
4,0,0,1,0,1679
4,0,0,2,0,384
4,1,0,1,0,11188
4,1,0,2,0,998
4,1,0,3,0,137
4,2,0,2,0,3769
4,2,0,3,0,440
4,2,0,4,0,69
4,3,0,3,0,1540
4,3,0,4,0,161
4,3,0,5,0,22
4,4,0,4,0,587
4,4,0,5,0,39
4,4,0,6,0,6
4,5,0,5,0,99
4,6,0,6,0,12
5,0,0,1,0,2449
5,0,0,2,0,721
5,1,0,1,0,10763
5,1,0,2,0,1126
5,1,0,3,0,238
5,2,0,2,0,3416
5,2,0,3,0,372
5,2,0,4,0,34
5,3,0,3,0,1006
5,3,0,4,0,89
5,4,0,4,0,193
5,4,0,5,0,1
5,5,0,5,0,52
5,6,0,6,0,7
6,0,0,1,0,587
6,0,0,2,0,79
6,0,1,0,0,2851
6,0,1,0,1,59
6,0,1,0,2,1
6,0,2,0,0,96
6,0,2,0,1,2
6,1,0,1,0,315
6,1,0,2,0,129
6,1,0,3,0,19
6,1,1,1,0,877
6,1,1,1,1,17
6,1,2,1,0,31
6,2,0,2,0,62
6,2,0,3,0,20
6,2,0,4,0,7
6,2,1,2,0,137
6,2,1,2,1,5
6,2,1,2,2,1
6,2,2,2,0,2
6,3,0,3,0,18
6,3,0,4,0,9
6,3,1,3,0,36
6,3,1,3,1,2
6,3,2,3,0,2
6,4,0,4,0,3
6,4,1,4,0,1
7,0,0,1,0,3686
7,0,0,2,0,563
7,0,1,0,0,15438
7,0,2,0,0,454
7,1,0,1,0,2386
7,1,0,2,0,682
7,1,0,3,0,79
7,1,1,1,0,3876
7,1,2,1,0,33
7,2,0,2,0,427
7,2,0,3,0,63
7,2,0,4,0,8
7,2,1,2,0,720
7,2,2,2,0,2
7,3,0,3,0,64
7,3,0,4,0,4
7,3,1,3,0,44
7,4,0,4,0,6
7,4,1,4,0,5
7,5,1,5,0,1
8,0,0,1,0,1465
8,0,0,2,0,208
8,0,1,0,0,502
8,1,0,1,0,7267
8,1,0,2,0,257
8,1,0,3,0,37
8,1,1,1,0,133
8,2,0,2,0,1127
8,2,0,3,0,39
8,2,0,4,0,8
8,2,1,2,0,19
8,3,0,3,0,170
8,3,0,4,0,2
8,4,0,4,0,24
8,4,0,5,0,1
8,5,0,5,0,1
8,6,0,6,0,1
