"","PERTYPE","TOURPURP","freq"
"1",1,4,6472
"2",1,5,10994
"3",1,6,6150
"4",1,7,5318
"5",1,8,2809
"6",1,9,9178
"7",2,4,4098
"8",2,5,5191
"9",2,6,2448
"10",2,7,1754
"11",2,8,885
"12",2,9,3457
"13",3,4,1016
"14",3,5,640
"15",3,6,274
"16",3,7,495
"17",3,8,176
"18",3,9,653
"19",4,4,8524
"20",4,5,7645
"21",4,6,4812
"22",4,7,1893
"23",4,8,1637
"24",4,9,4632
"25",5,4,1344
"26",5,5,8654
"27",5,6,4771
"28",5,7,2032
"29",5,8,1918
"30",5,9,5415
"31",6,4,136
"32",6,5,390
"33",6,6,423
"34",6,7,156
"35",6,8,323
"36",6,9,645
"37",7,4,1533
"38",7,5,1452
"39",7,6,633
"40",7,7,1538
"41",7,8,723
"42",7,9,4002
"43",8,4,2843
"44",8,5,1933
"45",8,6,1262
"46",8,7,1072
"47",8,8,739
"48",8,9,2858
