"distbin","drive","walk","Total"
1,90,17,107
2,83,150,233
3,82,321,403
4,91,407,498
5,129,369,498
6,130,310,440
7,130,239,369
8,142,192,334
9,129,119,248
10,153,117,270
11,136,71,207
12,158,76,234
13,160,44,204
14,159,39,198
15,140,25,165
16,142,13,155
17,139,9,148
18,143,20,163
19,127,16,143
20,81,10,91
21,105,8,113
22,88,4,92
23,83,1,84
24,34,1,35
25,45,1,46
26,35,3,38
27,35,5,40
28,29,0,29
29,19,0,19
30,29,0,29
31,12,1,13
32,11,0,11
33,8,0,8
34,8,0,8
35,13,1,14
36,5,0,5
37,5,0,5
38,6,0,6
39,3,0,3
40,6,0,6
41,5,0,5
42,4,0,4
43,4,0,4
44,4,0,4
45,3,0,3
46,1,0,1
47,3,0,3
48,3,0,3
49,6,0,6
50,6,0,6
51,17,0,17
