"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",479,10,6,1,15,268,4,41,7
"2",910,17,4,1,38,378,3,58,12
"3",1179,19,8,12,73,451,8,74,21
"4",2134,16,6,44,91,623,17,98,25
"5",4002,29,2,117,214,961,21,137,35
"6",7744,79,1,390,387,1244,27,155,40
"7",9818,192,392,995,674,1748,43,177,47
"8",15265,388,6448,2958,1281,2233,82,178,45
"9",16277,1159,13562,2027,2055,3051,83,166,70
"10",15355,691,7478,5229,2313,3511,121,112,88
"11",12684,1099,7382,3009,3715,3640,151,116,150
"12",8323,724,3138,3654,4439,3783,222,206,190
"13",5273,715,1045,1797,5696,4267,262,171,270
"14",3559,771,467,1311,6135,4037,304,172,337
"15",2421,720,460,1180,5774,3733,375,185,555
"16",2621,524,695,985,7006,4112,416,169,1052
"17",3415,804,131,948,7021,3997,451,226,2456
"18",4341,546,118,853,7473,3921,376,224,6067
"19",4998,909,277,822,7033,3489,429,199,7471
"20",4343,973,554,734,5239,3688,435,197,7910
"21",3463,778,871,697,5921,3546,488,236,6798
"22",3948,857,2435,726,6637,3459,448,190,4737
"23",4422,828,3548,1582,7788,3426,464,193,3020
"24",5951,601,4734,3091,8247,3353,376,207,1843
"25",7465,1152,8389,4303,6871,3757,471,272,1254
"26",9089,1170,7392,4808,6754,3747,573,281,955
"27",10630,1260,8528,4715,6568,3979,619,373,684
"28",11910,867,3962,3504,6066,4257,715,523,497
"29",15409,998,2969,2860,6595,5893,941,686,343
"30",13049,976,2209,2479,5588,7497,864,1167,265
"31",10341,901,1823,2152,6513,5741,940,1379,188
"32",7710,903,1205,1884,5931,7798,810,1479,113
"33",5171,808,708,1548,4020,7486,564,1591,100
"34",5029,926,471,1353,4339,6396,540,1516,57
"35",4395,740,295,1063,4636,5741,498,1183,53
"36",3741,751,189,961,5264,5831,536,1265,75
"37",2936,731,190,780,4772,4359,589,1026,75
"38",2161,596,98,623,1391,3238,596,575,71
"39",1910,556,64,549,1212,2551,405,393,75
"40",1638,539,30,456,900,1697,285,248,73
"41",1438,436,28,431,665,1152,214,139,74
"42",1296,336,16,369,617,907,158,80,51
"43",1023,235,12,219,431,612,129,60,40
"44",962,371,9,231,343,376,100,37,46
"45",938,239,1,170,258,294,52,33,39
"46",885,226,0,185,174,190,51,12,31
"47",1025,256,8,145,150,148,43,17,22
"48",576,125,1,84,93,74,25,1,7
