"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",4716465,689680,255118,0,0,0,0,0,0,0
"2",0,2706338,550832,0,0,12594,0,43990,39370,0
"3",0,0,1929759,0,0,8440,0,56412,43186,0
"4",96303,88457,94397,310189,44426,19879,0,51944,8672,0
"5",0,0,0,0,275430,0,0,0,0,0
"6",0,0,0,0,0,32661,0,0,0,0
"7",0,0,0,0,0,0,43022,0,0,0
"8",51957,65595,49146,26674,7523,19,128435,21465,208347,0
"9",0,0,0,0,0,0,0,0,134779,0
"10",0,0,0,0,0,0,0,0,0,0
