"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",156080,"worktourmode1"
"10","Auto SOV","work",0,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",1802,"worktourmode1"
"5","Auto SOV","work",0,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",0,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",20320,"worktourmode2"
"10","Auto 2 Person","work",0,"worktourmode2"
"2","Auto 2 Person","work",38269,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",1261,"worktourmode2"
"5","Auto 2 Person","work",0,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",34,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",7699,"worktourmode3"
"10","Auto 3+ Person","work",0,"worktourmode3"
"2","Auto 3+ Person","work",6554,"worktourmode3"
"3","Auto 3+ Person","work",10362,"worktourmode3"
"4","Auto 3+ Person","work",315,"worktourmode3"
"5","Auto 3+ Person","work",0,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",4,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"10","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",1365,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",10,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"10","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",532,"worktourmode5"
"5","Bike/Moped","work",3830,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",4,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",0,"worktourmode6"
"10","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",585,"worktourmode6"
"3","Walk-Transit","work",511,"worktourmode6"
"4","Walk-Transit","work",753,"worktourmode6"
"5","Walk-Transit","work",0,"worktourmode6"
"6","Walk-Transit","work",1915,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",1,"worktourmode6"
"9","Walk-Transit","work",0,"worktourmode6"
"1","Drive-Transit","work",0,"worktourmode7"
"10","Drive-Transit","work",0,"worktourmode7"
"2","Drive-Transit","work",0,"worktourmode7"
"3","Drive-Transit","work",0,"worktourmode7"
"4","Drive-Transit","work",0,"worktourmode7"
"5","Drive-Transit","work",0,"worktourmode7"
"6","Drive-Transit","work",0,"worktourmode7"
"7","Drive-Transit","work",2306,"worktourmode7"
"8","Drive-Transit","work",7629,"worktourmode7"
"9","Drive-Transit","work",0,"worktourmode7"
"1","School Bus","work",0,"worktourmode8"
"10","School Bus","work",0,"worktourmode8"
"2","School Bus","work",1033,"worktourmode8"
"3","School Bus","work",105,"worktourmode8"
"4","School Bus","work",343,"worktourmode8"
"5","School Bus","work",0,"worktourmode8"
"6","School Bus","work",0,"worktourmode8"
"7","School Bus","work",0,"worktourmode8"
"8","School Bus","work",30,"worktourmode8"
"9","School Bus","work",0,"worktourmode8"
"1","Ride Hail","work",0,"worktourmode9"
"10","Ride Hail","work",0,"worktourmode9"
"2","Ride Hail","work",0,"worktourmode9"
"3","Ride Hail","work",0,"worktourmode9"
"4","Ride Hail","work",0,"worktourmode9"
"5","Ride Hail","work",0,"worktourmode9"
"6","Ride Hail","work",0,"worktourmode9"
"7","Ride Hail","work",0,"worktourmode9"
"8","Ride Hail","work",0,"worktourmode9"
"9","Ride Hail","work",0,"worktourmode9"
"1","tourmode10","work",0,"worktourmode10"
"10","tourmode10","work",0,"worktourmode10"
"2","tourmode10","work",0,"worktourmode10"
"3","tourmode10","work",0,"worktourmode10"
"4","tourmode10","work",0,"worktourmode10"
"5","tourmode10","work",0,"worktourmode10"
"6","tourmode10","work",0,"worktourmode10"
"7","tourmode10","work",0,"worktourmode10"
"8","tourmode10","work",0,"worktourmode10"
"9","tourmode10","work",0,"worktourmode10"
"1","Total","work",184099,"workTotal"
"10","Total","work",0,"workTotal"
"2","Total","work",46441,"workTotal"
"3","Total","work",10978,"workTotal"
"4","Total","work",6371,"workTotal"
"5","Total","work",3830,"workTotal"
"6","Total","work",1915,"workTotal"
"7","Total","work",2306,"workTotal"
"8","Total","work",7712,"workTotal"
"9","Total","work",0,"workTotal"
"1","Auto SOV","univ",4684,"univtourmode1"
"10","Auto SOV","univ",0,"univtourmode1"
"2","Auto SOV","univ",0,"univtourmode1"
"3","Auto SOV","univ",0,"univtourmode1"
"4","Auto SOV","univ",151,"univtourmode1"
"5","Auto SOV","univ",0,"univtourmode1"
"6","Auto SOV","univ",0,"univtourmode1"
"7","Auto SOV","univ",0,"univtourmode1"
"8","Auto SOV","univ",0,"univtourmode1"
"9","Auto SOV","univ",0,"univtourmode1"
"1","Auto 2 Person","univ",1581,"univtourmode2"
