"OCOUNTY","DCOUNTY","trip_mode","primary_purpose","count"
"Anoka","Anoka","Auto 2 Person","atwork",6015
"Anoka","Anoka","Auto 2 Person","eatout",12186
"Anoka","Anoka","Auto 2 Person","escort",30289
"Anoka","Anoka","Auto 2 Person","othdiscr",20319
"Anoka","Anoka","Auto 2 Person","othmaint",12030
"Anoka","Anoka","Auto 2 Person","school",22403
"Anoka","Anoka","Auto 2 Person","shopping",24845
"Anoka","Anoka","Auto 2 Person","social",7587
"Anoka","Anoka","Auto 2 Person","univ",5743
"Anoka","Anoka","Auto 2 Person","work",21572
"Anoka","Anoka","Auto 3+ Person","atwork",2494
"Anoka","Anoka","Auto 3+ Person","eatout",6341
"Anoka","Anoka","Auto 3+ Person","escort",17932
"Anoka","Anoka","Auto 3+ Person","othdiscr",14993
"Anoka","Anoka","Auto 3+ Person","othmaint",5213
"Anoka","Anoka","Auto 3+ Person","school",30467
"Anoka","Anoka","Auto 3+ Person","shopping",10483
"Anoka","Anoka","Auto 3+ Person","social",3816
"Anoka","Anoka","Auto 3+ Person","univ",3510
"Anoka","Anoka","Auto 3+ Person","work",5133
"Anoka","Anoka","Auto SOV","atwork",11650
"Anoka","Anoka","Auto SOV","eatout",12652
"Anoka","Anoka","Auto SOV","escort",11633
"Anoka","Anoka","Auto SOV","othdiscr",27803
"Anoka","Anoka","Auto SOV","othmaint",26137
"Anoka","Anoka","Auto SOV","school",3035
"Anoka","Anoka","Auto SOV","shopping",63687
"Anoka","Anoka","Auto SOV","social",9308
"Anoka","Anoka","Auto SOV","univ",5271
"Anoka","Anoka","Auto SOV","work",89527
"Anoka","Anoka","Bike/Moped","atwork",8
"Anoka","Anoka","Bike/Moped","eatout",1260
"Anoka","Anoka","Bike/Moped","escort",281
"Anoka","Anoka","Bike/Moped","othdiscr",3125
"Anoka","Anoka","Bike/Moped","othmaint",757
"Anoka","Anoka","Bike/Moped","school",1982
"Anoka","Anoka","Bike/Moped","shopping",3507
"Anoka","Anoka","Bike/Moped","social",892
"Anoka","Anoka","Bike/Moped","univ",1821
"Anoka","Anoka","Bike/Moped","work",2018
"Anoka","Anoka","Drive-Transit","eatout",2
"Anoka","Anoka","Drive-Transit","othdiscr",20
"Anoka","Anoka","Drive-Transit","othmaint",17
"Anoka","Anoka","Drive-Transit","school",13
"Anoka","Anoka","Drive-Transit","shopping",53
"Anoka","Anoka","Drive-Transit","social",9
"Anoka","Anoka","Drive-Transit","univ",121
"Anoka","Anoka","Drive-Transit","work",280
"Anoka","Anoka","School Bus","atwork",2182
"Anoka","Anoka","School Bus","eatout",113
"Anoka","Anoka","School Bus","escort",1554
"Anoka","Anoka","School Bus","othdiscr",198
"Anoka","Anoka","School Bus","othmaint",2078
"Anoka","Anoka","School Bus","school",17538
"Anoka","Anoka","School Bus","shopping",3682
"Anoka","Anoka","School Bus","social",91
"Anoka","Anoka","School Bus","univ",1454
"Anoka","Anoka","School Bus","work",1794
"Anoka","Anoka","Walk","atwork",1805
"Anoka","Anoka","Walk","eatout",4303
"Anoka","Anoka","Walk","escort",1398
"Anoka","Anoka","Walk","othdiscr",7550
"Anoka","Anoka","Walk","othmaint",1622
"Anoka","Anoka","Walk","school",4411
"Anoka","Anoka","Walk","shopping",6241
"Anoka","Anoka","Walk","social",2391
"Anoka","Anoka","Walk","univ",2769
"Anoka","Anoka","Walk","work",2915
"Anoka","Anoka","Walk-Transit","eatout",1
"Anoka","Anoka","Walk-Transit","othdiscr",5
"Anoka","Anoka","Walk-Transit","othmaint",14
"Anoka","Anoka","Walk-Transit","school",1
"Anoka","Anoka","Walk-Transit","shopping",16
"Anoka","Anoka","Walk-Transit","social",2
"Anoka","Anoka","Walk-Transit","univ",3
"Anoka","Anoka","Walk-Transit","work",70
"Anoka","Anoka",NA,"school",9093
"Anoka","Carver","Auto 2 Person","atwork",10
"Anoka","Carver","Auto 2 Person","eatout",10
"Anoka","Carver","Auto 2 Person","escort",14
"Anoka","Carver","Auto 2 Person","othdiscr",18
"Anoka","Carver","Auto 2 Person","othmaint",14
"Anoka","Carver","Auto 2 Person","shopping",2
"Anoka","Carver","Auto 2 Person","social",3
"Anoka","Carver","Auto 2 Person","univ",1
"Anoka","Carver","Auto 2 Person","work",87
"Anoka","Carver","Auto 3+ Person","atwork",1
"Anoka","Carver","Auto 3+ Person","eatout",4
"Anoka","Carver","Auto 3+ Person","escort",11
"Anoka","Carver","Auto 3+ Person","othdiscr",17
"Anoka","Carver","Auto 3+ Person","othmaint",5
"Anoka","Carver","Auto 3+ Person","school",1
"Anoka","Carver","Auto 3+ Person","shopping",1
"Anoka","Carver","Auto 3+ Person","social",2
"Anoka","Carver","Auto 3+ Person","univ",4
"Anoka","Carver","Auto 3+ Person","work",19
"Anoka","Carver","Auto SOV","atwork",18
"Anoka","Carver","Auto SOV","eatout",11
"Anoka","Carver","Auto SOV","escort",12
"Anoka","Carver","Auto SOV","othdiscr",37
"Anoka","Carver","Auto SOV","othmaint",48
"Anoka","Carver","Auto SOV","school",1
"Anoka","Carver","Auto SOV","shopping",12
"Anoka","Carver","Auto SOV","social",4
"Anoka","Carver","Auto SOV","univ",1
"Anoka","Carver","Auto SOV","work",308
"Anoka","Carver","Drive-Transit","othmaint",1
"Anoka","Carver","Drive-Transit","work",2
"Anoka","Carver","School Bus","atwork",1
"Anoka","Carver","School Bus","othdiscr",2
"Anoka","Carver","School Bus","work",6
"Anoka","Chisago","Auto 2 Person","atwork",37
"Anoka","Chisago","Auto 2 Person","eatout",98
"Anoka","Chisago","Auto 2 Person","escort",249
"Anoka","Chisago","Auto 2 Person","othdiscr",235
"Anoka","Chisago","Auto 2 Person","othmaint",166
"Anoka","Chisago","Auto 2 Person","school",522
"Anoka","Chisago","Auto 2 Person","shopping",147
"Anoka","Chisago","Auto 2 Person","social",84
"Anoka","Chisago","Auto 2 Person","univ",176
"Anoka","Chisago","Auto 2 Person","work",621
"Anoka","Chisago","Auto 3+ Person","atwork",16
"Anoka","Chisago","Auto 3+ Person","eatout",51
"Anoka","Chisago","Auto 3+ Person","escort",162
"Anoka","Chisago","Auto 3+ Person","othdiscr",148
"Anoka","Chisago","Auto 3+ Person","othmaint",66
"Anoka","Chisago","Auto 3+ Person","school",690
"Anoka","Chisago","Auto 3+ Person","shopping",66
"Anoka","Chisago","Auto 3+ Person","social",47
"Anoka","Chisago","Auto 3+ Person","univ",105
"Anoka","Chisago","Auto 3+ Person","work",188
"Anoka","Chisago","Auto SOV","atwork",80
"Anoka","Chisago","Auto SOV","eatout",115
"Anoka","Chisago","Auto SOV","escort",133
"Anoka","Chisago","Auto SOV","othdiscr",351
"Anoka","Chisago","Auto SOV","othmaint",392
"Anoka","Chisago","Auto SOV","school",79
"Anoka","Chisago","Auto SOV","shopping",368
"Anoka","Chisago","Auto SOV","social",115
"Anoka","Chisago","Auto SOV","univ",152
"Anoka","Chisago","Auto SOV","work",2498
"Anoka","Chisago","School Bus","eatout",1
"Anoka","Chisago","School Bus","escort",7
"Anoka","Chisago","School Bus","othmaint",7
"Anoka","Chisago","School Bus","school",67
"Anoka","Chisago","School Bus","shopping",8
"Anoka","Chisago","School Bus","univ",2
"Anoka","Chisago",NA,"school",553
"Anoka","Dakota","Auto 2 Person","atwork",51
"Anoka","Dakota","Auto 2 Person","eatout",48
"Anoka","Dakota","Auto 2 Person","escort",68
"Anoka","Dakota","Auto 2 Person","othdiscr",124
"Anoka","Dakota","Auto 2 Person","othmaint",98
"Anoka","Dakota","Auto 2 Person","school",17
"Anoka","Dakota","Auto 2 Person","shopping",38
"Anoka","Dakota","Auto 2 Person","social",34
"Anoka","Dakota","Auto 2 Person","univ",9
"Anoka","Dakota","Auto 2 Person","work",587
"Anoka","Dakota","Auto 3+ Person","atwork",23
"Anoka","Dakota","Auto 3+ Person","eatout",28
"Anoka","Dakota","Auto 3+ Person","escort",45
"Anoka","Dakota","Auto 3+ Person","othdiscr",74
"Anoka","Dakota","Auto 3+ Person","othmaint",44
"Anoka","Dakota","Auto 3+ Person","school",20
"Anoka","Dakota","Auto 3+ Person","shopping",16
"Anoka","Dakota","Auto 3+ Person","social",7
"Anoka","Dakota","Auto 3+ Person","univ",13
"Anoka","Dakota","Auto 3+ Person","work",147
