"OCOUNTY","DCOUNTY","access_mode","count"
"Dakota","Ramsey","drive",82
"Hennepin","Hennepin","walk",1520
"Hennepin","Hennepin","drive",1065
"Washington","Hennepin","drive",49
"Dakota","Hennepin","drive",225
"Anoka","Hennepin","drive",136
"Hennepin","Ramsey","drive",278
"Ramsey","Hennepin","walk",181
"Ramsey","Hennepin","drive",295
"Sherburne","Hennepin","drive",35
"Ramsey","Ramsey","walk",454
"Hennepin","Ramsey","walk",180
"Washington","Ramsey","drive",56
"Hennepin","Anoka","drive",93
"Ramsey","Ramsey","drive",162
"Scott","Hennepin","drive",52
"Scott","Dakota","drive",5
"Carver","Hennepin","drive",33
"Dakota","Ramsey","walk",30
"Dakota","Dakota","drive",85
"Washington","Ramsey","walk",9
"Anoka","Anoka","drive",42
"Sherburne","Anoka","drive",8
"Washington","Hennepin","walk",2
"Wright","Hennepin","drive",19
"Anoka","Hennepin","walk",40
"Anoka","Ramsey","drive",43
"Anoka","Ramsey","walk",5
"Dakota","Hennepin","walk",25
"Washington","Anoka","drive",4
"Scott","Ramsey","drive",11
"Hennepin","Dakota","walk",24
"Washington","Dakota","drive",10
"Hennepin","Dakota","drive",136
"Ramsey","Washington","walk",10
"Ramsey","Anoka","drive",27
"Ramsey","Washington","drive",33
"Ramsey","Dakota","drive",56
"Wright","Ramsey","drive",4
"Carver","Anoka","drive",1
"Dakota","Dakota","walk",14
"Wright","Dakota","drive",1
"Anoka","Anoka","walk",14
"Carver","Hennepin","walk",2
"Carver","Dakota","drive",2
"Anoka","Dakota","drive",3
"Wright","Anoka","drive",3
"Sherburne","Ramsey","drive",4
"Ramsey","Dakota","walk",32
"Hennepin","Scott","drive",31
"Carver","Ramsey","drive",4
"Hennepin","Anoka","walk",36
"Dakota","Washington","drive",6
"Scott","Washington","drive",1
"Scott","Scott","drive",2
"Scott","Dakota","walk",1
"Hennepin","Carver","drive",9
"Washington","Washington","drive",1
"Hennepin","Washington","drive",25
"Anoka","Wright","drive",3
"Hennepin","Sherburne","drive",13
"Hennepin","Scott","walk",2
"Sherburne","Sherburne","drive",3
"Hennepin","Wright","drive",8
"Hennepin","Carver","walk",2
"Dakota","Scott","drive",4
"Sherburne","Wright","drive",1
"Ramsey","Sherburne","drive",3
"Ramsey","Carver","drive",2
"Dakota","Wright","drive",1
"Ramsey","Wright","drive",1
"Ramsey","Anoka","walk",1
"Anoka","Sherburne","drive",1
"Hennepin","Washington","walk",3
"Ramsey","Scott","drive",1
"Dakota","Scott","walk",1
"Dakota","Carver","drive",1
"Scott","Scott","walk",1
"Dakota","Ramsey","drive",82
"Hennepin","Hennepin","walk",1520
"Hennepin","Hennepin","drive",1065
"Washington","Hennepin","drive",49
"Dakota","Hennepin","drive",225
"Anoka","Hennepin","drive",136
"Hennepin","Ramsey","drive",278
"Ramsey","Hennepin","walk",181
"Ramsey","Hennepin","drive",295
"Sherburne","Hennepin","drive",35
"Ramsey","Ramsey","walk",454
"Hennepin","Ramsey","walk",180
"Washington","Ramsey","drive",56
"Hennepin","Anoka","drive",93
"Ramsey","Ramsey","drive",162
"Scott","Hennepin","drive",52
"Scott","Dakota","drive",5
"Carver","Hennepin","drive",33
"Dakota","Ramsey","walk",30
"Dakota","Dakota","drive",85
"Washington","Ramsey","walk",9
"Anoka","Anoka","drive",42
"Sherburne","Anoka","drive",8
"Washington","Hennepin","walk",2
"Wright","Hennepin","drive",19
"Anoka","Hennepin","walk",40
"Anoka","Ramsey","drive",43
"Anoka","Ramsey","walk",5
"Dakota","Hennepin","walk",25
"Washington","Anoka","drive",4
"Scott","Ramsey","drive",11
"Hennepin","Dakota","walk",24
"Washington","Dakota","drive",10
"Hennepin","Dakota","drive",136
"Ramsey","Washington","walk",10
