"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,61,14,2,39,13,239,0,0,14,6,3,84,6,9,22,0,9,36,9,566
2,55,3,4,102,3,511,6,8,13,9,10,285,18,24,31,0,16,83,29,1210
3,109,8,6,97,7,569,0,9,1,4,5,286,3,23,5,5,18,59,15,1229
4,81,28,0,93,0,472,19,5,0,1,9,242,18,28,17,0,7,62,24,1106
5,87,28,4,80,2,343,1,1,0,9,5,177,6,27,7,0,9,37,18,841
6,68,17,11,74,1,257,1,3,1,1,5,115,2,20,12,0,13,26,7,634
7,50,13,7,55,9,206,3,1,4,2,3,117,0,10,4,0,8,21,15,528
8,37,11,4,41,10,146,0,1,1,3,5,84,1,14,15,0,10,24,9,416
9,36,4,7,32,1,120,10,0,3,0,4,57,5,7,3,1,7,14,6,317
10,26,3,7,28,5,88,3,0,0,5,9,37,0,11,2,0,7,19,10,260
11,29,2,2,24,2,82,5,1,2,5,1,33,0,8,7,0,3,10,2,218
12,17,1,0,10,0,44,4,2,0,3,4,19,1,6,1,1,3,16,9,141
13,12,4,1,11,1,36,1,1,1,1,2,16,4,4,6,0,2,13,5,121
14,8,2,2,12,1,31,2,1,0,0,2,18,1,7,2,0,1,13,3,106
15,11,1,0,6,1,25,2,0,0,1,3,13,1,6,2,0,1,2,4,79
16,12,3,1,4,0,22,0,0,0,0,3,11,3,3,1,0,0,3,1,67
17,10,1,0,13,1,18,1,0,0,0,2,3,3,3,0,0,1,4,3,63
18,11,2,0,3,1,15,1,0,0,0,1,4,1,2,1,0,0,1,1,44
19,8,1,0,2,0,8,0,0,2,0,2,3,2,4,0,0,1,5,2,40
20,13,0,1,8,0,6,0,0,0,0,0,6,1,3,1,1,2,3,1,46
21,7,1,0,5,0,9,0,0,0,0,1,3,1,1,1,0,1,3,3,36
22,5,1,0,2,0,5,0,0,0,1,2,3,0,0,0,0,0,2,0,21
23,1,0,0,1,0,6,0,0,0,2,0,0,0,1,0,0,0,2,1,14
24,0,2,0,3,0,2,0,0,2,2,0,1,0,2,1,0,1,0,0,16
25,2,1,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,4,0,15
26,8,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,19
27,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,8
28,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,7
29,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,8
30,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
