"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,110,43,65,131,106,690,17,2,318,36,46,254,155,57,116,43,86,83,168,2526
2,202,59,32,305,23,1837,91,120,172,53,133,715,254,88,149,0,101,147,195,4676
3,351,99,68,518,171,2819,7,29,22,56,39,1222,179,101,40,26,99,218,65,6129
4,382,92,30,582,11,3080,50,28,17,20,52,1268,153,101,36,5,68,241,152,6368
5,433,83,43,587,23,3005,53,3,32,45,43,1389,46,139,68,4,70,250,84,6400
6,533,96,56,673,128,3073,46,27,7,6,45,1223,34,105,95,19,74,224,72,6536
7,548,64,39,684,84,2883,28,21,44,35,37,1341,45,116,77,0,61,187,109,6403
8,487,96,63,683,61,2890,12,34,35,27,48,1331,54,134,116,25,71,255,112,6534
9,531,127,34,722,13,2836,45,29,45,14,37,1196,35,155,86,35,68,273,84,6365
10,547,104,39,697,35,2571,13,10,1,36,47,933,12,160,92,6,71,324,88,5786
11,477,122,31,775,31,2423,34,3,28,23,64,913,17,172,76,4,44,339,82,5658
12,496,123,41,700,28,2233,28,22,13,39,53,925,36,200,59,10,56,434,110,5606
13,467,144,39,756,20,2010,21,5,23,42,35,815,48,213,109,16,76,440,157,5436
14,476,134,40,695,39,1749,30,10,11,56,23,789,76,213,78,11,55,431,102,5018
15,503,140,37,695,20,1526,32,16,25,24,46,616,47,219,86,4,64,388,99,4587
16,608,116,47,645,52,1336,15,16,28,25,51,501,50,206,70,4,66,386,124,4346
17,591,126,45,602,27,1226,17,24,9,21,41,491,29,173,102,7,64,347,115,4057
18,533,109,34,634,26,1103,18,22,21,26,45,400,17,141,57,8,79,330,87,3690
19,497,104,31,587,9,867,18,35,11,34,21,299,22,159,58,12,68,331,127,3290
20,449,99,35,482,18,752,12,13,16,27,27,259,21,179,64,0,83,359,101,2996
21,477,112,27,461,19,612,13,15,16,30,26,209,26,160,63,5,79,331,104,2785
22,413,121,17,410,19,558,13,11,10,38,20,191,13,177,61,10,78,297,131,2588
23,356,92,20,387,22,482,11,16,8,38,20,149,16,168,67,2,44,281,104,2283
24,287,96,27,299,20,408,16,10,5,33,18,135,33,145,71,8,62,292,89,2054
25,258,94,23,257,20,318,17,16,10,23,26,106,13,143,67,12,69,244,98,1814
26,253,97,20,224,22,297,25,10,9,36,21,89,8,139,61,13,65,210,99,1698
27,253,103,30,204,19,236,22,23,4,23,18,66,14,132,64,3,68,197,105,1584
28,215,94,29,177,18,169,17,40,4,24,7,56,28,129,55,3,64,151,102,1382
29,176,85,29,144,23,148,7,16,3,26,22,43,17,95,42,3,57,153,104,1193
30,204,62,32,121,15,124,12,17,8,39,12,28,17,95,49,7,78,126,122,1168
31,150,60,28,91,14,114,14,10,8,40,7,21,24,62,48,4,61,130,125,1011
32,142,67,24,100,12,93,18,11,10,25,1,16,18,61,38,7,89,93,89,914
33,94,70,35,103,12,82,19,14,8,27,7,12,33,73,49,5,69,87,93,892
34,98,59,38,79,14,47,26,15,7,27,13,6,30,61,62,3,71,59,125,840
35,88,50,40,56,14,43,27,12,12,27,11,10,21,54,57,6,62,57,77,724
36,72,49,35,57,21,48,25,16,6,34,7,7,34,59,53,5,47,59,88,722
37,65,41,27,44,13,32,20,14,11,31,9,8,21,38,52,17,53,51,105,652
38,58,20,27,30,24,27,36,3,13,29,15,2,28,36,62,4,70,40,83,607
39,36,32,32,29,20,17,28,11,10,28,13,2,26,36,54,4,52,28,54,512
40,30,28,27,27,18,18,22,9,14,27,9,8,31,26,40,2,56,37,72,501
41,38,20,31,23,15,14,16,21,9,47,15,7,25,30,51,1,49,17,82,511
42,8,21,34,11,18,7,34,15,13,27,14,0,26,19,47,4,48,14,50,410
43,12,20,30,9,23,9,26,14,8,15,16,4,34,20,47,8,47,14,43,399
44,11,11,29,15,16,10,16,8,10,18,14,3,30,13,42,6,33,9,39,333
45,12,10,34,11,15,5,19,8,9,20,15,2,35,12,47,7,40,10,47,358
46,7,11,33,4,19,9,22,13,17,17,11,3,30,18,36,12,28,5,37,332
47,9,14,23,8,19,6,20,9,12,15,7,0,22,8,33,5,27,8,43,288
48,4,12,36,4,18,3,17,13,15,9,11,2,20,11,43,10,20,3,21,272
49,11,4,29,8,15,0,7,9,5,16,15,0,17,10,46,5,25,5,38,265
50,1,6,36,6,22,3,17,10,6,16,11,0,31,2,28,5,21,4,28,253
51,16,19,171,18,273,10,115,175,105,123,252,5,150,23,212,71,130,11,181,2060
