"","PERTYPE","DAP","freq"
"1","1","H",58922.0499334946
"2","2","H",14573.4644204096
"3","3","H",9855.48770603673
"4","4","H",40980.8438835934
"5","5","H",111616.08158521
"6","6","H",14261.6017982651
"7","7","H",55253.3879858353
"8","8","H",42723.8508485349
"9","Total","H",348186.768161379
"10","1","M",1032215.57634258
"11","2","M",120163.985918452
"12","3","M",64463.4740148396
"13","4","M",0
"14","5","M",0
"15","6","M",74213.056601203
"16","7","M",292753.36375411
"17","8","M",58550.7733205892
"18","Total","M",1642360.22995178
"19","1","N",554662.685764489
"20","2","N",118746.342577009
"21","3","N",57721.8795706246
"22","4","N",141190.372734594
"23","5","N",433527.480086366
"24","6","N",34993.2104703033
"25","7","N",218569.293876952
"26","8","N",152470.201571502
"27","Total","N",1711881.46665184
