"","PERTYPE","nmtours","freq"
"1","1","0",413269.467479947
"2","2","0",55345.0160460431
"3","3","0",32568.5248029694
"4","4","0",40980.8438835934
"5","5","0",111616.08158521
"6","6","0",55214.2641502698
"7","7","0",161544.838432832
"8","8","0",59407.4363769019
"9","Total","0",929946.472757766
"10","1","1",345945.69064831
"11","2","1",58359.9080849584
"12","3","1",25859.920247195
"13","4","1",41497.8029061647
"14","5","1",200781.053070011
"15","6","1",28069.8246570862
"16","7","1",134113.208948985
"17","8","1",48586.1834228405
"18","Total","1",883213.591985552
"19","1","2",232077.523805679
"20","2","2",35326.7620254835
"21","3","2",17861.3006385049
"22","4","2",18741.7049990099
"23","5","2",67917.3624782841
"24","6","2",13934.7252169256
"25","7","2",87074.8324863248
"26","8","2",31282.7009406251
"27","Total","2",504216.912590837
"28","1","3pl",654507.63010663
"29","2","3pl",104452.106759385
"30","3","3pl",55751.0956028315
"31","4","3pl",80950.8648294195
"32","5","3pl",164829.064538071
"33","6","3pl",26249.0548454899
"34","7","3pl",183843.165748756
"35","8","3pl",114468.505000259
"36","Total","3pl",1385051.48743084
