"jtf_code","alt_name","freq"
1,"No Joint Tours",1276650.22043875
2,"1 Shopping",38400.900987183
3,"1 Maintenance",38718.6937878494
4,"1 Eating Out",33116.3246367493
5,"1 Visiting",17939.0422186062
6,"1 Other Discretionary",31132.3463323811
7,"2 Shopping",8823.19754204169
8,"1 Shopping / 1 Maintenance",2534.89980855504
9,"1 Shopping / 1 Eating Out",818.424318588353
10,"1 Shopping / 1 Visiting",1522.14751085495
11,"1 Shopping / 1 Other Discretionary",8153.1898040024
12,"2 Maintenance",4804.76347190529
13,"1 Maintenance / 1 Eating Out",6749.39379493904
14,"1 Maintenance / 1 Visiting",4527.39301331963
15,"1 Maintenance / 1 Other Discretionary",13286.7786888598
16,"2 Eating Out",3579.68983396651
17,"1 Eating Out / 1 Visiting",4569.54116807
18,"1 Eating Out / 1 Other Discretionary",6535.04962327503
19,"2 Visiting",1337.5657592552
20,"1 Visiting / 1 Other Discretionary",10813.9288428899
21,"2 Other Discretionary",13635.8182978915
