"","PERTYPE","mtf","freq"
"1",1,1,413687.963888237
"2",1,2,611131.700011515
"3",1,3,3633.48526760019
"4",1,4,223.664461835732
"5",1,5,3538.76271339329
"6",2,1,68524.242071823
"7",2,2,51639.7438466286
"8",3,1,14391.7502642707
"9",3,2,13132.5554921821
"10",3,3,19603.3964832526
"11",3,4,10497.0109427199
"12",3,5,6838.76083241419
"13",6,1,3381.15730781274
"14",6,2,2914.68477054321
"15",6,3,27143.5571150262
"16",6,4,32437.8263547316
"17",6,5,8335.83105308924
"18",7,3,134776.105077491
"19",7,4,157977.258676619
"20",8,3,21117.5241889479
"21",8,4,37433.2491316412
