"distbin","PURPOSE","freq"
1,"work",32117.082368172
10,"work",18406.0064392085
11,"work",15168.0302337773
12,"work",11957.5382836493
13,"work",16975.5574460775
14,"work",4618.20276542078
15,"work",8608.26429791564
16,"work",8538.50163447306
17,"work",8957.08751180942
18,"work",8309.70076863096
19,"work",5149.66282202945
2,"work",305642.52771438
20,"work",6308.2504136771
21,"work",6768.10776700297
22,"work",3149.84388721316
23,"work",6479.3926156292
24,"work",1382.92861987364
25,"work",3396.55978069937
26,"work",483.203755307389
27,"work",1196.77889267079
28,"work",2622.90833747346
29,"work",619.094046991733
3,"work",179248.74901087
30,"work",1202.11441831816
31,"work",2036.00141175097
32,"work",495.337229203007
33,"work",326.624431044604
34,"work",2434.4533901022
35,"work",854.033363980966
36,"work",448.484089234974
37,"work",324.220901848228
38,"work",758.678725024665
39,"work",665.532363176323
4,"work",129155.473930035
40,"work",612.782412889025
41,"work",131.478592852026
42,"work",7954.12226703572
5,"work",67854.720610238
6,"work",42289.5233283765
7,"work",38681.6825126688
8,"work",25705.2743937166
9,"work",23531.7635135594
1,"univ",54.9614723551284
10,"univ",2763.20725549522
11,"univ",0
12,"univ",1537.06631308332
13,"univ",0
14,"univ",178.28047320265
15,"univ",244.752442726819
16,"univ",0
17,"univ",17.4805427315261
18,"univ",23.5886475097628
19,"univ",0
2,"univ",9148.33628452774
20,"univ",0
21,"univ",0
22,"univ",0
23,"univ",0
24,"univ",0
25,"univ",0
26,"univ",0
27,"univ",244.752442726819
28,"univ",0
29,"univ",0
3,"univ",3834.31161256648
30,"univ",0
31,"univ",245.285475587756
32,"univ",0
33,"univ",0
34,"univ",0
35,"univ",0
36,"univ",0
37,"univ",0
38,"univ",0
39,"univ",0
4,"univ",2151.22831585943
40,"univ",0
41,"univ",0
42,"univ",979.542803768213
5,"univ",3220.13097892608
6,"univ",649.035542465034
7,"univ",281.946587925498
8,"univ",487.677559881985
9,"univ",833.180559515935
1,"sch",4834.80839770378
10,"sch",3854.05698962396
11,"sch",1909.29548192518
12,"sch",3194.83226233478
13,"sch",4386.13600681174
14,"sch",2332.65577828486
15,"sch",1515.1659189039
16,"sch",278.354079962134
17,"sch",1587.39451428623
18,"sch",1101.98577975275
19,"sch",2164.88561470491
2,"sch",39993.0979610341
20,"sch",126.291106564724
21,"sch",853.317159988085
22,"sch",280.988250646671
23,"sch",1973.84328795705
24,"sch",266.38287685409
25,"sch",94.4219560400232
26,"sch",865.60759523963
27,"sch",44.5949846723971
28,"sch",470.784641346748
29,"sch",0
3,"sch",26031.438438649
30,"sch",0
31,"sch",208.609082420949
32,"sch",12.4029238656475
33,"sch",111.894786593278
34,"sch",0
35,"sch",31.1940676467677
36,"sch",0
37,"sch",184.454758752624
38,"sch",0
39,"sch",0
4,"sch",16470.414917906
40,"sch",66.7765475195254
41,"sch",0
42,"sch",1967.50908545166
5,"sch",10659.3280866002
6,"sch",5189.22187918404
7,"sch",4692.31060997526
8,"sch",3826.2330515327
9,"sch",3365.88643666049
1,"esco",10965.2539577758
10,"esco",10790.1894982289
11,"esco",7376.33154002103
12,"esco",5675.28565322861
13,"esco",8295.72370634898
14,"esco",6856.37136403224
15,"esco",5203.41170267695
16,"esco",3478.6375385592
17,"esco",3105.68593462374
18,"esco",2352.27481270181
19,"esco",5326.36810141744
2,"esco",174088.462030095
20,"esco",3583.18080570654
21,"esco",803.505959768269
22,"esco",1746.9987028328
23,"esco",2337.0612662771
24,"esco",1985.8048268654
25,"esco",2386.46926170004
26,"esco",1819.52441321049
27,"esco",865.295746596374
28,"esco",1516.93748143697
29,"esco",2081.62271735328
3,"esco",93234.8867317792
30,"esco",673.545076449138
31,"esco",276.720749555686
32,"esco",712.025381678473
33,"esco",934.117312121553
34,"esco",609.984955384282
35,"esco",1114.27164410415
36,"esco",297.549794733648
37,"esco",795.020720161057
38,"esco",320.674788026154
39,"esco",141.744237307008
