"timebin","purpose","freq_stop","freq_trip"
1,"atwork",0,3880.43619857555
10,"atwork",5556.6659890938,39988.0402055915
11,"atwork",3726.71064871961,19851.4501585282
12,"atwork",1846.8078635588,15022.7077496131
13,"atwork",1191.35835914121,3119.3792298262
14,"atwork",675.368824745707,2895.16139201157
15,"atwork",251.007899136409,1404.63954598959
16,"atwork",17.1778181189488,242.094512617978
17,"atwork",34.7311530649062,138.699627707691
18,"atwork",0,0
19,"atwork",0,0
2,"atwork",470.680552926284,15778.3329041243
3,"atwork",1396.3426653778,19634.7412358755
4,"atwork",4022.5385979326,21940.2625921607
5,"atwork",4306.03994264189,34657.9643555516
6,"atwork",5350.76535873733,50017.7357808396
7,"atwork",16100.8345813043,118860.263399905
8,"atwork",15318.5055641914,112335.83391181
9,"atwork",8723.52863424295,56987.6736246405
1,"esco",4192.25118462509,21971.9011228923
10,"esco",39316.7007538968,117476.118395317
11,"esco",57664.278259216,170902.538771787
12,"esco",62241.3305597784,176596.963377633
13,"esco",61130.1497583712,168605.364975924
14,"esco",42674.9169619984,119587.978022855
15,"esco",28282.5143172552,83311.5775560568
16,"esco",22160.3891504482,67503.5006511746
17,"esco",12197.7214653614,34667.2234766085
18,"esco",3686.04043795079,11604.4217410297
19,"esco",1734.93657433582,7800.12622465198
2,"esco",7831.27238047824,69966.3741123763
3,"esco",27989.3106799455,164958.854105389
4,"esco",42057.2689071868,155385.861703836
5,"esco",32608.430846085,90237.3983996088
6,"esco",23930.5673538915,59584.8901732813
7,"esco",29113.835300927,75734.0762893088
8,"esco",34282.0307837016,80104.4196094785
9,"esco",41094.9843418631,84992.9373440326
1,"idisc",5927.84261135489,52959.4642412824
10,"idisc",74724.9725657925,160193.776777571
11,"idisc",84515.2635033086,191109.236181162
12,"idisc",88091.1096104071,238290.724684779
13,"idisc",81578.7309770203,247990.593087714
14,"idisc",82555.5008068866,239125.611871979
15,"idisc",61735.0774143263,161442.689107205
16,"idisc",51478.9478826515,136213.319867809
17,"idisc",27563.4403756919,66644.5464652748
18,"idisc",15972.9463697744,37117.0295536149
19,"idisc",12084.1836162148,31203.7767080534
2,"idisc",7402.23237709426,73739.3385629429
3,"idisc",23029.2874062506,124502.307595893
4,"idisc",29924.611370158,135669.347184338
5,"idisc",52029.3819096169,153228.907135448
6,"idisc",56018.2757614136,143492.262202651
7,"idisc",65188.6160382375,153050.381473465
8,"idisc",59680.8673114409,149903.493056568
9,"idisc",70370.9617124087,150055.787116324
1,"imain",11890.9124272315,105135.573041793
10,"imain",176069.755553451,354833.039392458
11,"imain",182852.272140723,376625.774789731
12,"imain",218843.468924542,423957.459902823
13,"imain",172917.581978118,348934.971808502
14,"imain",128310.669755206,252212.665801235
15,"imain",94620.7074384147,185824.848301592
16,"imain",74027.359122534,128062.667229305
17,"imain",40564.9942236107,74401.5830573111
18,"imain",17757.8655408314,32546.0360146305
19,"imain",12676.8273699645,39221.8496439223
