"purpose","nstops","freq_out","freq_inb"
"work","1",814408.753416627,629520.457815277
"univ","1",23846.1835538555,25424.8695947098
"sch","1",303414.843409229,270065.249455071
"esco","1",448432.189695531,417272.581923045
"imain","1",892328.325828984,799890.634892722
"idisc","1",683765.261064221,680813.40672585
"jmain","1",149691.248382668,125004.276203831
"jdisc","1",197203.913724457,181102.302073871
"atwork","1",219621.797909408,214697.567076522
"Total","1",3732712.51698498,3343791.3457609
"work","2",189848.671465775,266108.678612774
"univ","2",4324.96294019555,4074.41897463415
"sch","2",25420.0296450322,41422.0985739841
"esco","2",75975.022357041,93779.0655711826
"imain","2",235763.546579512,279450.507178536
"idisc","2",116718.306018704,134872.101992584
"jmain","2",19638.2927691931,44533.2588919064
"jdisc","2",26117.4624275074,38653.0550838702
"atwork","2",16937.0321126,19385.7723036521
"Total","2",710743.32631556,922278.957183124
"work","3",44503.0082925723,106343.39102704
"univ","3",5204.27202004163,2307.82182229187
"sch","3",5040.36718426855,12902.4718138339
"esco","3",25346.6965485952,37038.333879609
"imain","3",96004.3082300725,134001.786845838
"idisc","3",45194.3603865118,51274.960375672
"jmain","3",9102.87411159505,8768.50982872546
"jdisc","3",3548.5897105541,7225.85847759465
"atwork","3",3457.18945469731,4667.07541718395
"Total","3",237401.665938908,364530.209487789
"work","4",22432.3835438949,69220.2892637785
"univ","4",1143.2800525575,2711.58817501428
"sch","4",754.914946259848,10240.3353419
"esco","4",23702.9828331897,25366.9100605204
"imain","4",126239.739607519,136992.991328991
"idisc","4",65428.236088978,44145.6944643087
"jmain","4",7250.63307295854,7377.00341195177
"jdisc","4",5594.13154033515,5482.8817675174
"atwork","4",1339.3337051517,2604.93838449851
"Total","4",253885.635390844,304142.63219848
