"purpose","nstops","freq"
"work","1",509711.315913059
"univ","1",17817.8624209622
"sch","1",251417.462653306
"esco","1",334780.8726918
"imain","1",519958.442185108
"idisc","1",518728.38688464
"jmain","1",100951.154393089
"jdisc","1",156487.325670824
"atwork","1",198050.729189815
"Total","1",2607903.5520026
"work","2",276447.254597893
"univ","2",6428.12657636013
"sch","2",46244.8513660082
"esco","2",113467.380223486
"imain","2",319984.867288499
"idisc","2",171158.818181106
"jmain","2",48064.4814207007
"jdisc","2",48365.8757158506
"atwork","2",29367.7455641907
"Total","2",1059529.40093409
"work","3",153742.023746097
"univ","3",5563.08537033598
"sch","3",23252.5749840785
"esco","3",66801.8193368731
"imain","3",204282.82721896
"idisc","3",90114.0222097617
"jmain","3",20107.9455689463
"jdisc","3",14191.8973726011
"atwork","3",9038.6882392907
"Total","3",587094.884046944
"work","4",91175.090711577
"univ","4",2537.48200167664
"sch","4",12425.4986836904
"esco","4",43538.2114539298
"imain","4",227784.285667973
"idisc","4",108575.490934605
"jmain","4",12291.2513386825
"jdisc","4",10875.2112241318
"atwork","4",3247.56778001938
"Total","4",512450.089796285
"work","5",27794.1745366028
"univ","5",1056.7605691574
"sch","5",761.777794066417
"esco","5",11411.4266369952
"imain","5",52045.69055313
"idisc","5",17782.0445008634
"jmain","5",3252.25006278265
"jdisc","5",2543.78741944614
"atwork","5",1177.194040192
"Total","5",117825.106113236
"work","6",9962.84851227824
"univ","6",1097.90108542626
"sch","6",527.989703639715
"esco","6",2340.61888887792
"imain","6",12840.5482179646
"idisc","6",3475.07729701092
"jmain","6",461.691142581748
"jdisc","6",0
"atwork","6",333.021324725661
"Total","6",31039.696172505
"work","7",2360.10870136224
"univ","7",17.4805427315261
"sch","7",0
"esco","7",1116.56220239504
"imain","7",13439.2591144531
"idisc","7",1272.32355042723
"jmain","7",554.274409631862
"jdisc","7",0
"atwork","7",140.407043623127
"Total","7",18900.4155646241
