"purpose","stop_purp","freq"
"work","1",12978.3806609637
"univ","1",1109.0281720429
"sch","1",188.620896392471
"esco","1",6486.68442620849
"imain","1",53997.9550581635
"idisc","1",9006.15999779825
"jmain","1",26.794478223056
"jdisc","1",47.8585436547388
"atwork","1",0
"Total","1",83841.4822334471
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",4234.9331925553
"univ","2",4267.92877599271
"sch","2",0
"esco","2",946.350817597602
"imain","2",5395.97443435192
"idisc","2",1125.30198246145
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",15970.489202959
"work","3",1354.30262609482
"univ","3",0
"sch","3",21572.7794779944
"esco","3",10995.0983440024
"imain","3",10324.9940411807
"idisc","3",6961.22106636276
"jmain","3",80.8725017612716
"jdisc","3",587.108873023841
"atwork","3",0
"Total","3",51876.3769304201
"work","4",233539.733170574
"univ","4",5402.91955804664
"sch","4",39157.2693448582
"esco","4",219622.7088418
"imain","4",225881.142060486
"idisc","4",114110.528636904
"jmain","4",8251.16127412643
"jdisc","4",6251.95811595252
"atwork","4",1883.59584838753
"Total","4",854101.016851136
"work","5",247502.732588496
"univ","5",3050.50887213098
"sch","5",23033.4348773493
"esco","5",115471.66676125
"imain","5",524965.677002451
"idisc","5",214514.397815949
"jmain","5",46185.5630271089
"jdisc","5",16152.0925990824
"atwork","5",9335.36842437411
"Total","5",1200211.44196819
"work","6",266029.605231902
"univ","6",6275.99653855997
"sch","6",18709.0938466393
"esco","6",73583.5918888709
"imain","6",702516.640167277
"idisc","6",146102.980410899
"jmain","6",26363.102228476
"jdisc","6",6064.783590713
"atwork","6",32296.3890612247
"Total","6",1277942.18296456
"work","7",132078.439468609
"univ","7",7179.68477893448
"sch","7",19034.982395762
"esco","7",73417.1434270665
"imain","7",280615.514447982
"idisc","7",137567.004051274
"jmain","7",25524.786632033
"jdisc","7",9708.05244693748
"atwork","7",21822.4940078612
"Total","7",706948.10165646
"work","8",46772.3138773252
"univ","8",3607.22679650623
"sch","8",12300.3276606759
"esco","8",29625.6518570351
"imain","8",118971.907476633
"idisc","8",117128.398018367
"jmain","8",7703.83276429865
"jdisc","8",4091.81380211626
"atwork","8",885.144521684987
"Total","8",341086.616774642
"work","9",79600.0925571513
"univ","9",4026.46835299242
"sch","9",12227.9060099289
"esco","9",44040.0336534854
"imain","9",148505.649428155
"idisc","9",203356.257640034
"jmain","9",5593.43755410112
"jdisc","9",8017.0995029813
"atwork","9",2766.07258940145
"Total","9",508133.017288231
