id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,Total,7798.0,113486.0,1949490.0,2070774.0
1,atwork,77.0,5333.0,101805.0,107215.0
1,idisc,855.0,20156.0,375959.0,396969.0
1,imain,5773.0,37439.0,763916.0,807128.0
1,jdisc,0.0,0.0,0.0,0.0
1,jmain,0.0,0.0,0.0,0.0
1,sch,0.0,1682.0,10326.0,12009.0
1,univ,0.0,4137.0,12423.0,16560.0
1,work,1093.0,44740.0,685060.0,730894.0
2,Total,13877.0,88439.0,996556.0,1098873.0
2,atwork,43.0,3192.0,25394.0,28630.0
2,idisc,7981.0,11634.0,168601.0,188216.0
2,imain,4646.0,35439.0,396710.0,436794.0
2,jdisc,0.0,3595.0,91251.0,94845.0
2,jmain,752.0,7956.0,125661.0,134369.0
2,sch,0.0,1224.0,37589.0,38812.0
2,univ,0.0,351.0,4951.0,5303.0
2,work,456.0,25048.0,146399.0,171903.0
3,Total,5445.0,60999.0,859154.0,925598.0
3,atwork,0.0,1447.0,8479.0,9926.0
3,idisc,862.0,12035.0,188299.0,201196.0
3,imain,2687.0,25700.0,375937.0,404324.0
3,jdisc,1334.0,1218.0,52903.0,55455.0
3,jmain,347.0,2275.0,50144.0,52766.0
3,sch,12.0,8894.0,104298.0,113204.0
3,univ,0.0,0.0,1511.0,1511.0
3,work,203.0,9430.0,77582.0,87215.0
4,Total,29744.0,32737.0,298979.0,361461.0
4,atwork,1556.0,5048.0,49041.0,55645.0
4,idisc,10359.0,15274.0,160399.0,186032.0
4,imain,13437.0,2713.0,47492.0,63642.0
4,jdisc,58.0,2456.0,26615.0,29130.0
4,jmain,328.0,1518.0,4349.0,6196.0
4,sch,458.0,1287.0,4647.0,6392.0
4,univ,24.0,838.0,1378.0,2240.0
4,work,3524.0,3603.0,5057.0,12184.0
5,Total,5024.0,6563.0,39717.0,51304.0
5,atwork,0.0,26.0,528.0,553.0
5,idisc,1724.0,551.0,13504.0,15779.0
5,imain,2548.0,2193.0,9696.0,14438.0
5,jdisc,17.0,990.0,2777.0,3784.0
5,jmain,0.0,0.0,3377.0,3377.0
5,sch,0.0,25.0,2686.0,2710.0
5,univ,615.0,702.0,188.0,1505.0
5,work,120.0,2075.0,6961.0,9157.0
6,Total,42997.0,29436.0,31074.0,103507.0
6,atwork,580.0,590.0,850.0,2020.0
6,idisc,8490.0,3212.0,3606.0,15308.0
6,imain,7196.0,1857.0,2283.0,11337.0
6,jdisc,674.0,401.0,479.0,1553.0
6,jmain,385.0,204.0,150.0,739.0
6,sch,833.0,1473.0,1681.0,3987.0
6,univ,7379.0,4790.0,4645.0,16815.0
6,work,17459.0,16909.0,17376.0,51745.0
7,Total,418.0,2440.0,15071.0,17929.0
7,atwork,0.0,35.0,72.0,107.0
7,idisc,55.0,55.0,215.0,325.0
7,imain,36.0,56.0,160.0,252.0
7,jdisc,5.0,6.0,44.0,55.0
7,jmain,0.0,3.0,0.0,3.0
7,sch,3.0,22.0,19.0,44.0
7,univ,63.0,343.0,982.0,1387.0
7,work,256.0,1922.0,13579.0,15756.0
8,Total,2037.0,2811.0,2908.0,7755.0
8,atwork,48.0,35.0,61.0,143.0
8,idisc,440.0,191.0,293.0,923.0
8,imain,127.0,214.0,226.0,567.0
8,jdisc,38.0,65.0,28.0,132.0
8,jmain,3.0,10.0,15.0,28.0
8,sch,38.0,44.0,85.0,168.0
8,univ,280.0,410.0,388.0,1078.0
8,work,1062.0,1842.0,1811.0,4716.0
9,Total,1372.3333333333333,511.0,3090.3333333333335,4973.666666666667
9,atwork,68.66666666666667,6.0,11.333333333333334,86.33333333333333
9,idisc,412.3333333333333,23.0,1307.3333333333333,1743.0
9,imain,807.3333333333334,271.6666666666667,987.6666666666666,2067.0
9,jdisc,0.0,0.0,76.66666666666667,76.66666666666667
9,jmain,17.0,0.0,0.0,17.0
9,sch,0.0,0.0,286.6666666666667,286.6666666666667
9,univ,5.666666666666667,0.0,0.0,5.666666666666667
9,work,61.0,210.0,420.0,691.6666666666666
10,Total,6028.0,5682.0,130957.0,142667.0
10,atwork,0.0,0.0,0.0,0.0
10,idisc,0.0,0.0,0.0,0.0
10,imain,0.0,0.0,0.0,0.0
10,jdisc,0.0,0.0,0.0,0.0
10,jmain,0.0,0.0,0.0,0.0
10,sch,6028.0,5682.0,130957.0,142667.0
10,univ,0.0,0.0,0.0,0.0
10,work,0.0,0.0,0.0,0.0
