"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",2017.25978147786,0,12.7921700881316,5801.91119823057,7805.16056532018,5095.6108612791,55.5094623371031,117.249726539927,1449.25707682562
"2",3101.9687928151,0,1273.95348644283,9036.50008992172,7772.25540711498,17175.9600521399,859.902656209295,4329.77228334925,8846.56074571266
"3",3613.41654014813,0,1943.44426676593,32616.6607704746,8666.40290389919,17465.8471460363,4427.44034093141,7766.67355888082,10563.5716032781
"4",4088.7727486237,0,8398.46882967292,30367.7532377867,23660.9887636239,16767.2007018547,5933.89870967966,8574.07698562679,6257.25171999583
"5",4944.16926779508,12.1367687637969,849.151144688844,25070.5307023467,43012.483626988,29340.1752035526,8788.77483248612,13356.1077543853,13748.7765912939
"6",7556.76765235688,161.185760603952,2135.668556553,14415.7748391954,58051.5468890199,33478.2931894757,18838.3186433126,22535.5061408874,12511.56536958
"7",14673.9256207229,976.556763376656,1616.27086232814,15107.0131765359,57246.3002597084,32946.8884208939,17994.039675259,22915.0567802348,36763.6639479912
"8",23420.1910377325,2799.52957275095,3941.31037980328,15990.0660846018,77685.1080565477,43625.1820074496,16379.4678345716,20785.1284531136,56180.4274332368
"9",28104.045906906,5836.08098159503,12235.7157045078,15498.7908257538,75597.9711704736,43780.3192524381,16478.6326520871,9516.20639232712,37774.7614794409
"10",58632.669645979,5402.88818234074,63330.60692779,26866.6224611472,92335.1842423018,36915.6443370987,12745.0060543448,10785.065512869,24604.5290622764
"11",124512.051413324,2107.24190687933,79508.5439140841,52228.220001153,116836.712585877,47472.5482301763,13289.1763445138,7068.83447653197,17073.1226482622
"12",224719.56104658,1768.45222183712,65557.0100336607,62934.9105542993,141789.606205103,62594.9534403837,12374.140239509,11776.9825560232,8616.35634191058
"13",236305.18944763,2228.49192107489,45327.461065559,66650.3552138018,152914.425198543,68683.1427497082,7883.54345508305,12378.4707573076,3786.80971056669
"14",120051.235543558,1019.14468767839,15495.6616528822,48850.7253970382,102783.50764667,79275.0173201376,12981.4626964008,17133.8345234337,1923.13621086143
"15",65512.1927723118,2227.58772877467,11371.4481909041,36876.2788060556,76435.4682819332,83266.3989153648,13138.3129627646,25605.7410247668,804.429674840726
"16",45708.4906228712,706.873131736388,7087.07624513775,39904.2929662374,66634.9554561537,95309.9849669855,11098.9751538765,16650.7490679395,305.050141639186
"17",31089.9719890716,3987.75819026428,3130.97642531228,19670.9268898161,41899.6018419014,59112.3992068368,2551.98734393903,10443.3809489432,58.5272402519544
"18",36877.5215096809,1552.40035262546,1164.67225507026,12914.0180198894,46391.9541307906,39285.4806224253,2002.45586833875,2301.38200710943,87.5561838929095
