"distbin","PURPOSE","freq"
1,"esco",68057.7937530951
10,"esco",22588.108415006
11,"esco",9529.10609326889
12,"esco",8912.04082867654
13,"esco",7444.15976208648
14,"esco",10909.6379193226
15,"esco",6095.0526598733
16,"esco",7413.65180169888
17,"esco",1709.71671844245
18,"esco",4648.97083626672
19,"esco",5221.22776644303
2,"esco",90282.4414056117
20,"esco",2039.81131090993
21,"esco",4094.81308103266
22,"esco",2348.04818581456
23,"esco",818.982678090555
24,"esco",1303.78171428408
25,"esco",1620.43612156407
26,"esco",2372.92787949405
27,"esco",1166.16931820257
28,"esco",308.368672232473
29,"esco",1474.75541187143
3,"esco",70231.058589512
30,"esco",116.238999674764
31,"esco",1977.5368526885
32,"esco",26.8015217195765
33,"esco",534.143078365584
34,"esco",234.375427005736
35,"esco",120.270699966533
36,"esco",51.0735401775972
37,"esco",391.276340167922
38,"esco",18.254663751485
39,"esco",293.068076755779
4,"esco",67542.5508749932
40,"esco",867.351633756257
41,"esco",3856.43692273719
5,"esco",41474.7948540268
6,"esco",39516.2873099087
7,"esco",27320.6188296091
8,"esco",34026.0744996969
9,"esco",17790.3770165953
1,"imain",184710.262694021
10,"imain",36287.7661747516
11,"imain",39453.04842938
12,"imain",35032.4838804489
13,"imain",27797.2987770834
14,"imain",24925.1966782876
15,"imain",23842.6491728028
16,"imain",24202.9503146064
17,"imain",19661.22813154
18,"imain",14744.819701686
19,"imain",17866.8346766199
2,"imain",143252.037434189
20,"imain",18324.7442170673
21,"imain",16737.0139236347
22,"imain",10672.4057495281
23,"imain",11406.1514715099
24,"imain",12440.3095086148
25,"imain",5850.86451537387
26,"imain",9004.51662290888
27,"imain",12113.8447891255
28,"imain",4610.26885306389
29,"imain",7203.78284776751
3,"imain",107450.290365865
30,"imain",6082.79281066128
31,"imain",6017.3901396589
32,"imain",2473.2952188781
33,"imain",2706.65308164902
34,"imain",4657.32785499575
35,"imain",3171.71431535099
36,"imain",3929.86795855437
37,"imain",2166.12802251971
38,"imain",1372.90794768821
39,"imain",1604.29268023238
4,"imain",102169.62611484
40,"imain",2412.18947663702
41,"imain",28237.6080958797
5,"imain",88787.6293840686
6,"imain",60563.0491306042
7,"imain",53775.2218584041
8,"imain",49169.3807197595
9,"imain",39137.0191158211
1,"idisc",161210.839289852
10,"idisc",26906.6123723948
11,"idisc",19407.7766485207
12,"idisc",18714.8580383031
13,"idisc",12683.0914309742
14,"idisc",14135.1085783405
15,"idisc",6945.74332795244
16,"idisc",16118.2863480269
17,"idisc",9669.04248678316
18,"idisc",6760.26970399444
19,"idisc",6653.50208610422
2,"idisc",118727.161404841
20,"idisc",7859.75405789279
21,"idisc",4291.28513125803
22,"idisc",5340.10619834908
23,"idisc",3614.54501911069
24,"idisc",2764.87284679585
25,"idisc",2983.13740317904
26,"idisc",1751.31032775181
27,"idisc",5056.40481283599
28,"idisc",1278.9238713145
29,"idisc",3803.59627853898
3,"idisc",109457.354289101
30,"idisc",1904.34671136019
31,"idisc",1904.6347132847
32,"idisc",1170.54820665604
33,"idisc",989.839722778253
34,"idisc",1551.68720561243
35,"idisc",1062.82001004803
36,"idisc",545.125434345675
37,"idisc",1039.30618387443
38,"idisc",981.637567735412
39,"idisc",1017.72405976255
4,"idisc",70703.5687922983
40,"idisc",346.685462448089
41,"idisc",10635.3958844184
5,"idisc",65344.8577763685
6,"idisc",47065.6272413506
7,"idisc",32182.2549557147
8,"idisc",28759.3278669304
9,"idisc",23545.0140327896
1,"jmain",30660.9844127376
10,"jmain",1300.60136036231
11,"jmain",2378.96997549483
12,"jmain",2075.4326113209
13,"jmain",6519.69716280285
14,"jmain",2895.65651490415
15,"jmain",1061.35321547319
16,"jmain",1160.88512704811
17,"jmain",851.848106904859
18,"jmain",306.519528586486
19,"jmain",392.628266777615
2,"jmain",27426.4140540619
20,"jmain",1504.50300095607
21,"jmain",4190.79408595938
22,"jmain",593.923375023455
23,"jmain",317.776585771626
24,"jmain",1093.26267853964
25,"jmain",505.444214336368
26,"jmain",1082.99609720215
27,"jmain",0
28,"jmain",239.782421084554
29,"jmain",0
3,"jmain",21625.5281925301
30,"jmain",921.333345978161
31,"jmain",1420.38633834492
32,"jmain",0
33,"jmain",953.781978310491
34,"jmain",36.960494861619
35,"jmain",53.0139235559708
36,"jmain",0
37,"jmain",950.336250083511
38,"jmain",136.713729346422
39,"jmain",0
4,"jmain",15482.6098683706
40,"jmain",118.174756302492
41,"jmain",140.488257680259
5,"jmain",15480.9735412096
6,"jmain",11375.892205939
7,"jmain",7301.90767690335
8,"jmain",8146.13416109883
9,"jmain",6376.39980451598
1,"jdisc",51178.3045309003
10,"jdisc",4812.28395950077
11,"jdisc",2559.66372638046
12,"jdisc",2187.23777443719
13,"jdisc",4899.34333018072
14,"jdisc",3631.04933131184
15,"jdisc",612.592958384191
16,"jdisc",3029.04992225917
17,"jdisc",1602.79324411943
18,"jdisc",277.974814539766
19,"jdisc",504.492883835202
2,"jdisc",30905.6221878975
20,"jdisc",2394.70531942243
21,"jdisc",1213.82932733434
22,"jdisc",734.701557766162
23,"jdisc",170.193773602571
24,"jdisc",918.821455654479
25,"jdisc",111.335162824613
26,"jdisc",0
27,"jdisc",50.0378804757031
28,"jdisc",0
29,"jdisc",3726.92864634357
3,"jdisc",25230.8684622476
30,"jdisc",197.52804505174
31,"jdisc",986.967289565294
32,"jdisc",0
33,"jdisc",0
34,"jdisc",49.6116954625898
35,"jdisc",0
36,"jdisc",0
37,"jdisc",0
38,"jdisc",329.914485822782
39,"jdisc",199.833515018101
4,"jdisc",18326.7706087005
40,"jdisc",0
41,"jdisc",155.100196789908
5,"jdisc",22939.2186142825
6,"jdisc",10080.8317709785
7,"jdisc",10023.6829965227
8,"jdisc",15825.9988660225
9,"jdisc",6562.61747222934
1,"atwork",80053.7916688942
10,"atwork",2255.76010536525
11,"atwork",1716.02646030238
12,"atwork",911.083153697621
13,"atwork",4044.573198511
14,"atwork",5565.06991832011
15,"atwork",738.065328263812
16,"atwork",683.273789138862
17,"atwork",331.024485235934
18,"atwork",1602.08311133863
19,"atwork",689.959633410838
2,"atwork",33276.109250443
20,"atwork",303.387777221042
21,"atwork",264.597777709961
22,"atwork",1027.11894435339
23,"atwork",313.56573857639
24,"atwork",87.4710970558431
25,"atwork",107.450826070141
26,"atwork",152.273391307372
27,"atwork",190.793519682986
28,"atwork",176.468690260952
29,"atwork",414.439947015878
3,"atwork",30534.4601076567
30,"atwork",35.4529098333497
31,"atwork",112.757549142979
32,"atwork",0
33,"atwork",0
34,"atwork",0
35,"atwork",127.658492422996
36,"atwork",0
37,"atwork",28.5529319989084
38,"atwork",17.0048013416881
39,"atwork",0
4,"atwork",21531.2959922767
40,"atwork",13.5063145007977
41,"atwork",1082.67089647206
5,"atwork",17419.012626445
6,"atwork",12321.4607714437
7,"atwork",5134.52072268477
8,"atwork",6589.01588244482
9,"atwork",4802.6593511127
1,"Total",575871.9763495
10,"Total",94151.1323873807
11,"Total",75044.5913333473
12,"Total",67833.1362868842
13,"Total",63388.1636616386
14,"Total",62061.7189404869
15,"Total",39295.4566627497
16,"Total",52608.0973027783
17,"Total",33825.6531730258
18,"Total",28340.6376964121
19,"Total",31328.6453131908
2,"Total",443869.785737044
20,"Total",32426.9056834696
21,"Total",30792.3333269291
22,"Total",20716.3040108347
23,"Total",16641.2152666617
24,"Total",18608.5193009447
25,"Total",11178.6682433481
26,"Total",14364.0243186643
27,"Total",18577.2503203228
28,"Total",6613.81250795636
29,"Total",16623.5031315374
3,"Total",364529.560006913
30,"Total",9257.69282255948
31,"Total",12419.6728826853
32,"Total",3670.64494725371
33,"Total",5184.41786110335
34,"Total",6529.96267793813
35,"Total",4535.47744134452
36,"Total",4526.06693307764
37,"Total",4575.59972864449
38,"Total",2856.433195686
39,"Total",3114.9183317688
4,"Total",295756.42225148
40,"Total",3757.90764364466
41,"Total",44107.7002539776
5,"Total",251446.486796401
6,"Total",180923.148430225
7,"Total",135738.207039839
8,"Total",142515.931995953
9,"Total",98214.086793064
