"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
18440505,1,1,"1_SOV","Indi-Main",2,18.5390807383322
19119626,1,1,"1_SOV","Indi-Main",2,17.1004482719028
19221666,1,1,"3_HOV3","Indi-Main",2,17.1456571245383
19243788,2,1,"2_HOV2","Indi-Main",1,46.7315356983831
19961652,1,1,"1_SOV","Other",2,54.0112083759392
18388141,2,1,"2_HOV2","Indi-Main",2,234.181127489826
19534721,1,1,"3_HOV3","Indi-Main",2,12.1693365360418
19786681,1,1,"4_WALK","Indi-Disc",2,237.100164133323
19786681,2,1,"4_WALK","Indi-Disc",2,237.100164133323
19801737,1,1,"6_WALK_LOCAL","Indi-Main",1,638.889649500695
19970120,1,1,"3_HOV3","Indi-Disc",2,42.0143285967944
18543318,2,1,"19_OTHER","Indi-Main",2,16.3595539033403
19216006,1,2,"1_SOV","Work",2,80.2577660536395
19459702,1,1,"1_SOV","Indi-Main",2,142.80708621026
19534721,1,1,"3_HOV3","Indi-Main",2,12.1693365360418
19607918,2,1,"1_SOV","Indi-Disc",2,101.041385268802
19836089,1,1,"17_TAXI","Indi-Disc",2,12.1367687637969
18481856,2,1,"1_SOV","Indi-Main",2,26.134367015345
19409814,1,1,"1_SOV","Indi-Main",2,51.6030836047642
18481856,2,1,"1_SOV","Indi-Main",2,26.134367015345
18224843,2,1,"2_HOV2","Joint-Disc",2,60.6303097019288
18224843,3,1,"2_HOV2","Joint-Disc",2,60.6303097019288
18604531,1,1,"19_OTHER","Indi-Main",2,102.289182186122
18678048,1,1,"1_SOV","Indi-Disc",2,74.6950301861728
19161189,1,2,"19_OTHER","Indi-Main",2,29.1432485258633
19319388,2,1,"1_SOV","Indi-Main",2,245.285475587756
19428785,2,1,"3_HOV3","Indi-Disc",2,18.1976658735751
18662399,1,1,"7_WALK_PREMIUM","Indi-Disc",2,25.1563264730502
19221399,2,1,"1_SOV","Indi-Main",2,335.746530651499
19619450,2,1,"1_SOV","Indi-Main",2,52.3162174651442
19794363,1,1,"7_WALK_PREMIUM","Indi-Main",2,20.1613496517734
18169607,1,1,"1_SOV","Indi-Main",2,95.8364869774393
18617867,1,1,"1_SOV","Indi-Main",2,322.537170948056
18785381,2,1,"7_WALK_PREMIUM","Indi-Disc",1,34.3556362378976
19748828,1,1,"1_SOV","Indi-Disc",2,22.0269770904511
19800584,2,1,"3_HOV3","Indi-Disc",2,29.3019728093502
18663783,3,1,"1_SOV","Work",2,53.9100660176749
18862544,3,1,"1_SOV","Indi-Main",2,12.9459607576628
19555731,2,1,"1_SOV","Indi-Main",2,352.833615435869
18303335,3,1,"2_HOV2","Indi-Main",1,64.1779980373711
19456845,1,1,"1_SOV","Work",2,34.5268876431965
19977112,1,1,"7_WALK_PREMIUM","Other",2,16.1823583517292
18352281,1,1,"2_HOV2","Indi-Main",2,12.1367687637969
19563356,1,1,"1_SOV","Indi-Main",2,310.285379928021
19950243,2,1,"1_SOV","Indi-Disc",2,17.1456571245383
18728475,1,1,"1_SOV","Indi-Main",2,12.5791012004914
19304389,1,1,"2_HOV2","Indi-Main",1,8.64563895706637
19786681,1,1,"4_WALK","Indi-Disc",2,237.100164133323
18169178,2,1,"1_SOV","Indi-Main",2,16.8851420892086
19181360,1,1,"3_HOV3","Indi-Main",2,23.8228943775131
19388390,2,1,"1_SOV","Indi-Main",2,16.5138996828954
19818150,2,1,"1_SOV","Indi-Main",2,18.8494332436117
19881926,1,1,"1_SOV","Indi-Disc",2,18.0803636352785
19920696,1,1,"12_KNR_LOCAL","Indi-Main",0,24.2735375275938
18169178,2,1,"1_SOV","Indi-Main",2,16.8851420892086
18185311,2,1,"3_HOV3","Indi-Disc",2,138.301122605713
18731736,1,1,"1_SOV","Indi-Disc",1,12.2169323380413
18862544,3,1,"3_HOV3","Indi-Main",2,12.9459607576628
19298341,2,1,"1_SOV","Indi-Main",1,313.246360296348
19316258,2,1,"1_SOV","Other",2,16.3321839526901
19549848,1,1,"2_HOV2","Indi-Main",1,169.558058795798
19673661,1,1,"1_SOV","Work",2,12.818671454219
19303399,2,1,"1_SOV","Indi-Main",2,52.3162174651442
19571953,2,1,"4_WALK","Indi-Main",2,24.4952641182324
19623597,2,1,"2_HOV2","Indi-Disc",2,16.1823583517292
19647636,1,1,"1_SOV","Work",2,1456.41225165563
19827529,1,1,"19_OTHER","Indi-Main",2,11.4826086862023
18119342,1,1,"1_SOV","Indi-Main",2,16.5762261124661
18649558,1,1,"2_HOV2","Indi-Main",2,12.4924999036136
18675218,2,1,"1_SOV","Indi-Main",1,985.979292187037
18767518,1,1,"3_HOV3","Indi-Main",2,66.3418419797043
18924576,1,1,"7_WALK_PREMIUM","Indi-Main",2,12.9590348987728
19218486,1,1,"7_WALK_PREMIUM","Indi-Main",2,12.5135739818837
19289274,2,1,"3_HOV3","Indi-Main",2,149.848916812587
19592160,1,1,"3_HOV3","Indi-Main",2,212.917278600508
19627748,2,1,"1_SOV","Indi-Disc",2,358.468662656445
19818150,2,1,"1_SOV","Indi-Main",2,18.8494332436117
18174534,2,1,"3_HOV3","Indi-Disc",2,26.9531897829525
18460761,3,1,"6_WALK_LOCAL","Joint-Main",2,49.6116954625898
18659894,2,1,"7_WALK_PREMIUM","Indi-Main",2,62.1090619063617
18677938,4,1,"6_WALK_LOCAL","Indi-Disc",2,230.802857294864
18728475,1,1,"1_SOV","Indi-Main",2,12.5791012004914
18785481,3,1,"2_HOV2","Indi-Main",2,53.1132818492726
19147646,1,1,"1_SOV","Indi-Main",2,16.1823583517292
19263090,1,1,"2_HOV2","Other",2,92.9445628896604
19263090,2,1,"2_HOV2","Other",2,92.9445628896604
19323003,1,1,"1_SOV","Indi-Main",2,484.093515930807
19336112,2,1,"3_HOV3","Indi-Main",2,257.172952515827
19891684,3,1,"4_WALK","Indi-Main",2,128.593218871536
19952286,1,1,"1_SOV","Indi-Main",2,98.5750314777745
18345061,1,1,"3_HOV3","Indi-Main",2,16.1823583517292
18659894,2,1,"7_WALK_PREMIUM","Indi-Main",2,62.1090619063617
18728475,1,1,"1_SOV","Indi-Main",2,12.5791012004914
18761578,1,1,"1_SOV","Indi-Disc",2,426.750955208859
19147646,1,1,"1_SOV","Indi-Main",2,16.1823583517292
19159873,1,1,"3_HOV3","Indi-Disc",1,138.763159618012
19445493,1,1,"3_HOV3","Indi-Disc",2,62.1636459602134
19445493,2,1,"3_HOV3","Other",2,62.1636459602134
19465181,1,1,"7_WALK_PREMIUM","Indi-Disc",1,13.1104070486445
19465181,4,1,"7_WALK_PREMIUM","Indi-Disc",1,13.1104070486445
19468435,1,1,"2_HOV2","Indi-Disc",2,79.9196720618059
19494043,1,1,"2_HOV2","Indi-Disc",2,16.7062816872812
19731894,2,1,"4_WALK","Indi-Disc",2,16.1823583517292
19833599,3,1,"2_HOV2","Indi-Main",2,208.184475657536
19838018,1,1,"1_SOV","Indi-Disc",2,12.3491290960439
19891684,3,1,"4_WALK","Indi-Main",2,128.593218871536
18174534,1,1,"2_HOV2","Indi-Disc",2,26.9531897829525
18174534,2,1,"2_HOV2","Indi-Disc",2,26.9531897829525
18649558,1,1,"1_SOV","Indi-Main",2,12.4924999036136
18998793,1,1,"7_WALK_PREMIUM","Indi-Main",2,95.7314500240521
19241112,1,1,"7_WALK_PREMIUM","Indi-Disc",2,12.5094701189258
19241112,2,1,"7_WALK_PREMIUM","Indi-Disc",2,12.5094701189258
19303527,4,1,"3_HOV3","Indi-Main",1,49.1503116287672
19456845,1,1,"1_SOV","Indi-Main",2,34.5268876431965
19468435,1,1,"5_BIKE","Indi-Disc",2,79.9196720618059
19544939,1,1,"1_SOV","Indi-Disc",2,70.3444836594526
19581846,2,1,"7_WALK_PREMIUM","Indi-Main",2,11.4518787459659
19633345,3,1,"2_HOV2","Indi-Disc",2,1518.25366988324
19884693,1,1,"2_HOV2","Indi-Main",2,8.58890905947441
19926096,2,1,"1_SOV","Indi-Disc",2,12.35915503773
18144415,1,1,"3_HOV3","Indi-Main",2,970.941501103753
18403361,3,1,"2_HOV2","Indi-Main",2,49.6116954625898
18633522,1,1,"9_PNR_LOCAL","Other",2,12.8592428434037
18684084,2,1,"1_SOV","Indi-Main",2,12.4866547698781
18860828,1,1,"3_HOV3","Indi-Main",2,27.400936826159
18872794,1,1,"1_SOV","Indi-Disc",2,24.0048381161265
19201879,2,1,"1_SOV","Indi-Main",2,25.9559075773536
19246634,1,1,"2_HOV2","Indi-Main",2,206.612786578367
19276572,2,1,"4_WALK","Indi-Main",1,65.1047947710585
19411638,2,1,"2_HOV2","Indi-Main",2,16.5372318208633
19428785,2,1,"17_TAXI","Indi-Disc",2,18.1976658735751
19563356,1,1,"1_SOV","Indi-Main",2,310.285379928021
19674552,1,1,"1_SOV","Indi-Main",2,14.0617500541514
19746566,1,1,"1_SOV","Indi-Main",2,323.647167034584
19853457,3,1,"2_HOV2","Joint-Main",1,12.4029238656475
19853457,4,1,"2_HOV2","Joint-Main",1,12.4029238656475
18127600,2,1,"1_SOV","Indi-Main",2,264.352116081782
18174534,1,1,"2_HOV2","Indi-Main",2,26.9531897829525
18346280,2,1,"10_PNR_PREMIUM","Indi-Main",2,12.2780848029117
18502060,1,1,"1_SOV","Indi-Main",2,77.5969473246253
18529548,1,1,"1_SOV","Indi-Main",2,82.2995646408858
18767518,1,1,"1_SOV","Indi-Main",2,66.3418419797043
19128781,1,1,"1_SOV","Indi-Main",2,196.211668013129
19222160,1,1,"1_SOV","Indi-Main",2,16.684061973781
19411638,2,1,"2_HOV2","Indi-Main",2,16.5372318208633
19450656,1,1,"1_SOV","Indi-Main",2,50.9866292451633
19452025,2,1,"2_HOV2","Indi-Main",2,53.8148049809153
19674552,1,1,"1_SOV","Indi-Main",2,14.0617500541514
19729160,5,1,"2_HOV2","Indi-Main",2,205.518146146762
19754991,1,1,"1_SOV","Work",2,12.4660030707349
19836089,1,1,"17_TAXI","Indi-Disc",2,12.1367687637969
19853457,3,1,"2_HOV2","Indi-Main",1,12.4029238656475
19853457,4,1,"2_HOV2","Indi-Main",1,12.4029238656475
19901043,1,1,"4_WALK","Indi-Main",2,12.5198542812054
19993157,1,1,"3_HOV3","Indi-Main",1,93.2012263850024
18119342,1,1,"1_SOV","Indi-Main",2,16.5762261124661
18130385,1,1,"2_HOV2","Indi-Main",0,12.1367687637969
18288544,2,1,"1_SOV","Indi-Main",2,16.4655054613919
18684084,2,1,"1_SOV","Indi-Main",2,12.4866547698781
18801892,1,1,"1_SOV","Work",2,98.1589633787924
18860828,1,1,"1_SOV","Indi-Main",2,27.400936826159
18935438,2,1,"2_HOV2","Indi-Disc",2,30.6401421713921
18958607,1,1,"3_HOV3","Indi-Disc",2,210.809188407172
18958607,3,1,"3_HOV3","Indi-Disc",2,210.809188407172
19222160,1,1,"1_SOV","Indi-Main",2,16.684061973781
19222160,4,1,"1_SOV","Indi-Main",2,16.684061973781
19341482,1,1,"2_HOV2","Indi-Main",2,80.0700515984456
19510669,2,1,"1_SOV","Indi-Main",1,12.3705736471792
19563356,1,1,"1_SOV","Indi-Main",2,310.285379928021
19662321,1,1,"7_WALK_PREMIUM","Indi-Main",2,25.4816581241
19708792,1,1,"17_TAXI","Indi-Main",2,98.9204300052903
19853457,3,1,"2_HOV2","Indi-Main",1,12.4029238656475
19853457,4,1,"2_HOV2","Indi-Main",1,12.4029238656475
18130385,1,1,"2_HOV2","Indi-Main",0,12.1367687637969
18488507,1,1,"3_HOV3","Work",2,12.1751819153251
18684084,2,1,"3_HOV3","Indi-Main",2,12.4866547698781
18742747,1,1,"1_SOV","Work",2,26.0894984669329
18860828,1,1,"3_HOV3","Indi-Disc",2,27.400936826159
19159873,1,1,"3_HOV3","Indi-Disc",1,138.763159618012
19209699,2,1,"1_SOV","Indi-Disc",2,12.1693365360418
19222160,1,1,"1_SOV","Indi-Main",2,16.684061973781
19315150,1,1,"2_HOV2","Indi-Disc",2,12.1693365360418
19459168,2,1,"2_HOV2","Indi-Main",2,17.9651903397299
19645142,1,1,"1_SOV","Work",2,262.099161600412
19674552,1,1,"1_SOV","Indi-Main",2,14.0617500541514
19720085,1,1,"1_SOV","Indi-Main",2,13.012386824976
19754827,2,1,"1_SOV","Work",2,169.772603931398
