"","PERTYPE","TOURPURP","freq"
"1",1,4,164426.145103483
"2",1,5,163199.951582597
"3",1,6,529745.477278105
"4",1,7,83071.4928083709
"5",1,8,67481.7809291254
"6",1,9,244150.312001156
"7",2,4,37679.2320457167
"8",2,5,34660.4166207907
"9",2,6,86449.1602837643
"10",2,7,15507.5252701132
"11",2,8,17865.5843911878
"12",2,9,49130.5830981459
"13",3,4,17845.0783211863
"14",3,5,12091.3767910199
"15",3,6,50014.7060897866
"16",3,7,7187.9830267149
"17",3,8,8821.93371295971
"18",3,9,13205.0232257754
"19",4,4,38754.2258032522
"20",4,5,34381.2063266184
"21",4,6,26646.6225328844
"22",4,7,14836.970317556
"23",4,8,12923.7235289143
"24",4,9,34311.3285141969
"25",5,4,41346.8126354934
"26",5,5,116374.064365632
"27",5,6,182284.75681433
"28",5,7,50783.2835822957
"29",5,8,39912.6005303109
"30",5,9,133791.856801846
"31",6,4,9142.3704049793
"32",6,5,3945.62946801832
"33",6,6,14815.0348482955
"34",6,7,7116.66699603463
"35",6,8,6122.5439885717
"36",6,9,7250.1708765545
"37",7,4,99925.745223034
"38",7,5,15940.6241300981
"39",7,6,48555.9453978725
"40",7,7,11166.0187000034
"41",7,8,25684.2505390505
"42",7,9,32715.0124744399
"43",8,4,61627.5170072764
"44",8,5,15453.7597852106
"45",8,6,15777.187931064
"46",8,7,5886.96611784344
"47",8,8,9772.60750534053
"48",8,9,12409.9446219072
