"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",201293.297175695,1273.08849701349,16160.7771328538,21971.9011228923,105135.573041793,52959.4642412824,191.160850557816,1871.42336942148,3880.43619857555
"2",253459.304080856,9065.02850166698,73412.5752887416,69966.3741123763,173199.581579559,73739.3385629429,4327.26544404926,3216.52988139467,15778.3329041243
"3",307745.712580982,7707.83484904927,124023.470567272,164958.854105389,281508.943743277,124502.307595893,4343.41581476158,7295.85307121961,19634.7412358755
"4",175091.306726548,6144.02900484535,75157.9845757709,155385.861703836,304887.264711115,135669.347184338,19437.8680344709,7758.37952332317,21940.2625921607
"5",85598.2209677452,2071.84900013478,19158.0620996616,90237.3983996088,293830.841242937,153228.907135448,32484.47992056,10731.2450478898,34657.9643555516
"6",61756.4008779537,4202.14676689515,6871.81314436415,59584.8901732813,264850.043192371,143492.262202651,27414.1699672126,16929.7276815204,50017.7357808396
"7",84960.2147062562,9343.56317994369,11333.0202253169,75734.0762893088,330207.991034003,153050.381473465,28160.8021028678,18276.1662369358,118860.263399905
"8",105766.170305698,10562.4658641089,12013.6002333875,80104.4196094785,348199.31196343,149903.493056568,27690.1237017795,12564.9820162214,112335.83391181
"9",117536.084631325,9425.57803074885,39904.2075824635,84992.9373440326,307108.669827293,150055.787116324,25086.9014532691,9897.36390923666,56987.6736246405
"10",174397.2709243,6147.32666928389,89756.5994121221,117476.118395317,354833.039392458,160193.776777571,26409.4879650627,14177.2624080991,39988.0402055915
"11",312075.293598401,4234.81217809449,105461.837899575,170902.538771787,376625.774789731,191109.236181162,15443.7391780489,12430.2248614968,19851.4501585282
"12",387176.423150631,2613.94297753493,89416.4309352759,176596.963377633,423957.459902823,238290.724684779,15193.1219707859,18648.5899449779,15022.7077496131
"13",264267.768384527,5408.82432211132,57563.2691563504,168605.364975924,348934.971808502,247990.593087714,17918.7319603633,25591.3746074669,3119.3792298262
"14",133767.595580955,3387.39434821033,20954.4652765676,119587.978022855,252212.665801235,239125.611871979,14594.3876479575,29520.8556094982,2895.16139201157
"15",78465.0357752859,3356.78285613186,15849.1521158371,83311.5775560568,185824.848301592,161442.689107205,14947.3318000846,23140.4304390562,1404.63954598959
"16",44545.1613106856,2173.35720977647,8450.34783126474,67503.5006511746,128062.667229305,136213.319867809,10644.0714591353,11278.6055714524,242.094512617978
"17",35034.8318392199,2918.04613593482,3796.90139448355,34667.2234766085,74401.5830573111,66644.5464652748,2887.3722258539,2624.74778382749,138.699627707691
"18",18400.0346988621,753.451609822612,11.7269544994824,11604.4217410297,32546.0360146305,37117.0295536149,138.09147750007,2567.98122553501,0
"19",24247.7972577504,15.2860698181109,1533.70929746923,7800.12622465198,39221.8496439223,31203.7767080534,81.8675269956287,616.864951306528,0
