"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",22152.9437895336,7584.65032520756,2913.93500965199,0,0,0,0,0,0,249.161323840208
"2",2657.62264289576,88614.6905702201,51331.3590823327,1076.7143812409,1794.48955035525,685.261056977236,0,0,0,20623.7894511277
"3",1538.66268066357,18012.6782703167,248312.949759029,1145.51013379581,60.0764669448074,250.187909769978,0,0,0,37706.9769777228
"4",80.9860968052416,4006.19509627725,2602.56056179705,11186.0585450098,451.578887609897,0,0,0,0,6075.25244715542
"5",832.897368658761,345.678440085317,49.9209506647026,885.83104986653,5943.15615916991,0,0,0,0,275.878425827586
"6",185.79102248345,712.717308223796,0,0,0,20919.2048992294,0,0,0,3047.70017887753
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,12.3972673515797,24.3386730720836,0,0,0,0,1719.04110715966,26.1227205071058
"10",950.220044835635,925.992561321841,3320.35593295384,0,0,0,0,0,0,199193.313994856
"11",0,0,115.538650015205,0,0,0,0,0,0,131.827893132594
