"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Anoka","Ramsey","Auto 2 Person","Escort",2432.21054867982
"St. Croix","Hennepin","Auto SOV","Maintenance",838.793457994932
"Hennepin","Hennepin","Auto SOV","Shop",240233.5132154
"Anoka","Ramsey","Auto SOV","Escort",2533.98739619899
"Rice","Rice","Auto SOV","Work",17801.9673222165
"Dakota","Dakota","Auto SOV","Work",133693.506401044
"Anoka","Dakota","Auto 2 Person","Maintenance",483.912541384523
"Polk","Polk","Walk","Escort",2663.06921366612
"Anoka","Anoka","Auto 2 Person","Discretionary",19589.5458815734
"Washington","Ramsey","Auto 3+ Person","Maintenance",2715.78438456145
"Anoka","Anoka","Walk","Discretionary",20760.7871708779
"Ramsey","Ramsey","Walk","Work",24170.2037111762
"McLeod","Hennepin","Auto SOV","Maintenance",940.739670232318
"Hennepin","Hennepin","Auto SOV","Maintenance",529426.620510416
"Hennepin","Hennepin","Auto SOV","Work",531404.508323366
"Ramsey","Ramsey","Auto SOV","Maintenance",200005.505971063
"Rice","Rice","Auto SOV","Work-based",7449.42277526838
"Ramsey","Hennepin","Auto SOV","Work",65146.6548055956
"Hennepin","Ramsey","Auto SOV","Maintenance",51760.7638128264
"Anoka","Anoka","Auto SOV","Discretionary",49762.3014958606
"Ramsey","Dakota","Auto 2 Person","Maintenance",4647.77744664954
"Scott","Scott","Auto SOV","Work",31972.3021300063
"Ramsey","Hennepin","Auto SOV","Maintenance",47045.5981297026
"Dakota","Dakota","Walk","Maintenance",5134.89400660175
"Anoka","Anoka","Auto SOV","Maintenance",98253.0702952076
"Anoka","Anoka","Auto SOV","Work",97765.7951402339
"Dakota","Hennepin","Auto SOV","Work",40720.9351687266
"Hennepin","Hennepin","TNR-Transit","Work",4538.61862873758
"Dakota","Ramsey","Auto SOV","Work",18129.9556675793
"Washington","Ramsey","Auto SOV","Work",21515.0362686992
"Dakota","Washington","Auto SOV","Work",10162.8763096485
"Carver","Carver","Auto 2 Person","Discretionary",9975.84420516275
"Carver","Carver","Auto 2 Person","Work",10109.5107104631
"Wright","Wright","Auto SOV","Work",28448.0635158331
"St. Croix","Pierce","Auto SOV","Maintenance",3152.30478120934
"Hennepin","Anoka","Auto 3+ Person","Work",749.550049044984
"Hennepin","Anoka","Auto 3+ Person","Maintenance",3513.98592777152
"Wright","Hennepin","Auto SOV","Maintenance",11747.0719331342
"Ramsey","Hennepin","Auto 3+ Person","Escort",5409.51897469442
"Anoka","Anoka","Auto SOV","Shop",49387.4203307826
"Hennepin","Hennepin","Walk","Visiting",22036.2617660118
