"District","Workers","WFH"
"Anoka",196878.300586211,10401.6182651669
"Carver",63781.8872045187,4086.91539878529
"Chisago",32309.8499580402,1901.40400708639
"Dakota",241132.117791177,10188.5836937089
"Goodhue",25247.5292229845,1546.4542189865
"Hennepin",725544.095038969,41671.177572731
"Isanti",30171.9878140784,303.066784874791
"Le Sueur",10862.5375340142,230.315316366103
"McLeod",24615.5497766305,791.698240132066
"Pierce",21557.9208202695,157.365334882373
"Polk",34156.0805889785,2216.22448269828
"Ramsey",281730.738985001,17336.3087298357
"Rice",33459.8845519918,1183.66818125582
"Scott",71681.028589302,3316.17974629411
"Sherburne",58779.7130273861,1731.27481229139
"Sibley",3969.57508105306,0
"St. Croix",71518.4380919635,2315.76212359219
"Washington",142556.673679335,8920.26126305256
"Wright",84838.9067758042,4216.79179681819
"Total",2154792.81511771,112515.069968559
