"jtf_code","alt_name","freq"
1,"No Joint Tours",1190549.67203954
2,"1 Shopping",53156.0476149281
3,"1 Maintenance",44753.2962199725
4,"1 Eating Out",44199.4012532017
5,"1 Visiting",31833.2456579555
6,"1 Other Discretionary",43802.5111803119
7,"2 Shopping",11292.5089864377
8,"1 Shopping / 1 Maintenance",4467.99112039251
9,"1 Shopping / 1 Eating Out",1568.58278182135
10,"1 Shopping / 1 Visiting",2128.06539410199
11,"1 Shopping / 1 Other Discretionary",11289.7295492421
12,"2 Maintenance",6604.1897962023
13,"1 Maintenance / 1 Eating Out",8223.29250276532
14,"1 Maintenance / 1 Visiting",4969.29404055509
15,"1 Maintenance / 1 Other Discretionary",15210.775756766
16,"2 Eating Out",3734.1755673018
17,"1 Eating Out / 1 Visiting",4709.46929165989
18,"1 Eating Out / 1 Other Discretionary",7910.67331615244
19,"2 Visiting",2890.96166275699
20,"1 Visiting / 1 Other Discretionary",16565.9418179563
21,"2 Other Discretionary",17789.484329916
