"HH_ID","JTRIP_ID","dow_num","uid","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","TOUR_ID","JTOUR_ID","finalweight","stops","TOURPURP","DEST_PURP","TRIPMODE","TOURMODE","ORIG_TAZ","DEST_TAZ","TOUROTAZ","TOURDTAZ","DEST_DEP_BIN","ORIG_DEP_BIN","IS_INBOUND","ANCHOR_DEPART_HOUR","ANCHOR_DEPART_MIN","PERTYPE_1","PERTYPE_2","PERTYPE_3","PERTYPE_4","PERTYPE_5","PERTYPE_6","PERTYPE_7","PERTYPE_8","PERTYPE_9","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","MAX_AGE"
18114695,1,1,"18114695-1-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,1,51.0655008411185,0,5,5,3,3,2651,2651,2651,2651,17,13,0,9,1,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,2,1,"18114695-2-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,1,51.0655008411185,1,5,9,3,3,2651,2652,2651,2651,17,17,1,9,1,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,3,1,"18114695-3-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,1,51.0655008411185,0,5,0,3,3,2652,2651,2651,2651,26,17,1,9,1,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,4,1,"18114695-4-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,2,2,51.0655008411185,1,6,5,3,3,2651,2651,2651,2652,27,26,0,15,49,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,5,1,"18114695-5-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,2,2,51.0655008411185,1,6,8,3,3,2651,2653,2651,2652,28,27,0,15,49,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,6,1,"18114695-6-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,2,2,51.0655008411185,0,6,6,3,3,2653,2652,2651,2652,28,28,0,15,49,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18114695,7,1,"18114695-7-1",3,1,3,4,NA,NA,NA,NA,NA,NA,3,2,2,51.0655008411185,0,6,0,3,3,2652,2651,2651,2652,48,28,1,15,49,2,8,8,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,5
18119342,2,1,"18119342-2-1",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,2,1,16.5762261124661,0,6,6,2,2,2785,2787,2785,2787,33,27,0,16,18,1,7,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,6
18119342,3,1,"18119342-3-1",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,2,1,16.5762261124661,0,6,0,2,2,2787,2785,2785,2787,48,33,1,16,18,1,7,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,6
18127925,1,1,"18127925-1-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,12.4029238656475,0,8,8,2,2,664,554,664,554,27,24,0,14,42,5,5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9
