"","PERTYPE","MTF","freq"
"1","1","1",9815
"2","2","1",784
"3","3","1",134
"4","6","1",33
"5","7","1",0
"6","8","1",0
"7","Total","1",10766
"8","1","2",402
"9","2","2",52
"10","3","2",3
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",457
"15","1","3",40
"16","2","3",0
"17","3","3",174
"18","6","3",417
"19","7","3",2064
"20","8","3",644
"21","Total","3",3339
"22","1","4",0
"23","2","4",0
"24","3","4",6
"25","6","4",22
"26","7","4",76
"27","8","4",22
"28","Total","4",126
"29","1","5",3
"30","2","5",0
"31","3","5",9
"32","6","5",17
"33","7","5",0
"34","8","5",0
"35","Total","5",29
