"distbin","PURPOSE","freq"
1,"work",38249.2599542526
10,"work",18583.9279420761
11,"work",15949.9152482535
12,"work",12927.0909978589
13,"work",18494.2834490408
14,"work",5811.4137041307
15,"work",10747.9111226482
16,"work",8229.5834477585
17,"work",9400.29731943603
18,"work",7963.03778590453
19,"work",5662.69665747594
2,"work",342886.994728453
20,"work",6564.50851813808
21,"work",7772.27926812362
22,"work",3255.34713960998
23,"work",6010.02790544575
24,"work",1410.75090280067
25,"work",4222.61674185367
26,"work",650.254502329371
27,"work",1052.09670693319
28,"work",2703.98563681581
29,"work",319.751316838946
3,"work",201515.200244027
30,"work",1563.24418978425
31,"work",2906.06998906206
32,"work",575.95988138517
33,"work",521.09314612315
34,"work",2119.5768045298
35,"work",847.113294533277
36,"work",651.3739553364
37,"work",536.399837001154
38,"work",266.057280212088
39,"work",691.104375116925
4,"work",139506.675242245
40,"work",259.623537098611
41,"work",373.234212932984
42,"work",6115.41597053869
5,"work",74783.0261912293
6,"work",47315.5848834668
7,"work",44475.5279624134
8,"work",29386.0137396572
9,"work",25387.3606392887
1,"univ",1096.89773687018
10,"univ",2730.84253879176
11,"univ",516.984188428158
12,"univ",1283.10530675432
13,"univ",0
14,"univ",186.869382262124
15,"univ",0
16,"univ",17.4805427315261
17,"univ",26.382480171681
18,"univ",0
19,"univ",0
2,"univ",12851.6800666126
20,"univ",12.513415758232
21,"univ",0
22,"univ",0
23,"univ",0
24,"univ",182.009697166108
25,"univ",0
26,"univ",0
27,"univ",244.752442726819
28,"univ",0
29,"univ",12.1367687637969
3,"univ",6640.11635302419
30,"univ",0
31,"univ",245.285475587756
32,"univ",0
33,"univ",0
34,"univ",0
35,"univ",0
36,"univ",0
37,"univ",0
38,"univ",0
39,"univ",0
4,"univ",2574.81883248149
40,"univ",0
41,"univ",0
42,"univ",244.752442726819
5,"univ",3468.28790388983
6,"univ",564.263414602586
7,"univ",604.252936133812
8,"univ",470.507837742876
9,"univ",641.552653377159
1,"sch",4726.46797653306
10,"sch",3800.79528086703
11,"sch",1780.0765459416
12,"sch",2025.00179107755
13,"sch",4121.69737255949
14,"sch",1947.20613409029
15,"sch",2177.09181519389
16,"sch",75.7041762285755
17,"sch",1349.16067196683
18,"sch",1080.03094595547
19,"sch",1819.84772626138
2,"sch",38165.9337036652
20,"sch",334.064057672606
21,"sch",427.089638748099
22,"sch",159.470339654843
23,"sch",2102.6648470546
24,"sch",39.1840807606587
25,"sch",94.4219560400232
26,"sch",853.438258703588
27,"sch",0
28,"sch",235.392320673374
29,"sch",0
3,"sch",27153.1236189377
30,"sch",0
31,"sch",221.200840925667
32,"sch",24.9946823703651
33,"sch",129.189666522379
34,"sch",375.471998747731
35,"sch",31.1940676467677
36,"sch",0
37,"sch",184.454758752624
38,"sch",0
39,"sch",0
4,"sch",14670.8549080336
40,"sch",66.7765475195254
41,"sch",0
42,"sch",2066.85676154218
5,"sch",7605.72094796561
6,"sch",4039.44305184361
7,"sch",4464.31060098525
8,"sch",3852.8458458668
9,"sch",4622.40606401391
1,"esco",9510.26906699073
10,"esco",8689.6153464467
11,"esco",5341.59072391882
12,"esco",7755.89547049148
13,"esco",6668.65133343544
14,"esco",6345.15987778225
15,"esco",4293.1846856115
16,"esco",4072.46943120366
17,"esco",2885.53399452348
18,"esco",2016.55319675097
19,"esco",2485.79853406606
2,"esco",146321.628142795
20,"esco",1956.48185089124
21,"esco",985.089506680772
22,"esco",1744.97335797317
23,"esco",1965.27791813561
24,"esco",2343.9077433137
25,"esco",1757.49235925414
26,"esco",550.421187069201
27,"esco",1382.80444056265
28,"esco",62.199296481059
29,"esco",1760.19455208167
3,"esco",79593.4681478115
30,"esco",405.767130392223
31,"esco",475.113160530361
32,"esco",265.360066069719
33,"esco",996.080735438776
34,"esco",193.891328549021
35,"esco",31.1614998745228
36,"esco",82.6604373989091
37,"esco",362.121014714128
38,"esco",250.650385093524
39,"esco",146.367763065381
4,"esco",55713.6319576252
40,"esco",215.795267440217
41,"esco",304.930288049446
42,"esco",2707.62550598182
5,"esco",37301.378078076
6,"esco",21458.2152661338
7,"esco",15917.7060071205
8,"esco",16834.1780867772
9,"esco",13055.3060221357
1,"imain",40804.4182353238
10,"imain",31900.7817351781
11,"imain",24892.1604350427
12,"imain",18497.8787744247
13,"imain",20265.5867249411
14,"imain",16202.7404270673
15,"imain",13909.6418823639
16,"imain",10857.2766182119
17,"imain",11660.6353821321
18,"imain",11917.4132845141
19,"imain",8285.40696948938
2,"imain",653715.871398811
20,"imain",5181.1386888478
21,"imain",7054.49880186485
22,"imain",5957.30145363494
23,"imain",2427.72184453984
24,"imain",3843.23518463088
25,"imain",9328.64477177727
26,"imain",6692.98368005746
27,"imain",2215.56991725662
28,"imain",2073.05839935097
29,"imain",3941.00892907738
3,"imain",303973.853699521
30,"imain",3245.50127859905
31,"imain",1215.7207230498
32,"imain",3345.74297094554
33,"imain",1080.08318532659
34,"imain",4115.19335480836
35,"imain",909.212983356899
36,"imain",2030.18477143636
37,"imain",1328.09999498764
38,"imain",2176.7379343883
39,"imain",1624.47232780164
4,"imain",202925.442720487
40,"imain",464.683358024573
41,"imain",2728.19051122937
42,"imain",20972.5507186308
5,"imain",113951.174242327
6,"imain",98401.1182244785
7,"imain",73509.4338920217
8,"imain",50855.9456138887
9,"imain",39963.7795531832
1,"idisc",17661.7493957372
10,"idisc",11940.5325546801
11,"idisc",10569.3613141254
12,"idisc",10948.6216064438
13,"idisc",6487.16883084552
14,"idisc",7187.28834773078
15,"idisc",2857.12105724446
16,"idisc",3433.20845665116
17,"idisc",4404.003480964
18,"idisc",1884.82098549965
19,"idisc",4081.43194674383
2,"idisc",271673.869698408
20,"idisc",3478.52325976339
21,"idisc",1033.33577726412
22,"idisc",637.90156431759
23,"idisc",1683.63929214673
24,"idisc",2943.64429983021
25,"idisc",734.013761599526
26,"idisc",1530.57917438889
27,"idisc",832.494074402085
28,"idisc",884.720532397205
29,"idisc",1118.1047346579
3,"idisc",142558.684795305
30,"idisc",724.039725752341
31,"idisc",1787.99027010872
32,"idisc",171.146545553501
33,"idisc",668.243102764477
34,"idisc",778.735643496236
35,"idisc",623.105372839992
36,"idisc",463.186983139645
37,"idisc",734.615727234343
38,"idisc",117.729838222555
39,"idisc",121.391400034259
4,"idisc",77847.8230232483
40,"idisc",53.515977520252
41,"idisc",487.721397178803
42,"idisc",5392.26293055044
5,"idisc",45837.8977637031
6,"idisc",32804.5860924834
7,"idisc",22203.9500586044
8,"idisc",22616.9141723799
9,"idisc",15196.9009221405
1,"jmain",885.525319052404
10,"jmain",484.529889653701
11,"jmain",1775.98680600654
12,"jmain",1132.24728219356
13,"jmain",1775.19901881762
14,"jmain",1140.22000455471
15,"jmain",653.452382728141
16,"jmain",12.4029238656475
17,"jmain",360.342924124876
18,"jmain",0
19,"jmain",44.4896512954043
2,"jmain",50178.5101594889
20,"jmain",256.116511663718
21,"jmain",52.7607016962512
22,"jmain",0
23,"jmain",912.264705671806
24,"jmain",588.314420431283
25,"jmain",193.129434180636
26,"jmain",596.114660443176
27,"jmain",0
28,"jmain",75.6885210092347
29,"jmain",12.4029238656475
3,"jmain",16308.8358707714
30,"jmain",0
31,"jmain",12.7949096333274
32,"jmain",0
33,"jmain",0
34,"jmain",16.2892431173884
35,"jmain",26.9454670359289
36,"jmain",0
37,"jmain",0
38,"jmain",0
39,"jmain",0
4,"jmain",16146.5422937135
40,"jmain",0
41,"jmain",1076.04830299274
42,"jmain",589.407432060306
5,"jmain",8427.84988636741
6,"jmain",6697.46759705904
7,"jmain",6458.6941466852
8,"jmain",1295.74891868737
9,"jmain",994.210239617346
1,"jdisc",977.155280974859
10,"jdisc",794.871903652219
11,"jdisc",332.788172653523
12,"jdisc",332.906298343658
13,"jdisc",99.6764931186271
14,"jdisc",35.4804590698401
15,"jdisc",395.480403162014
16,"jdisc",34.121753406829
17,"jdisc",97.0214771793527
18,"jdisc",180.955592348689
19,"jdisc",175.924072112567
2,"jdisc",21749.8764405318
20,"jdisc",186.435261039782
21,"jdisc",25.9714217237488
22,"jdisc",43.5137870708635
23,"jdisc",0
24,"jdisc",0
25,"jdisc",0
26,"jdisc",58.6878412165861
27,"jdisc",0
28,"jdisc",0
29,"jdisc",0
3,"jdisc",13489.5511470554
30,"jdisc",0
31,"jdisc",0
32,"jdisc",0
33,"jdisc",8.58890905947441
34,"jdisc",0
35,"jdisc",0
36,"jdisc",0
37,"jdisc",420.620410346132
38,"jdisc",0
39,"jdisc",0
4,"jdisc",5721.21556861188
40,"jdisc",0
41,"jdisc",0
42,"jdisc",99.5942449724056
5,"jdisc",5157.75870932376
6,"jdisc",1671.35015119959
7,"jdisc",1519.17808146633
8,"jdisc",1473.9056079928
9,"jdisc",1174.24407380399
1,"atwork",589.946979160387
10,"atwork",1028.7376792135
11,"atwork",756.44705061132
12,"atwork",179.395825087831
13,"atwork",319.211698513671
14,"atwork",367.905821650453
15,"atwork",191.943759758941
16,"atwork",59.3809683090389
17,"atwork",96.3651724165067
18,"atwork",211.829684938686
19,"atwork",99.109116125329
2,"atwork",32973.8130553542
20,"atwork",111.622162605665
21,"atwork",228.191828103019
22,"atwork",242.735375275938
23,"atwork",311.301326308212
24,"atwork",155.532985470146
25,"atwork",212.917278600508
26,"atwork",75.4046821676996
27,"atwork",0
28,"atwork",272.250555028161
29,"atwork",99.109116125329
3,"atwork",8966.71397330046
30,"atwork",0
31,"atwork",271.54675928281
32,"atwork",242.735375275938
33,"atwork",16.47887338364
34,"atwork",0
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",227.714751160549
39,"atwork",0
4,"atwork",8437.69391319795
40,"atwork",0
41,"atwork",0
42,"atwork",12.5130464803358
5,"atwork",2698.20978287233
6,"atwork",932.278172982362
7,"atwork",2930.01797392814
8,"atwork",1135.77010275264
9,"atwork",1139.73812183642
1,"Total",114501.689944895
10,"Total",79954.6348705593
11,"Total",61915.3104849816
12,"Total",55082.1433526758
13,"Total",58231.4749212722
14,"Total",39224.2841583384
15,"Total",35225.827108711
16,"Total",26791.6283183668
17,"Total",30279.7429029149
18,"Total",25254.6414759121
19,"Total",22654.7046735699
2,"Total",1570518.17739412
20,"Total",18081.4037263805
21,"Total",17579.2169442045
22,"Total",12041.2430175373
23,"Total",15412.8978393026
24,"Total",11506.5793144037
25,"Total",16543.2363033058
26,"Total",11007.883986376
27,"Total",5727.71758188136
28,"Total",6307.29526175582
29,"Total",7262.70834141067
3,"Total",800199.547849755
30,"Total",5938.55232452787
31,"Total",7135.72212818049
32,"Total",4625.93952160024
33,"Total",3419.75761861849
34,"Total",7599.15837324853
35,"Total",2468.73268528739
36,"Total",3227.40614731131
37,"Total",3566.31174303602
38,"Total",3038.89018907701
39,"Total",2583.3358660182
4,"Total",523544.698459643
40,"Total",1060.39468760318
41,"Total",4970.12471238334
42,"Total",38200.9790534838
5,"Total",299231.303505754
6,"Total",213884.30685425
7,"Total",172083.071659359
8,"Total",127921.829925745
9,"Total",102175.498289397
