"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",7363.0937650728,2193.66573579981,336.339373444574,4155.7370821383,60909.6601127429,9627.87645367884,208.826969347958,880.156951121999,0
"2",4509.08751598162,4067.60373250788,0,154.332735401971,6628.69651067365,610.768708393854,0,0,0
"3",1354.30262609482,0,19307.3827700348,14263.2794003689,10540.067088361,5817.29064765108,161.745003522543,21.6608881329442,0
"4",270045.954497382,7180.10152742592,40332.0382871132,200596.15372679,216440.814781377,109167.496378855,3222.68548094312,5551.05683068395,1883.59584838753
"5",267544.543945705,4393.00416744927,20492.0898033996,91350.7364124189,542338.638078377,205918.363547321,56626.6199158677,20612.537022252,9335.36842437411
"6",290322.406569945,7530.97552292061,19087.0961579949,46660.2890770273,719456.944652179,135164.122242062,28110.0847146629,5348.29867940215,32296.3890612247
"7",148085.034190537,5670.68395862986,16574.0776338134,66868.130822474,282231.429471875,134552.969579464,28424.6996918159,12353.0693982967,21822.4940078612
"8",44655.7724700105,1833.29702295411,8999.91952010977,28863.7848153689,123547.102431699,122182.51495691,6274.00131406785,6244.08397660436,885.144521684987
"9",94613.8910512854,5626.34548898548,12771.5635575676,30593.2857723867,125876.297467716,223719.995866256,6770.73912608366,11141.7835744013,2766.07258940145
"10",0,0,0,0,0,0,0,0,0
