"purpose","nstops","freq"
"work","1",509711.315913059
"univ","1",17817.8624209622
"sch","1",251417.462653306
"esco","1",334780.8726918
"imain","1",519958.442185108
"idisc","1",518728.38688464
"jmain","1",115751.39561294
"jdisc","1",219434.261214759
"atwork","1",198050.729189815
"Total","1",2685650.72876639
"work","2",276447.254597893
"univ","2",6428.12657636013
"sch","2",46244.8513660082
"esco","2",113467.380223486
"imain","2",319984.867288499
"idisc","2",171158.818181106
"jmain","2",71543.6906999821
"jdisc","2",63537.2721150919
"atwork","2",29367.7455641907
"Total","2",1098180.00661262
"work","3",153742.023746097
"univ","3",5563.08537033598
"sch","3",23252.5749840785
"esco","3",66801.8193368731
"imain","3",204282.82721896
"idisc","3",90114.0222097617
"jmain","3",24369.1231357166
"jdisc","3",19625.399208763
"atwork","3",9038.6882392907
"Total","3",596789.563449877
"work","4",91175.090711577
"univ","4",2537.48200167664
"sch","4",12425.4986836904
"esco","4",43538.2114539298
"imain","4",227784.285667973
"idisc","4",108575.490934605
"jmain","4",20514.5923262181
"jdisc","4",12914.666830493
"atwork","4",3247.56778001938
"Total","4",522712.886390182
"work","5",27794.1745366028
"univ","5",1056.7605691574
"sch","5",761.777794066417
"esco","5",11411.4266369952
"imain","5",52045.69055313
"idisc","5",17782.0445008634
"jmain","5",5639.99273727594
"jdisc","5",2854.21477804469
"atwork","5",1177.194040192
"Total","5",120523.276146328
"work","6",9962.84851227824
"univ","6",1097.90108542626
"sch","6",527.989703639715
"esco","6",2340.61888887792
"imain","6",12840.5482179646
"idisc","6",3475.07729701092
"jmain","6",752.444419728752
"jdisc","6",142.953407392544
"atwork","6",333.021324725661
"Total","6",31473.4028570446
"work","7",2360.10870136224
"univ","7",17.4805427315261
"sch","7",0
"esco","7",1116.56220239504
"imain","7",13439.2591144531
"idisc","7",1272.32355042723
"jmain","7",554.274409631862
"jdisc","7",49.6116954625898
"atwork","7",140.407043623127
"Total","7",18950.0272600867
