"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",1093.35937099787,36648.1104517668,683523.433409008,721264.903231773
"10","work",0,0,0,0
"2","work",455.7589799888,23609.3588313288,150041.737061545,174106.854872863
"3","work",203.104476325455,6015.35803754196,81035.5236224103,87253.9861362777
"4","work",3527.4156132193,3594.28576012145,4717.92723130543,11839.6286046462
"5","work",120.146219827783,2081.25576803671,6960.96709477836,9162.36908264286
"6","work",12440.9166117225,8722.58846674226,25198.414401606,46361.9194800708
"7","work",26.0694517910005,497.573270416184,17869.7650860319,18393.4078082391
"8","work",183.618824401586,630.082002174429,1260.9338079154,2074.63463449142
"9","work",0,0,0,0
"1","univ",0,3521.32505013679,12518.7520068343,16040.077056971
"10","univ",0,0,0,0
"2","univ",0,342.877642947716,4910.37589051447,5253.25353346218
"3","univ",0,0,1511.38673224482,1511.38673224482
"4","univ",24.2735375275938,837.718634497591,1378.30737764727,2240.29954967246
"5","univ",614.855658044484,702.236497196144,188.250247782807,1505.34240302343
"6","univ",2125.01489165412,791.947392339209,3796.48328089109,6713.44556488441
"7","univ",0,0,946.125779124293,946.125779124293
"8","univ",17.1778181189488,0,0,17.1778181189488
"9","univ",0,0,291.590129148569,291.590129148569
"1","sch",0,0,12058.2620177304,12058.2620177304
"10","sch",0,0,0,0
"2","sch",0,944.357463802568,46704.5218992197,47648.8793630223
"3","sch",12.1693365360418,2658.98279356647,121673.464020382,124344.616150485
"4","sch",531.736859785274,611.635230280809,5824.72815112267,6968.10024118876
"5","sch",0,0,2723.07743912119,2723.07743912119
"6","sch",3386.04368435147,362.026775047979,8605.70564531822,12353.7761047177
"7","sch",0,0,0,0
"8","sch",0,0,859.520553579831,859.520553579831
"9","sch",5543.93750670206,2816.76188745266,119165.805474963,127526.504869118
"1","imain",5668.77695894113,29827.6930549789,768007.22117609,803503.69119001
"10","imain",0,0,0,0
"2","imain",4721.76656900894,31833.5304940565,398138.431501277,434693.728564342
"3","imain",2686.83128759937,14186.1782540579,387524.103492846,404397.113034503
"4","imain",13237.0319325027,2673.0791009249,47508.3192485138,63418.4302819414
"5","imain",2401.25425023168,2174.32679017303,9452.45988419408,14028.0409245988
"6","imain",29268.5192282593,5871.42893511483,29242.3517697352,64382.2999331094
"7","imain",1401.10895523679,602.899718211112,6527.86290133029,8531.8715747782
"8","imain",2422.66814565201,35.1425624482742,3784.28460047338,6242.09530857366
"9","imain",82.2465173025576,737.452645538157,10738.9089214085,11558.6080842493
"1","idisc",801.522408601248,15924.1633643822,339042.232674505,355767.918447488
"10","idisc",0,0,0,0
"2","idisc",4552.22199415015,9141.34237851327,153549.287337859,167242.851710522
"3","idisc",862.083721296393,6741.68843552761,176987.49866467,184591.270821494
"4","idisc",6937.23254874592,10619.7168753646,132518.96517754,150075.91460165
"5","idisc",1330.07397547498,504.675150088864,12845.8314327134,14680.5805582773
"6","idisc",10380.8377097574,229.03722316257,12151.4412185035,22761.3161514234
"7","idisc",1332.47744768742,267.280722305787,3245.93369985985,4845.69186985305
"8","idisc",1036.93240887763,56.6520986081382,3560.47088781488,4654.05539530065
"9","idisc",0,73.8714097729866,3350.35173425637,3424.22314402936
"1","jmain",0,0,0,0
"10","jmain",0,0,0,0
"2","jmain",709.158675030563,11821.6523211136,230710.295013256,243241.106009401
"3","jmain",1351.41162489001,2701.0697559815,89332.7491750258,93385.2305558973
"4","jmain",256.485160131103,2392.08984142641,8102.40639302133,10750.9813945788
"5","jmain",0,0,4901.90027657437,4901.90027657437
"6","jmain",1381.51356944663,0,584.19767080029,1965.71124024692
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,0,3725.73718647828,3725.73718647828
"1","jdisc",0,0,0,0
"10","jdisc",0,0,0,0
"2","jdisc",0,3847.37576977041,136465.870461361,140313.246231131
"3","jdisc",1652.06546773029,2070.12636826209,104252.828441252,107975.020277245
"4","jdisc",141.60260296996,6008.85425373289,53713.993193257,59864.4500499598
"5","jdisc",69.0874639913832,2191.67951330615,4710.66601360606,6971.43299090358
"6","jdisc",0,0,1954.82299749469,1954.82299749469
"7","jdisc",0,0,34.3556362378976,34.3556362378976
"8","jdisc",202.847351389927,0,484.065854409241,686.913205799168
