"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",244.752442726819,0,45786.7025621163
1,"esc",1964.28051697836,1269.69510042338,55719.5446899542
1,"idisc",2243.20426688331,0,35185.167968438
1,"imain",2266.6726785468,840.538530770176,30914.942143695
1,"jdisc",0,0,12041.0072168672
1,"jmain",0,0,6166.73899209593
1,"sch",48.8531567334574,0,6045.95192446085
1,"Total",17120.9617572752,2406.34951799371,193734.873679746
1,"univ",0,0,0
1,"work",10353.1986954065,296.115886800153,1874.81818211886
2,"atwork",130.400332381628,375.152775108447,84887.9447858773
2,"esc",0,397.871031781887,161864.646970167
2,"idisc",1344.26330091972,25.0897944219863,123359.526887603
2,"imain",2938.04875974831,112.510760464758,117156.030142555
2,"jdisc",242.521238807715,0,53102.5309022506
2,"jmain",0,0,39110.9119684625
2,"sch",1096.68840543882,12.7921700881316,10579.6286363771
2,"Total",14984.176384427,935.654300399189,594185.525505844
2,"univ",0,0,0
2,"work",9232.25434713082,12.2377685339783,4124.30521255154
3,"atwork",220.055364463668,0,44933.2157417897
3,"esc",469.753807900609,0,67590.7925127826
3,"idisc",1480.37284764736,28.6133803779793,97513.3107205066
3,"imain",5037.34141654971,683.559510178777,116374.832552305
3,"jdisc",50.1773992725392,0,47873.4101807653
3,"jmain",0,0,55621.660245975
3,"sch",0,0,4499.17821266207
3,"Total",26528.280541772,1196.29589267644,436924.239359956
3,"univ",17.4625385055247,0,426.589291381835
3,"work",19253.1171674326,484.123002119685,2091.24990178745
4,"atwork",122.319905759338,167.739146998524,28041.9622080284
4,"esc",1375.63502642445,552.379692700683,39512.3419414115
4,"idisc",4755.19083611329,270.256747824377,105953.645600188
4,"imain",6276.57146218094,1395.85494014786,95926.7883436899
4,"jdisc",0,0,50577.0855921639
4,"jmain",228.025319903992,0,34338.2041431168
4,"sch",0,0,3978.21074335087
4,"Total",45872.4730913391,2415.09887198932,364275.772964524
4,"univ",0,0,1579.75802634203
4,"work",33114.7305409571,28.8683443178798,4367.77636623232
5,"atwork",716.556597348748,70.0036882941934,8940.43386313378
5,"esc",2561.05691014769,1019.99628870144,27866.6218024234
5,"idisc",11581.0661764129,1151.89344547411,80406.6799989253
5,"imain",16764.8482821775,485.558488291232,87926.1265640019
