"distbin","PURPOSE","freq"
1,"esco",68057.7937530951
10,"esco",22588.108415006
11,"esco",9529.10609326889
12,"esco",8912.04082867654
13,"esco",7444.15976208648
14,"esco",10909.6379193226
15,"esco",6095.0526598733
16,"esco",7413.65180169888
17,"esco",1709.71671844245
18,"esco",4648.97083626672
19,"esco",5221.22776644303
2,"esco",90282.4414056117
20,"esco",2039.81131090993
21,"esco",4094.81308103266
22,"esco",2348.04818581456
23,"esco",818.982678090555
24,"esco",1303.78171428408
25,"esco",1620.43612156407
26,"esco",2372.92787949405
27,"esco",1166.16931820257
28,"esco",308.368672232473
29,"esco",1474.75541187143
3,"esco",70231.058589512
30,"esco",116.238999674764
31,"esco",1977.5368526885
32,"esco",26.8015217195765
33,"esco",534.143078365584
34,"esco",234.375427005736
35,"esco",120.270699966533
36,"esco",51.0735401775972
37,"esco",391.276340167922
38,"esco",18.254663751485
39,"esco",293.068076755779
4,"esco",67542.5508749932
40,"esco",867.351633756257
41,"esco",3856.43692273719
5,"esco",41474.7948540268
6,"esco",39516.2873099087
7,"esco",27320.6188296091
8,"esco",34026.0744996969
9,"esco",17790.3770165953
1,"imain",184710.262694021
10,"imain",36287.7661747516
11,"imain",39453.04842938
12,"imain",35032.4838804489
13,"imain",27797.2987770834
14,"imain",24925.1966782876
15,"imain",23842.6491728028
16,"imain",24202.9503146064
17,"imain",19661.22813154
18,"imain",14744.819701686
19,"imain",17866.8346766199
2,"imain",143252.037434189
20,"imain",18324.7442170673
21,"imain",16737.0139236347
22,"imain",10672.4057495281
23,"imain",11406.1514715099
24,"imain",12440.3095086148
25,"imain",5850.86451537387
26,"imain",9004.51662290888
27,"imain",12113.8447891255
28,"imain",4610.26885306389
29,"imain",7203.78284776751
3,"imain",107450.290365865
30,"imain",6082.79281066128
31,"imain",6017.3901396589
32,"imain",2473.2952188781
33,"imain",2706.65308164902
34,"imain",4657.32785499575
35,"imain",3171.71431535099
36,"imain",3929.86795855437
37,"imain",2166.12802251971
38,"imain",1372.90794768821
39,"imain",1604.29268023238
4,"imain",102169.62611484
40,"imain",2412.18947663702
41,"imain",28237.6080958797
5,"imain",88787.6293840686
6,"imain",60563.0491306042
7,"imain",53775.2218584041
8,"imain",49169.3807197595
9,"imain",39137.0191158211
1,"idisc",161210.839289852
10,"idisc",26906.6123723948
11,"idisc",19407.7766485207
12,"idisc",18714.8580383031
13,"idisc",12683.0914309742
14,"idisc",14135.1085783405
15,"idisc",6945.74332795244
16,"idisc",16118.2863480269
17,"idisc",9669.04248678316
18,"idisc",6760.26970399444
19,"idisc",6653.50208610422
2,"idisc",118727.161404841
20,"idisc",7859.75405789279
21,"idisc",4291.28513125803
22,"idisc",5340.10619834908
23,"idisc",3614.54501911069
24,"idisc",2764.87284679585
25,"idisc",2983.13740317904
26,"idisc",1751.31032775181
27,"idisc",5056.40481283599
28,"idisc",1278.9238713145
29,"idisc",3803.59627853898
3,"idisc",109457.354289101
30,"idisc",1904.34671136019
31,"idisc",1904.6347132847
32,"idisc",1170.54820665604
33,"idisc",989.839722778253
34,"idisc",1551.68720561243
35,"idisc",1062.82001004803
36,"idisc",545.125434345675
37,"idisc",1039.30618387443
38,"idisc",981.637567735412
39,"idisc",1017.72405976255
4,"idisc",70703.5687922983
40,"idisc",346.685462448089
41,"idisc",10635.3958844184
5,"idisc",65344.8577763685
6,"idisc",47065.6272413506
7,"idisc",32182.2549557147
8,"idisc",28759.3278669304
9,"idisc",23545.0140327896
1,"jmain",22087.8541837557
10,"jmain",6766.10918761082
11,"jmain",2703.24760764517
12,"jmain",5408.60812155734
13,"jmain",4974.35650208847
14,"jmain",6349.31246618245
15,"jmain",2614.93206596205
16,"jmain",2126.97346414337
17,"jmain",818.468379970524
18,"jmain",850.174404682819
19,"jmain",106.388559335138
2,"jmain",32427.3688996582
20,"jmain",2861.72001521527
21,"jmain",3965.91570020874
22,"jmain",1431.57643489144
23,"jmain",1447.77012554183
24,"jmain",2098.53725357716
25,"jmain",592.087766868145
26,"jmain",1756.25391524503
27,"jmain",0
28,"jmain",288.839178622844
29,"jmain",277.17555448561
3,"jmain",30651.7019481474
30,"jmain",973.315992459099
31,"jmain",1547.99865422059
32,"jmain",0
33,"jmain",953.781978310491
34,"jmain",1514.76356977076
35,"jmain",154.131610318432
36,"jmain",0
37,"jmain",950.336250083511
38,"jmain",136.713729346422
39,"jmain",0
4,"jmain",18290.412207027
40,"jmain",118.174756302492
41,"jmain",196.735257896864
5,"jmain",21031.0172464621
6,"jmain",19141.3479738671
7,"jmain",13451.872414086
8,"jmain",9391.32613809407
9,"jmain",10260.4476735466
1,"jdisc",59806.9987746276
10,"jdisc",7407.87237839423
11,"jdisc",3616.71565126454
12,"jdisc",4005.07041817683
13,"jdisc",6385.22861803162
14,"jdisc",5820.43770423403
15,"jdisc",2239.60920937836
16,"jdisc",6418.05678105889
17,"jdisc",3234.81033985375
18,"jdisc",4260.94901633553
19,"jdisc",1412.33371795617
2,"jdisc",45282.0856946781
20,"jdisc",2001.42626192899
21,"jdisc",1086.62549888571
22,"jdisc",1276.13100266535
23,"jdisc",1024.28264767193
24,"jdisc",1456.31483631523
25,"jdisc",1418.51437858685
26,"jdisc",0
27,"jdisc",483.815451394694
28,"jdisc",49.4366201509199
29,"jdisc",2774.13857949077
3,"jdisc",29491.5255706416
30,"jdisc",247.13974051433
31,"jdisc",2406.17057030909
32,"jdisc",1176.35262658502
33,"jdisc",176.066308538831
34,"jdisc",913.078017980064
35,"jdisc",1318.45001253691
36,"jdisc",809.678028813046
37,"jdisc",86.5460147201091
38,"jdisc",942.097247011891
39,"jdisc",251.270486391716
4,"jdisc",25185.3528040642
40,"jdisc",0
41,"jdisc",648.902308214616
5,"jdisc",28248.0235498658
6,"jdisc",16604.4177755117
7,"jdisc",13474.9828433796
8,"jdisc",17575.6336977924
9,"jdisc",8532.85132907857
1,"atwork",80053.7916688942
10,"atwork",2255.76010536525
11,"atwork",1716.02646030238
12,"atwork",911.083153697621
13,"atwork",4044.573198511
14,"atwork",5565.06991832011
15,"atwork",738.065328263812
16,"atwork",683.273789138862
17,"atwork",331.024485235934
18,"atwork",1602.08311133863
19,"atwork",689.959633410838
2,"atwork",33276.109250443
20,"atwork",303.387777221042
21,"atwork",264.597777709961
22,"atwork",1027.11894435339
23,"atwork",313.56573857639
24,"atwork",87.4710970558431
25,"atwork",107.450826070141
26,"atwork",152.273391307372
27,"atwork",190.793519682986
28,"atwork",176.468690260952
29,"atwork",414.439947015878
3,"atwork",30534.4601076567
30,"atwork",35.4529098333497
31,"atwork",112.757549142979
32,"atwork",0
33,"atwork",0
34,"atwork",0
35,"atwork",127.658492422996
36,"atwork",0
37,"atwork",28.5529319989084
38,"atwork",17.0048013416881
39,"atwork",0
4,"atwork",21531.2959922767
40,"atwork",13.5063145007977
41,"atwork",1082.67089647206
5,"atwork",17419.012626445
6,"atwork",12321.4607714437
7,"atwork",5134.52072268477
8,"atwork",6589.01588244482
9,"atwork",4802.6593511127
1,"Total",575927.540364245
10,"Total",102212.228633523
11,"Total",76425.9208903817
12,"Total",72984.1444408603
13,"Total",63328.7082887751
14,"Total",67704.7632646874
15,"Total",42476.0517642328
16,"Total",56963.1924986733
17,"Total",35424.2905418258
18,"Total",32867.2667743042
19,"Total",31950.2464398693
2,"Total",463247.204089421
20,"Total",33390.8436402353
21,"Total",30440.2511127298
22,"Total",22095.3865156019
23,"Total",18625.2976805013
24,"Total",20151.287256643
25,"Total",12572.4910116421
26,"Total",15037.2821367071
27,"Total",19011.0278912417
28,"Total",6712.30588564557
29,"Total",15947.8886191702
3,"Total",377816.390870924
30,"Total",9359.28716450301
31,"Total",13966.4884793048
32,"Total",4846.99757383873
33,"Total",5360.48416964218
34,"Total",8871.23207536474
35,"Total",5955.0451406439
36,"Total",5335.74496189069
37,"Total",4662.1457433646
38,"Total",3468.6159568751
39,"Total",3166.35530314242
4,"Total",305422.8067855
40,"Total",3757.90764364466
41,"Total",44657.7493656189
5,"Total",262305.335437237
6,"Total",195212.190202686
7,"Total",145339.471623878
8,"Total",145510.758804718
9,"Total",104068.368518944
