"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",1870348.75302142,304388.151242583,144269.188383458,0,0,15246.2152275622,6499.66902840048,0,0,0
"2",0,342237.953239368,52085.2866638086,0,0,9283.17907314228,2017.97561750869,0,0,0
"3",0,0,150208.092389231,0,0,3378.43498792053,1983.7916192292,0,0,0
"4",40298.5491284596,14146.3670265769,9003.56470998659,25233.9231832797,468.046175533655,16282.20869173,4765.30108269319,131.717641117237,0,0
"5",1094.97528585193,961.760821477703,572.820213684051,0,20254.1822452317,1699.33241192939,140.151371113453,34.3556362378976,0,0
"6",0,0,0,0,0,92249.8804824823,6823.62730375123,0,0,0
"7",0,0,0,0,0,0,28005.9491339657,0,0,0
"8",302.953206412028,332.18725710163,47.3316591102314,0,0,558.388581851493,49.6438330558672,3404.70322155436,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
"11",2996.368013271,1555.5657643968,15.3265498754651,0,0,438.882608715967,307.429693816472,0,0,0
