"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",919546.944263239,111436.580138249,50765.8131091242,0,0,12310.4624053144,437.627632082738,0,2180.27390203829,0
"2",0,404281.458184828,83976.2188420017,0,0,7258.26720014345,315.775384194856,0,1449.60213018846,0
"3",0,0,460185.71821562,0,0,3245.21801660875,1783.16615595737,0,1644.40208106249,0
"4",33537.6749193043,36455.5837467166,29206.1587920458,330974.540987582,1189.2194451921,15213.5262064671,10159.9017283947,8958.6385896512,868.34408619431,0
"5",2557.12838996807,1401.35629961591,886.753432656288,0,30690.473491113,2097.12594216374,4454.53909973947,0,28.5883989288212,0
"6",0,0,0,0,0,41796.8306946233,2926.00843985896,0,0,0
"7",0,0,0,0,0,0,6387.62771081046,0,0,0
"8",1025.27833806224,548.756834909675,664.037667214359,0,0,1036.5637170685,34.3556362378976,6733.35626067189,0,0
"9",0,0,0,0,0,0,0,0,5886.12154720002,0
"10",0,0,0,0,0,0,0,0,0,0
"11",1925.64351761967,3594.48650299985,5767.26977556982,486.688743941212,0,1781.2487914948,86.5605741218038,698.367035071669,12.4029238656475,0
