"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",2391207.1452495,465551.815642793,214260.855606099,0,0,25498.5314760376,2345.54345354419,0,234.822192205126,0
"2",0,951017.996116453,262227.561277956,0,0,11990.8791669719,2475.1170655333,0,4700.44125642479,0
"3",0,0,911303.61883985,0,0,7352.38283663771,705.722391840821,0,7383.4178393165,0
"4",60872.7065911708,45216.2662540235,21954.9111674777,146731.654507008,3226.03094886013,41319.1857461009,1608.24618460011,2300.00734649525,63.0319133158522,0
"5",1155.63812569515,2624.35933510366,1101.22699450887,0,31399.806672494,1705.50292972019,836.207259657178,19.2614736203278,0,0
"6",0,0,0,0,0,143310.504024379,6871.6034136122,0,12.3705736471792,0
"7",0,0,0,0,0,0,10578.5259831052,0,0,0
"8",740.190599054435,2478.36547674678,831.018842473191,0,0,2626.46939447132,706.487799889712,11322.7523854182,0,0
"9",0,0,0,0,0,0,0,0,18043.360920262,0
"10",0,0,0,0,0,0,0,0,0,0
"11",20843.7504367566,15902.5018539373,8319.13134765068,437.499463170119,386.552218740179,2636.19225210497,1824.35286563958,1577.86445379262,0,0
