"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,161126.759431868,4281.77432948996,0,0,647.599741888107,0,0,0,0
"3",0,0,98644.3084813978,0,0,109.702459739608,0,0,0,0
"4",0,888.460572237364,951.41058070471,45414.8994397238,248.251376526425,0,169.536208370032,0,0,0
"5",0,331.529459530974,107.215055544408,0,5849.30135638025,0,0,0,0,0
"6",0,0,0,0,0,1186.47084760469,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,242.03292720462,0,0
"9",0,0,0,0,0,0,0,0,974.75607288546,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,63.9858807113017,12.788460927925,0,0,0,0,0,0
