"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,300203.435565104,14515.1442829977,0,0,0,0,0,0,0
"3",0,0,112019.977550229,0,0,0,0,0,0,0
"4",0,979.306252689412,215.386633959423,10389.5733199597,0,175.107816354407,0,50.7118378474818,0,0
"5",0,0,12.6173075899716,0,3539.97378129717,0,0,0,0,0
"6",0,0,0,0,0,4748.34237362555,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,41.302593781353,0,101.423675694964,0,0
"9",0,0,0,0,0,0,0,0,1845.24197501129,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,60.1793222868911,171.06535259966,0,0,0,0,0,0,0
