"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Hennepin","Hennepin","Auto 2 Person","Shop",143451.984965755
"Hennepin","Hennepin","Walk-Transit","University",10482.3626120122
"Hennepin","Hennepin","Walk","Discretionary",158034.998935438
"Hennepin","Hennepin","Walk-Transit","Discretionary",13075.4430286659
"Hennepin","Hennepin","Walk-Transit","School",14576.1763778282
"St. Croix","Ramsey","Auto SOV","Maintenance",2942.76534197343
"Ramsey","Washington","Auto SOV","Maintenance",28349.5254210455
"Wright","Wright","Auto 3+ Person","Shop",8946.3876493552
"Wright","Wright","Auto 3+ Person","Maintenance",7086.22803424963
"Wright","Wright","Auto SOV","Work",33433.3752620543
"Wright","Wright","Auto 3+ Person","Discretionary",6351.54582750731
"Hennepin","Hennepin","Auto 2 Person","Work",132282.462354924
"Wright","Hennepin","Auto 2 Person","Escort",2336.97763649491
"Hennepin","Hennepin","Auto 2 Person","Escort",176961.15168942
"Hennepin","Hennepin","Auto SOV","Escort",87733.5357245947
"Hennepin","Hennepin","Auto SOV","Eating Out",68334.0747284779
"Hennepin","Hennepin","Auto 2 Person","Eating Out",81178.9547672146
"Hennepin","Anoka","Auto SOV","Work",34052.863564825
"Anoka","Anoka","Auto SOV","Work",116158.515679365
"Hennepin","Hennepin","Bike/Moped","Maintenance",15029.9571100498
"Polk","St. Croix","Auto SOV","Work",265.991799241658
"St. Croix","Polk","Auto SOV","Work",299.1244600846
"Ramsey","Ramsey","Auto SOV","Maintenance",207039.817943031
"Ramsey","Hennepin","Auto SOV","Maintenance",46899.9052125819
"Hennepin","Ramsey","Auto SOV","Maintenance",50595.8256523439
"Ramsey","Ramsey","Auto SOV","Shop",86111.5027906796
"Ramsey","Ramsey","Auto SOV","Eating Out",30696.4257488906
"Scott","Hennepin","Auto SOV","Work",12743.2751928429
"Hennepin","Hennepin","Auto SOV","Work",613160.995618238
"Hennepin","Scott","Walk-Transit","Work",315.657978539032
"Scott","Scott","Walk","Work",787.985689897524
"Scott","Scott","Auto SOV","Work",36283.4351205788
"Hennepin","Ramsey","Auto SOV","Shop",6639.93347234193
"Ramsey","Hennepin","Auto SOV","Visiting",5319.80194108606
"Hennepin","Hennepin","Auto SOV","Visiting",64984.5153782095
"Hennepin","Dakota","Auto SOV","Maintenance",27448.0508539635
"Dakota","Hennepin","Auto SOV","Maintenance",25415.375205609
"Ramsey","Dakota","Auto SOV","Maintenance",8986.89460800538
"Dakota","Rice","Auto SOV","Maintenance",3491.69068070748
"Rice","Rice","Auto SOV","Work",22138.6043195005
"Rice","Rice","Auto 2 Person","Maintenance",8184.93368175518
"Hennepin","Hennepin","Auto 2 Person","Maintenance",166563.970695674
"Hennepin","Hennepin","Auto SOV","Maintenance",528820.050249768
"Hennepin","Hennepin","TNR-Transit","School",68166.9755998506
"Hennepin","Hennepin","Auto 2 Person","School",49524.9371298536
"Ramsey","Ramsey","Walk-Transit","Maintenance",19218.0683341465
"Ramsey","Ramsey","Walk","Maintenance",31911.3247547883
"Hennepin","Hennepin","Auto SOV","Shop",222882.886095092
"Dakota","Dakota","Auto SOV","Shop",76368.2104535135
"Dakota","Dakota","Auto 2 Person","Shop",59970.9540195851
"Dakota","Hennepin","Auto 2 Person","Shop",3818.36959164061
"Hennepin","Hennepin","Auto 3+ Person","Eating Out",38428.1371534801
"Dakota","Dakota","Auto 2 Person","Eating Out",29982.8861258729
"Dakota","Hennepin","Auto 3+ Person","Eating Out",1410.04649928451
"Hennepin","Hennepin","Auto SOV","Discretionary",197214.322927675
"Hennepin","Hennepin","Auto 2 Person","Visiting",78050.1216223639
"Hennepin","Hennepin","Auto 2 Person","Discretionary",94556.9362878308
"Ramsey","Ramsey","Auto 2 Person","Escort",68713.9226633306
"Ramsey","Ramsey","Auto 2 Person","Shop",53176.0635597225
"Ramsey","Ramsey","Auto SOV","Escort",34139.725996421
"Ramsey","Ramsey","Auto 2 Person","Work",44280.3988618862
"Ramsey","Ramsey","Auto 2 Person","School",9822.07907567476
