tour_purpose,time_period,start,end
work,NT,1,12
work,AM,13,20
work,MD,21,30
work,PM,31,38
work,EV,39,48
#,,,
school,EA,1,12
school,AM,13,20
school,MD,21,30
school,PM,31,38
school,EV,39,48
#,,,
univ,EA,1,12
univ,AM,13,20
univ,MD,21,30
univ,PM,31,38
univ,EV,39,48
#,,,
shopping,EA,1,12
shopping,AM,13,20
shopping,MD,21,30
shopping,PM,31,38
shopping,EV,39,48
#,,,
escort,EA,1,12
escort,AM,13,20
escort,MD,21,30
escort,PM,31,38
escort,EV,39,48
#,,,
othmaint,EA,1,12
othmaint,AM,13,20
othmaint,MD,21,30
othmaint,PM,31,38
othmaint,EV,39,48
#,,,
othdiscr,EA,1,12
othdiscr,AM,13,20
othdiscr,MD,21,30
othdiscr,PM,31,38
othdiscr,EV,39,48
#,,,
social,EA,1,12
social,AM,13,20
social,MD,21,30
social,PM,31,38
social,EV,39,48
#,,,
eatout,EA,1,12
eatout,AM,13,20
eatout,MD,21,30
eatout,PM,31,38
eatout,EV,39,48
#,,,
atwork,EA,1,12
atwork,AM,13,20
atwork,MD,21,30
atwork,PM,31,38
atwork,EV,39,48
