tag,num_rows,rss,uss,bytes,uss_row_size,hybrid_uss_row_size,bytes_row_size
atwork_subtour_frequency.simple_simulate,108539,11177984,11026432,25181048,102,232,232
atwork_subtour_mode_choice.simple_simulate,25766,9191424,9138176,26178256,355,1016,1016
atwork_subtour_scheduling.tour_1,25591,8320786432,8324689920,8687128193,325298,339461,339461
atwork_subtour_scheduling.tour_n,175,12115968,12115968,27833585,69235,159050,159050
auto_ownership_simulate.simple_simulate,200000,121532416,115949568,65600000,580,580,328
av_ownership.simple_simulate,200000,423231488,352628736,9600000,1764,1764,48
cdap.cdap,200000,1050255360,1049919488,765062403,5250,5250,3826
compute_accessibility,3030,3988484096,2774401024,5407550100,915644,1784670,1784670
free_parking.simple_simulate,237522,43724800,32964608,15201408,139,139,64
joint_tour_composition.simple_simulate,60396,2727936,2068480,12079200,35,200,200
joint_tour_frequency.simple_simulate,122188,68825088,68825088,89930368,564,736,736
joint_tour_participation,43668,222035968,221749248,90088240,5079,5079,2064
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_1,43668,40798445568,40817262592,40276087870,934718,934718,922325
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_n,16728,8691843072,8689831936,8461894210,519479,519479,505853
mandatory_tour_frequency.simple_simulate,167417,154497024,142249984,140630280,850,850,840
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.school,63818,49886015488,39689408512,31611995710,621916,621916,495347
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.univ,2705,2247237632,1656987648,1339910435,612565,612565,495346
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.work,100894,141923426304,66342412288,49977615610,657546,657546,495348
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.school,1975,486494208,454221824,251965240,229986,229986,127578
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.univ,321,216682496,202280960,61459339,630159,630159,191463
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.work,7645,1086668800,1079685120,912299592,141228,141228,119333
non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate,15537,1509249024,1508986880,1675012896,97123,107808,107808
non_mandatory_tour_frequency.PTYPE_FULL.interaction_simulate,183986,19893219328,19911905280,19835162688,108226,108226,107808
non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate,39160,4252188672,4250091520,4221761280,108532,108532,107808
non_mandatory_tour_frequency.PTYPE_PART.interaction_simulate,40732,4468617216,4463050752,4391235456,109572,109572,107808
non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate,23399,1971335168,1970843648,2522599392,84228,107808,107808
