Description,Expression,M,N,H
Full-time worker ASC,ptype == 1,coef_full_time_worker_asc_M,coef_full_time_worker_asc_N,
Part-time worker ASC,ptype == 2,coef_part_time_worker_asc_M,coef_part_time_worker_asc_N,
University student ASC,ptype == 3,coef_university_student_asc_M,coef_university_student_asc_N,
Non-working adult ASC,ptype == 4,,coef_non_working_adult_asc_N,
Retired ASC,ptype == 5,,coef_retired_asc_N,
Driving-age child who is in school ASC,ptype == 6,coef_driving_age_child_asc_M,coef_driving_age_child_asc_N,
Pre-driving-age child who is in school ASC,ptype == 7,coef_pre_driving_age_child_asc_M,coef_pre_driving_age_child_asc_N,
Preschool child ASC,ptype == 8,coef_preschool_child_asc_M,coef_preschool_child_asc_N,
Full-time worker interaction with age less than 35,(ptype == 1) & (age < 35),coef_full_time_worker_age_less_than_35_M,coef_full_time_worker_age_less_than_35_N,
Part-time worker interaction with age less than 35,(ptype == 2) & (age < 35),coef_part_time_worker_age_less_than_35_M,coef_full_time_worker_age_less_than_35_N,
Age over 80,(age >= 80),,coef_age_80_plus_N,
Zero auto ownership base,(auto_ownership == 0),coef_base_zero_auto_M,coef_base_zero_auto_N,
Auto Deficient part-time worker,(ptype == 2) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_part_time_worker_auto_deficient_M,,
Auto Deficient university_student,(ptype == 3) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_university_student_auto_deficient_N,
Auto Deficient non_working_adult,(ptype == 4) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_non_working_adult_auto_deficient_N,
Auto Deficient retired,(ptype == 5) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_retired_auto_deficient_N,
Auto Deficient driving_age_child,(ptype == 6) & (auto_ownership > 0) & (auto_ownership < num_adults),,coef_driving_age_child_auto_deficient_N,
Auto Deficient preschool_child,(ptype == 8) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_preschool_child_auto_deficient_M,,
Full-time worker interaction with income less than $30k,(ptype == 1) & (income < 30000),,,coef_full_time_worker_income_less_than_30k_H
Part-time worker interaction with income less than $30k,(ptype == 2) & (income < 30000),,,coef_part_time_worker_income_less_than_30k_H
Preschool child interaction with income between $60k and $100k,(ptype == 8) & (income >= 60000) & (income <= 100000),coef_preschool_child_income_between_60k_and_100k_M,,
Base works from home,(work_from_home),,coef_base_work_from_home_N,
Base works from home 2016,(work_from_home),,coef_base_work_from_home_2016_N,
Part time worker who works from home,(ptype == 2) & (work_from_home),,coef_part_time_worker_work_from_home_N,
Part time worker who works from home,@(df.ptype == 2) & (df.work_from_home) & (~bool(POST_COVID)),,coef_part_time_worker_work_from_home_2016_N,
Telecommutes 1 day per week,telecommute_frequency=='1_day_week',,coef_telecommute_1_day_week_N,coef_telecommute_1_day_week_H
Telecommutes 2-3 days per week,telecommute_frequency=='2_3_days_week',,coef_telecommute_2_3_days_week_N,coef_telecommute_2_3_days_week_H
Telecommutes 4 days per week,telecommute_frequency=='4_days_week',,coef_telecommute_4_days_week_N,coef_telecommute_4_days_week_H
Full-time worker 2016 ASC,@(df.ptype == 1) * (1-POST_COVID),coef_full_time_worker_2016_asc_M,coef_full_time_worker_2016_asc_N,
Part-time worker 2016 ASC,@(df.ptype == 2) * (1-POST_COVID),coef_part_time_worker_2016_asc_M,coef_part_time_worker_2016_asc_N,
University student 2016 ASC,@(df.ptype == 3) * (1-POST_COVID),coef_university_student_2016_asc_M,coef_university_student_2016_asc_N,
